,Index,Player,Pos
118,0.22265391512253438,Al Horford,C
108,0.16600265604249667,Al Horford,PF
90,0.18701608100059558,Al-Farouq Aminu,PF
54,0.19489723600283487,Al-Farouq Aminu,SF
80,0.058315334773218146,Alex Abrines,SF
37,0.06396453451551615,Alex Abrines,SG
63,0.11985559566787003,Alfonzo McKinnie,SF
101,0.11910519951632406,Alfonzo McKinnie,PF
65,0.09109730848861283,Andre Iguodala,SF
32,0.08353808353808354,Andre Iguodala,SG
17,0.26464507236388696,CJ McCollum,SG
10,0.21447196870925683,CJ McCollum,PG
98,0.07015306122448979,Caleb Swanigan,PF
128,0.11732305150096392,Caleb Swanigan,C
114,0.0509020618556701,Carmelo Anthony,PF
79,0.062402496099843996,Carmelo Anthony,SF
72,0.08921933085501858,Damion Lee,SF
28,0.09878903760356915,Damion Lee,SG
97,0.1811320754716981,Danilo Gallinari,PF
67,0.20849128127369218,Danilo Gallinari,SF
23,0.18956406869220607,Dennis Schroder,SG
7,0.13372859025032938,Dennis Schroder,PG
2,0.5290059579805582,Devin Booker,PG
16,0.5897435897435898,Devin Booker,SG
75,0.08929889298892989,Donte DiVincenzo,SF
13,0.06117430064555795,Donte DiVincenzo,PG
25,0.3268698060941828,Eric Bledsoe,SG
1,0.28539397821909035,Eric Bledsoe,PG
121,0.1990975747320925,Ersan Ilyasova,C
94,0.1432129514321295,Ersan Ilyasova,PF
20,0.15453960077269802,Evan Turner,SG
73,0.16055718475073313,Evan Turner,SF
66,0.08081570996978851,Gary Clark,SF
109,0.06919374247894103,Gary Clark,PF
78,0.06908583391486392,Gerald Green,SF
39,0.08289817232375979,Gerald Green,SG
92,0.36495726495726494,Giannis Antetokounmpo,PF
58,0.3909266409266409,Giannis Antetokounmpo,SF
59,0.11078717201166181,Gordon Hayward,SF
40,0.09666884389288047,Gordon Hayward,SG
106,0.060398505603985055,Guerschon Yabusele,PF
131,0.0819304152637486,Guerschon Yabusele,C
35,0.08964143426294821,Hamidou Diallo,SG
77,0.07439198855507868,Hamidou Diallo,SF
129,0.08377400500974116,Isaiah Hartenstein,C
111,0.047103755569700825,Isaiah Hartenstein,PF
116,0.0547945205479452,Jake Layman,PF
68,0.051920341394025606,Jake Layman,SF
31,0.08131595282433271,James Ennis III,SG
76,0.07362885048835462,James Ennis III,SF
26,0.2786352558895207,James Harden,SG
11,0.21148825065274152,James Harden,PG
27,0.19237976264834478,Jaylen Brown,SG
56,0.1927437641723356,Jaylen Brown,SF
113,0.10817941952506596,Jayson Tatum,PF
71,0.10038022813688213,Jayson Tatum,SF
52,0.14863870493009565,Jerami Grant,SF
93,0.15422276621787026,Jerami Grant,PF
104,0.05846895720313442,Jonas Jerebko,PF
64,0.061299852289512555,Jonas Jerebko,SF
96,0.12842242503259452,Jordan Bell,PF
122,0.1787709497206704,Jordan Bell,C
45,0.06312292358803986,Josh Jackson,SG
74,0.07583274273564848,Josh Jackson,SF
61,0.21597892888498682,Kevin Durant,SF
102,0.21423330887747616,Kevin Durant,PF
100,0.13399339933993398,Kevon Looney,PF
127,0.18834204014297498,Kevon Looney,C
19,0.2925851703406814,Khris Middleton,SG
53,0.2973186119873817,Khris Middleton,SF
6,0.18432601880877744,Lou Williams,PG
33,0.2405857740585774,Lou Williams,SG
24,0.22549691569568198,Malcolm Brogdon,SG
3,0.1806853582554517,Malcolm Brogdon,PG
91,0.23755806237558064,Marcus Morris,PF
57,0.22876304023845007,Marcus Morris,SF
30,0.13434727503168567,Marcus Smart,SG
12,0.09275808936825886,Marcus Smart,PG
124,0.09322268326417704,Marquese Chriss,C
103,0.055626598465473145,Marquese Chriss,PF
14,0.03424868867633447,Matthew Dellavedova,PG
46,0.061815840309079204,Matthew Dellavedova,SG
81,0.05576488319517709,Mikal Bridges,SF
42,0.06819630337794774,Mikal Bridges,SG
84,0.08579881656804733,Mike Scott,SF
107,0.0669481302774427,Mike Scott,PF
119,0.3552318668252081,Montrezl Harrell,C
88,0.25393700787401574,Montrezl Harrell,PF
70,0.12256669069935111,Nik Stauskas,SF
43,0.11299804049640758,Nik Stauskas,SG
60,0.20288808664259927,Pat Connaughton,SF
34,0.194639438417358,Pat Connaughton,SG
4,0.09578544061302682,Patrick Beverley,PG
38,0.14362778152393796,Patrick Beverley,SG
126,0.08518414394152375,Patrick Patterson,C
117,0.058264724509183026,Patrick Patterson,PF
86,0.5795221843003413,Paul George,PF
50,0.5659432387312187,Paul George,SF
41,0.07526178010471204,Raymond Felton,SG
9,0.0582010582010582,Raymond Felton,PG
130,0.10623620309050773,Richaun Holmes,C
105,0.07156549520766774,Richaun Holmes,PF
125,0.08587257617728532,Ryan Anderson,C
112,0.058979456593770706,Ryan Anderson,PF
115,0.06322897483118478,Semi Ojeleye,PF
82,0.05128205128205128,Semi Ojeleye,SF
29,0.06717363751584284,Seth Curry,SG
8,0.04569977784830213,Seth Curry,PG
0,0.15469093191088798,Shai Gilgeous-Alexander,PG
21,0.21842105263157896,Shai Gilgeous-Alexander,SG
48,0.059166666666666666,Stephen Curry,SG
15,0.04548789435069699,Stephen Curry,PG
85,0.05574912891986063,Sterling Brown,SF
36,0.046065259117082535,Sterling Brown,SG
49,0.42857142857142855,T.J. Warren,SF
87,0.402200488997555,T.J. Warren,PF
69,0.16629547141796586,Terrance Ferguson,SF
18,0.16666666666666666,Terrance Ferguson,SG
22,0.1332470892626132,Terry Rozier,SG
5,0.07470182046453233,Terry Rozier,PG
110,0.09592641261498029,Thon Maker,PF
