,Index,Player,Pos
81,0.21544368600682595,Al Horford,PF
95,0.21044546850998463,Al Horford,C
57,0.19866814650388456,Al-Farouq Aminu,SF
80,0.1709901351845086,Al-Farouq Aminu,PF
21,0.32582322357019067,Bojan Bogdanovic,SG
45,0.3434617471513836,Bojan Bogdanovic,SF
13,0.062442040185471406,Brandon Ingram,PG
54,0.07083333333333333,Brandon Ingram,SF
6,0.09608323133414932,CJ McCollum,PG
30,0.10267857142857142,CJ McCollum,SG
100,0.055873925501432664,Daniel Theis,C
92,0.056910569105691054,Daniel Theis,PF
99,0.11649525316455696,Domantas Sabonis,C
86,0.11225806451612903,Domantas Sabonis,PF
66,0.062399139322216246,Doug McDermott,SF
89,0.06254738438210766,Doug McDermott,PF
7,0.20963855421686747,Eric Bledsoe,PG
26,0.2083597213426219,Eric Bledsoe,SG
34,0.08913308913308914,Eric Gordon,SG
5,0.08079877112135177,Eric Gordon,PG
79,0.08281573498964803,Ersan Ilyasova,PF
96,0.09856858126472187,Ersan Ilyasova,C
23,0.1088348271446863,Evan Fournier,SG
64,0.13159454653230587,Evan Fournier,SF
71,0.07574960547080484,Evan Turner,SF
37,0.06962025316455696,Evan Turner,SG
67,0.24197983501374887,Giannis Antetokounmpo,SF
90,0.23022432113341204,Giannis Antetokounmpo,PF
68,0.15528634361233482,Gordon Hayward,SF
22,0.1823379923761118,Gordon Hayward,SG
8,0.12836304700162074,Jamal Murray,PG
44,0.1290743155149935,Jamal Murray,SG
69,0.05901461829994586,James Ennis III,SF
36,0.0629874025194961,James Ennis III,SG
17,0.5678353658536586,James Harden,SG
1,0.5905848787446505,James Harden,PG
77,0.17279124315871774,Jarell Martin,PF
94,0.2015328340010451,Jarell Martin,C
72,0.06710310965630115,Jaylen Brown,SF
38,0.0660486674391657,Jaylen Brown,SG
50,0.30098209127671866,Jayson Tatum,SF
73,0.3008849557522124,Jayson Tatum,PF
14,0.06506651243493349,Jeremy Lin,PG
39,0.07706093189964158,Jeremy Lin,SG
47,0.17878298330640818,Jonathon Simmons,SF
18,0.16348314606741574,Jonathon Simmons,SG
70,0.10373216245883644,Juancho Hernangomez,SF
87,0.10122358175750834,Juancho Hernangomez,PF
46,0.328,Kent Bazemore,SF
15,0.32162661737523107,Kent Bazemore,SG
53,0.14834578441835647,Kentavious Caldwell-Pope,SF
16,0.14057331863285558,Kentavious Caldwell-Pope,SG
35,0.15668789808917197,Khris Middleton,SG
55,0.16914285714285715,Khris Middleton,SF
48,0.2069767441860465,Kyle Kuzma,SF
76,0.2031496062992126,Kyle Kuzma,PF
91,0.05358550039401103,Kyle O'Quinn,PF
101,0.048448275862068964,Kyle O'Quinn,C
33,0.12277580071174377,Lance Stephenson,SG
4,0.10375465749498423,Lance Stephenson,PG
58,0.21031426269137793,LeBron James,SF
82,0.21034282393957002,LeBron James,PF
2,0.28648486664668865,Malcolm Brogdon,PG
20,0.2915173237753883,Malcolm Brogdon,SG
63,0.12485549132947976,Marcus Morris,SF
74,0.1363973313565604,Marcus Morris,PF
9,0.08123904149620105,Marcus Smart,PG
32,0.09085365853658536,Marcus Smart,SG
88,0.14920399851906702,Mario Hezonja,PF
51,0.15064794816414687,Mario Hezonja,SF
98,0.0703418650438518,Mason Plumlee,C
83,0.07105994442238983,Mason Plumlee,PF
61,0.06522911051212937,Nik Stauskas,SF
42,0.06144306651634724,Nik Stauskas,SG
97,0.09715994020926756,Noah Vonleh,C
85,0.08764135702746365,Noah Vonleh,PF
60,0.12749864937871422,Pat Connaughton,SF
24,0.09631728045325778,Pat Connaughton,SG
75,0.37088815789473684,Paul Millsap,PF
93,0.4574662285505659,Paul Millsap,C
43,0.06365740740740741,Ron Baker,SG
12,0.06377477736282677,Ron Baker,PG
11,0.0785472972972973,Seth Curry,PG
28,0.09775349119611415,Seth Curry,SG
19,0.2478286045165026,Terrence Ross,SG
52,0.24343163538873994,Terrence Ross,SF
10,0.062185371631625706,Terry Rozier,PG
41,0.07142857142857142,Terry Rozier,SG
78,0.11517719568567027,Thaddeus Young,PF
65,0.10944206008583691,Thaddeus Young,SF
62,0.07462686567164178,Tim Hardaway Jr.,SF
40,0.06751592356687898,Tim Hardaway Jr.,SG
59,0.07038440714672442,Tony Snell,SF
31,0.08506944444444445,Tony Snell,SG
29,0.12885985748218529,Trey Burke,SG
3,0.1058139534883721,Trey Burke,PG
84,0.14789533560864618,Trey Lyles,PF
49,0.13954802259887006,Trey Lyles,SF
56,0.10930962343096234,Tyreke Evans,SF
27,0.11092052601486564,Tyreke Evans,SG
25,0.32474629195940674,Victor Oladipo,SG
0,0.34796573875803,Victor Oladipo,PG
