,Index,Player,Pos
163,0.053351117039013005,Aaron Gordon,PF
106,0.03970183114568141,Aaron Gordon,SF
114,0.007454221357964673,Alex Abrines,SF
73,0.007628734901462174,Alex Abrines,SG
188,0.0030010003334444814,Amir Johnson,PF
207,0.004784688995215311,Amir Johnson,C
42,0.03782581055308328,Andrew Wiggins,SG
110,0.04440123156700697,Andrew Wiggins,SF
155,0.06018672890963655,Anthony Davis,PF
191,0.12242204256723313,Anthony Davis,C
128,0.0019445794846864365,Anthony Tolliver,SF
180,0.0011670556852284096,Anthony Tolliver,PF
118,0.024793388429752067,Ben Simmons,SF
12,0.04149953717988275,Ben Simmons,PG
190,0.013337779259753251,Blake Griffin,PF
206,0.022438541494802837,Blake Griffin,C
76,0.005880483153210426,Bogdan Bogdanovic,SG
127,0.0066439799060119915,Bogdan Bogdanovic,SF
48,0.017164653528289893,Bojan Bogdanovic,SG
103,0.018149408523740074,Bojan Bogdanovic,SF
88,0.04002592772646248,Brandon Ingram,SF
6,0.07266275840789879,Brandon Ingram,PG
49,0.015416401780038143,Bryn Forbes,SG
14,0.029466214131440915,Bryn Forbes,PG
33,0.03226319135410045,Buddy Hield,SG
102,0.02868254739912494,Buddy Hield,SF
79,0.006039415130324221,Cameron Payne,SG
24,0.012958963282937365,Cameron Payne,PG
75,0.008900190718372537,Danny Green,SG
115,0.010209042294603793,Danny Green,SF
170,0.013337779259753251,Dante Cunningham,PF
124,0.006157835034840383,Dante Cunningham,SF
8,0.01666152422091947,Dante Exum,PG
41,0.010966306420851876,Dante Exum,SG
148,0.04101367122374125,Dario Saric,PF
97,0.025279533300923675,Dario Saric,SF
151,0.019339779926642216,Darius Miller,PF
109,0.008912655971479501,Darius Miller,SF
120,0.004375303840544483,David Nwaba,SF
68,0.005880483153210426,David Nwaba,SG
146,0.04668222740913638,Davis Bertans,PF
194,0.09849859759115658,Davis Bertans,C
43,0.038938334392879845,DeMar DeRozan,SG
94,0.0374331550802139,DeMar DeRozan,SF
84,0.0019071837253655435,Delon Wright,SG
25,0.0046282011724776305,Delon Wright,PG
58,0.03194532739987285,Dennis Schroder,SG
2,0.05738969453872261,Dennis Schroder,PG
157,0.03484494831610537,Derrick Favors,PF
193,0.07968982016168949,Derrick Favors,C
