,Index,Player,Pos
144,0.13247011952191234,Aaron Gordon,PF
96,0.11306256860592755,Aaron Gordon,SF
154,0.1248852157943067,Al Horford,PF
176,0.1409877585479105,Al Horford,C
177,0.08191252779836916,Amir Johnson,C
156,0.07665505226480836,Amir Johnson,PF
51,0.12075471698113208,Andre Iguodala,SG
101,0.11753183153770813,Andre Iguodala,SF
169,0.6061185468451242,Anthony Davis,C
122,0.5757931844888367,Anthony Davis,PF
75,0.4270032930845225,Ben Simmons,SF
8,0.4062337662337662,Ben Simmons,PG
39,0.14116575591985428,Bogdan Bogdanovic,SG
94,0.14641434262948208,Bogdan Bogdanovic,SF
35,0.14065335753176045,Bojan Bogdanovic,SG
100,0.1847715736040609,Bojan Bogdanovic,SF
19,0.04887218045112782,Brad Wanamaker,PG
68,0.05992844364937388,Brad Wanamaker,SG
34,0.22770398481973433,Brandon Ingram,SG
76,0.23343527013251783,Brandon Ingram,SF
36,0.23728813559322035,Buddy Hield,SG
86,0.24028629856850717,Buddy Hield,SF
14,0.09639564124056998,Cameron Payne,PG
60,0.11311787072243346,Cameron Payne,SG
147,0.0720486111111111,Daniel Theis,PF
175,0.07791714177118966,Daniel Theis,C
28,0.21808014911463186,Danny Green,SG
80,0.2011605415860735,Danny Green,SF
29,0.16838166510757718,Dante Exum,SG
6,0.12797233030696065,Dante Exum,PG
153,0.0750394944707741,Darius Miller,PF
116,0.04697986577181208,Darius Miller,SF
32,0.1474694589877836,Delon Wright,SG
9,0.14535901926444833,Delon Wright,PG
4,0.18768768768768768,Dennis Schroder,PG
49,0.22099447513812154,Dennis Schroder,SG
133,0.171602787456446,Derrick Favors,PF
172,0.1745339151130504,Derrick Favors,C
47,0.25260960334029225,Devin Booker,SG
13,0.2275449101796407,Devin Booker,PG
18,0.08358728776665215,Devin Harris,PG
64,0.08100558659217877,Devin Harris,SG
173,0.17391304347826086,Dewayne Dedmon,C
135,0.15086206896551724,Dewayne Dedmon,PF
129,0.33090909090909093,Domantas Sabonis,PF
167,0.37410071942446044,Domantas Sabonis,C
2,0.38281622911694513,Donovan Mitchell,PG
31,0.3855165069222577,Donovan Mitchell,SG
105,0.05047619047619047,Doug McDermott,SF
159,0.06084867894315452,Doug McDermott,PF
174,0.0984102952308857,Dwight Powell,C
141,0.10154905335628227,Dwight Powell,PF
46,0.1157495256166983,E'Twaun Moore,SG
97,0.10953346855983773,E'Twaun Moore,SF
89,0.12378167641325535,Eric Gordon,SF
54,0.11732355637030248,Eric Gordon,SG
93,0.17748478701825557,Evan Fournier,SF
48,0.1391465677179963,Evan Fournier,SG
0,0.22880622837370243,Fred VanVleet,PG
26,0.2563859981078524,Fred VanVleet,SG
87,0.1407766990291262,Gerald Green,SF
30,0.1073038773669973,Gerald Green,SG
113,0.09090909090909091,Gordon Hayward,SF
58,0.12003968253968254,Gordon Hayward,SG
125,0.2617753623188406,Harrison Barnes,PF
82,0.22794117647058823,Harrison Barnes,SF
62,0.09936189608021878,Ian Clark,SG
17,0.08931777378815081,Ian Clark,PG
107,0.09773755656108597,Iman Shumpert,SF
37,0.10167910447761194,Iman Shumpert,SG
41,0.12687312687312688,J.J. Barea,SG
12,0.10639248994188645,J.J. Barea,PG
43,0.20454545454545456,JJ Redick,SG
81,0.18988648090815274,JJ Redick,SF
84,0.15532994923857868,Jabari Parker,SF
139,0.1453287197231834,Jabari Parker,PF
165,0.07542372881355933,Jae Crowder,PF
104,0.09514370664023786,Jae Crowder,SF
40,0.10064635272391505,Jamal Crawford,SG
3,0.10043478260869565,Jamal Crawford,PG
16,0.11643528884908196,Jamal Murray,PG
50,0.11506276150627615,Jamal Murray,SG
110,0.079476861167002,James Ennis III,SF
52,0.07755474452554745,James Ennis III,SG
11,0.35461441213653605,James Harden,PG
33,0.3353115727002967,James Harden,SG
158,0.04376012965964344,Jarell Martin,PF
185,0.057819169577027554,Jarell Martin,C
118,0.051923076923076926,Jaylen Brown,SF
65,0.04064272211720227,Jaylen Brown,SG
109,0.0916754478398314,Jayson Tatum,SF
163,0.08070175438596491,Jayson Tatum,PF
83,0.2145748987854251,Jerami Grant,SF
130,0.19563392107472713,Jerami Grant,PF
25,0.3178294573643411,Jeremy Lamb,SG
77,0.2988855116514691,Jeremy Lamb,SF
45,0.2359963269054178,Jeremy Lin,SG
1,0.21459044368600683,Jeremy Lin,PG
56,0.17684210526315788,Jimmy Butler,SG
92,0.1789709172259508,Jimmy Butler,SF
67,0.07597535934291581,Joe Ingles,SG
102,0.09342915811088295,Joe Ingles,SF
134,0.16707218167072183,Jonas Jerebko,PF
78,0.17512953367875647,Jonas Jerebko,SF
27,0.20519713261648745,Jonathon Simmons,SG
79,0.1881287726358149,Jonathon Simmons,SF
38,0.24655963302752293,Jrue Holiday,SG
7,0.24413379930104842,Jrue Holiday,PG
72,0.2967557251908397,Juancho Hernangomez,SF
127,0.3495065789473684,Juancho Hernangomez,PF
132,0.4049586776859504,Julius Randle,PF
166,0.4016359918200409,Julius Randle,C
91,0.15524193548387097,Justin Holiday,SF
61,0.14339622641509434,Justin Holiday,SG
24,0.22958693563880883,Kent Bazemore,SG
98,0.24254881808838644,Kent Bazemore,SF
44,0.0951571792693288,Kentavious Caldwell-Pope,SG
90,0.10271317829457365,Kentavious Caldwell-Pope,SF
151,0.19424460431654678,Kevin Durant,PF
112,0.14782608695652175,Kevin Durant,SF
148,0.07803223070398643,Kevon Looney,PF
178,0.07937116564417178,Kevon Looney,C
136,0.09090909090909091,Kyle Kuzma,PF
99,0.08316221765913757,Kyle Kuzma,SF
137,0.07484769364664925,Kyle O'Quinn,PF
184,0.04824726724462872,Kyle O'Quinn,C
23,0.254957507082153,Lance Stephenson,SG
85,0.25050709939148075,Lance Stephenson,SF
119,0.10699001426533523,LeBron James,SF
150,0.16602316602316602,LeBron James,PF
145,0.037703513281919454,Marcus Morris,PF
121,0.0443298969072165,Marcus Morris,SF
53,0.1039426523297491,Marcus Smart,SG
10,0.08348214285714285,Marcus Smart,PG
59,0.10917874396135266,Markelle Fultz,SG
5,0.10098743267504488,Markelle Fultz,PG
181,0.04851447912749154,Marquese Chriss,C
152,0.06030150753768844,Marquese Chriss,PF
111,0.08879919273461151,Marvin Williams,SF
161,0.08845829823083404,Marvin Williams,PF
170,0.1415525114155251,Mason Plumlee,C
143,0.13406408094435077,Mason Plumlee,PF
146,0.07413647851727043,Michael Beasley,PF
88,0.07528957528957529,Michael Beasley,SF
138,0.12423979148566464,Mike Muscala,PF
168,0.13657957244655583,Mike Muscala,C
162,0.03160667251975417,Nemanja Bjelica,PF
117,0.03632694248234107,Nemanja Bjelica,SF
69,0.05185909980430528,Nicolas Batum,SG
120,0.0506198347107438,Nicolas Batum,SF
126,0.337117903930131,Nikola Mirotic,PF
74,0.30217391304347824,Nikola Mirotic,SF
