,Index,Player,Pos,,,,,,,,
253,0.07425991,Jason Smith,C,,,,,,,,
115,0.210732984,Jaylen Brown,SF,,,,,,,,
51,0.247326203,Jaylen Brown,SG,,,,,,,,
221,0.117009751,Jayson Tatum,PF,,,,,,,,
175,0.106990014,Jayson Tatum,SF,,,,,,,,
201,0.137681159,Jeff Green,PF,,,,,,,,
133,0.133858268,Jeff Green,SF,,,,,,,,
141,0.135508156,Jerami Grant,SF,,,,,,,,
193,0.120967742,Jerami Grant,PF,,,,,,,,
174,0.076056338,Jimmy Butler,SF,,,,,,,,
96,0.0848,Jimmy Butler,SG,,,,,,,,
57,0.139813582,Joe Harris,SG,,,,,,,,
167,0.12327044,Joe Harris,SF,,,,,,,,
158,0.056062581,Joe Ingles,SF,,,,,,,,
109,0.066371681,Joe Ingles,SG,,,,,,,,
202,0.066140178,Jon Leuer,PF,,,,,,,,
237,0.099400599,Jon Leuer,C,,,,,,,,
59,0.122205663,Jonathon Simmons,SG,,,,,,,,
152,0.102791878,Jonathon Simmons,SF,,,,,,,,
108,0.078125,Jordan Clarkson,SG,,,,,,,,
29,0.078991597,Jordan Clarkson,PG,,,,,,,,
144,0.153642384,Josh Richardson,SF,,,,,,,,
68,0.193548387,Josh Richardson,SG,,,,,,,,
93,0.207236842,Jrue Holiday,SG,,,,,,,,
22,0.230914232,Jrue Holiday,PG,,,,,,,,
255,0.039424614,Julius Randle,C,,,,,,,,
231,0.029868578,Julius Randle,PF,,,,,,,,
55,0.120320856,Justin Holiday,SG,,,,,,,,
154,0.097345133,Justin Holiday,SF,,,,,,,,
20,0.153658537,Justise Winslow,PG,,,,,,,,
163,0.116455696,Justise Winslow,SF,,,,,,,,
72,0.317406143,Kawhi Leonard,SG,,,,,,,,
142,0.312406577,Kawhi Leonard,SF,,,,,,,,
181,0.123991935,Kelly Olynyk,PF,,,,,,,,
254,0.1476265,Kelly Olynyk,C,,,,,,,,
168,0.125500668,Kelly Oubre Jr.,SF,,,,,,,,
54,0.137309293,Kelly Oubre Jr.,SG,,,,,,,,
244,0.078829945,Kenneth Faried,C,,,,,,,,
