,Index,Player,Pos
84,0.228125,Aaron Gordon,SF
121,0.24920382165605096,Aaron Gordon,PF
120,0.17956903431763768,Al Horford,PF
155,0.22178329571106095,Al Horford,C
100,0.0552434456928839,Allen Crabbe,SF
52,0.06448911222780569,Allen Crabbe,SG
122,0.07886904761904762,Amir Johnson,PF
158,0.08569051580698835,Amir Johnson,C
97,0.0647887323943662,Anthony Tolliver,SF
136,0.08279337652987762,Anthony Tolliver,PF
18,0.02000784621420165,Austin Rivers,PG
57,0.036596523330283626,Austin Rivers,SG
0,0.5320267686424475,Ben Simmons,PG
69,0.5955307262569832,Ben Simmons,SF
123,0.15877712031558186,Blake Griffin,PF
152,0.19454855195911414,Blake Griffin,C
90,0.14990512333965844,Bojan Bogdanovic,SF
24,0.1595744680851064,Bojan Bogdanovic,SG
29,0.21758436944937834,Buddy Hield,SG
87,0.22939424031777558,Buddy Hield,SF
54,0.04248088360237893,C.J. Williams,SG
110,0.047036688617121354,C.J. Williams,SF
20,0.3147656940760389,D'Angelo Russell,SG
7,0.25,D'Angelo Russell,PG
51,0.03451251078515962,Dante Exum,SG
16,0.014788169464428458,Dante Exum,PG
130,0.2823943661971831,Dario Saric,PF
71,0.24277456647398843,Dario Saric,SF
143,0.0683453237410072,DeMarre Carroll,PF
91,0.07202993451824134,DeMarre Carroll,SF
153,0.1937033084311633,Derrick Favors,C
133,0.14285714285714285,Derrick Favors,PF
2,0.22086885911490053,Derrick Rose,PG
21,0.2719546742209632,Derrick Rose,SG
157,0.19250895070228588,Dewayne Dedmon,C
124,0.17776152158010242,Dewayne Dedmon,PF
151,0.29336371404158357,Domantas Sabonis,C
115,0.2479087452471483,Domantas Sabonis,PF
12,0.17103620474406991,Donovan Mitchell,PG
38,0.2021379980563654,Donovan Mitchell,SG
142,0.06597222222222222,Doug McDermott,PF
108,0.0549558390578999,Doug McDermott,SF
162,0.08871616188689359,Ed Davis,C
145,0.08584005869405723,Ed Davis,PF
70,0.2702429149797571,Evan Fournier,SF
40,0.2513416815742397,Evan Fournier,SG
119,0.12143379663496708,Glenn Robinson III,PF
101,0.10679611650485436,Glenn Robinson III,SF
34,0.1630901287553648,Gordon Hayward,SG
