,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,SF,11595330,11000,Giannis Antetokounmpo,MIL,23,1,1,0,26.4,24,7,16,43.8,0,2,0.0,10,11,90.9,2,7,9,4,2,2,2,5,50.8,0,0,15
1,PF,11595330,11000,Giannis Antetokounmpo,MIL,23,1,1,0,26.4,24,7,16,43.8,0,2,0.0,10,11,90.9,2,7,9,4,2,2,2,5,50.8,0,0,15
2,PG,11595341,10300,Stephen Curry,GSW,30,1,0,1,26.1,10,5,14,35.7,0,4,0.0,0,0,0.0,0,1,1,6,2,0,0,4,18.2,0,0,-26
3,SG,11595341,10300,Stephen Curry,GSW,30,1,0,1,26.1,10,5,14,35.7,0,4,0.0,0,0,0.0,0,1,1,6,2,0,0,4,18.2,0,0,-26
4,SF,11595345,10200,Kevin Durant,GSW,30,1,0,1,30.8,17,6,15,40.0,1,2,50.0,4,5,80.0,0,5,5,9,6,0,1,1,33.5,0,0,-28
5,PF,11595345,10200,Kevin Durant,GSW,30,1,0,1,30.8,17,6,15,40.0,1,2,50.0,4,5,80.0,0,5,5,9,6,0,1,1,33.5,0,0,-28
6,PG,11595337,10100,James Harden,HOU,29,1,0,1,37.5,19,7,19,36.8,4,12,33.3,1,3,33.3,1,7,8,5,5,2,1,3,40.1,0,0,-13
7,SG,11595337,10100,James Harden,HOU,29,1,0,1,37.5,19,7,19,36.8,4,12,33.3,1,3,33.3,1,7,8,5,5,2,1,3,40.1,0,0,-13
8,SF,11595352,8900,Paul George,OKC,28,1,1,0,35.3,20,7,21,33.3,3,11,27.3,3,5,60.0,1,10,11,6,1,6,0,1,59.2,1,0,35
9,PF,11595352,8900,Paul George,OKC,28,1,1,0,35.3,20,7,21,33.3,3,11,27.3,3,5,60.0,1,10,11,6,1,6,0,1,59.2,1,0,35
10,PG,11595362,7600,Devin Booker,PHX,22,1,0,1,42.7,38,15,30,50.0,4,13,30.8,4,5,80.0,0,3,3,9,6,3,0,3,58.1,0,0,-2
11,SG,11595362,7600,Devin Booker,PHX,22,1,0,1,42.7,38,15,30,50.0,4,13,30.8,4,5,80.0,0,3,3,9,6,3,0,3,58.1,0,0,-2
12,SF,11595370,7100,Tobias Harris,LAC,26,1,0,1,36.8,15,6,16,37.5,1,3,33.3,2,2,100.0,0,11,11,2,0,0,1,4,34.2,1,0,-4
13,PF,11595370,7100,Tobias Harris,LAC,26,1,0,1,36.8,15,6,16,37.5,1,3,33.3,2,2,100.0,0,11,11,2,0,0,1,4,34.2,1,0,-4
14,PG,11595374,7000,Dennis Schroder,OKC,25,1,1,0,33.7,14,6,12,50.0,0,3,0.0,2,2,100.0,1,5,6,5,6,1,0,1,25.7,0,0,22
15,SG,11595374,7000,Dennis Schroder,OKC,25,1,1,0,33.7,14,6,12,50.0,0,3,0.0,2,2,100.0,1,5,6,5,6,1,0,1,25.7,0,0,22
16,SG,11595382,6700,Khris Middleton,MIL,27,1,1,0,28.9,17,6,16,37.5,2,9,22.2,3,4,75.0,1,2,3,6,2,3,1,3,39.6,0,0,33
17,SF,11595382,6700,Khris Middleton,MIL,27,1,1,0,28.9,17,6,16,37.5,2,9,22.2,3,4,75.0,1,2,3,6,2,3,1,3,39.6,0,0,33
18,PG,11595389,6500,CJ McCollum,POR,27,1,1,0,35.0,23,8,20,40.0,2,6,33.3,5,5,100.0,2,5,7,2,0,0,0,0,34.4,0,0,5
19,SG,11595389,6500,CJ McCollum,POR,27,1,1,0,35.0,23,8,20,40.0,2,6,33.3,5,5,100.0,2,5,7,2,0,0,0,0,34.4,0,0,5
20,SF,11595393,6400,Jayson Tatum,BOS,20,1,1,0,29.7,4,1,7,14.3,0,1,0.0,2,2,100.0,4,4,8,2,1,1,0,2,18.6,0,0,15
21,PF,11595393,6400,Jayson Tatum,BOS,20,1,1,0,29.7,4,1,7,14.3,0,1,0.0,2,2,100.0,4,4,8,2,1,1,0,2,18.6,0,0,15
22,PF,11595397,6300,Al Horford,BOS,32,1,1,0,32.7,7,3,7,42.9,1,2,50.0,0,1,0.0,2,4,6,3,2,0,4,0,28.7,0,0,14
23,C,11595397,6300,Al Horford,BOS,32,1,1,0,32.7,7,3,7,42.9,1,2,50.0,0,1,0.0,2,4,6,3,2,0,4,0,28.7,0,0,14
24,SF,11595401,6200,Marcus Morris,BOS,29,1,1,0,28.1,17,7,13,53.8,2,5,40.0,1,2,50.0,1,7,8,3,2,0,0,3,29.1,0,0,9
25,PF,11595401,6200,Marcus Morris,BOS,29,1,1,0,28.1,17,7,13,53.8,2,5,40.0,1,2,50.0,1,7,8,3,2,0,0,3,29.1,0,0,9
26,SF,11595405,6000,Danilo Gallinari,LAC,30,1,0,1,30.1,20,6,13,46.2,5,8,62.5,3,3,100.0,1,4,5,0,2,0,0,1,24.0,0,0,-8
27,PF,11595405,6000,Danilo Gallinari,LAC,30,1,0,1,30.1,20,6,13,46.2,5,8,62.5,3,3,100.0,1,4,5,0,2,0,0,1,24.0,0,0,-8
28,PG,11595412,5900,Lou Williams,LAC,32,1,0,1,35.5,20,8,22,36.4,0,4,0.0,4,4,100.0,2,1,3,7,2,0,0,1,32.1,0,0,-3
29,SG,11595412,5900,Lou Williams,LAC,32,1,0,1,35.5,20,8,22,36.4,0,4,0.0,4,4,100.0,2,1,3,7,2,0,0,1,32.1,0,0,-3
30,PG,11595418,5700,Eric Bledsoe,MIL,28,1,1,0,26.1,26,10,12,83.3,2,3,66.7,4,6,66.7,2,2,4,6,3,1,0,2,39.8,0,0,30
31,SG,11595418,5700,Eric Bledsoe,MIL,28,1,1,0,26.1,26,10,12,83.3,2,3,66.7,4,6,66.7,2,2,4,6,3,1,0,2,39.8,0,0,30
32,PF,11595426,5600,Montrezl Harrell,LAC,24,1,0,1,25.0,19,8,9,88.9,0,0,0.0,3,5,60.0,2,4,6,2,1,1,3,2,40.2,0,0,-6
33,C,11595426,5600,Montrezl Harrell,LAC,24,1,0,1,25.0,19,8,9,88.9,0,0,0.0,3,5,60.0,2,4,6,2,1,1,3,2,40.2,0,0,-6
