,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,PF,11587281,11500,Anthony Davis,NOP,25,1,1,0,37.0,32,13,24,54.2,2,4,50.0,4,7,57.1,2,13,15,7,4,1,4,2,71.5,1,0,8
1,C,11587281,11500,Anthony Davis,NOP,25,1,1,0,37.0,32,13,24,54.2,2,4,50.0,4,7,57.1,2,13,15,7,4,1,4,2,71.5,1,0,8
2,SF,11587290,11000,LeBron James,LAL,33,1,1,0,38.5,24,10,21,47.6,3,9,33.3,1,2,50.0,1,10,11,9,3,0,2,1,53.7,1,0,3
3,PF,11587290,11000,LeBron James,LAL,33,1,1,0,38.5,24,10,21,47.6,3,9,33.3,1,2,50.0,1,10,11,9,3,0,2,1,53.7,1,0,3
4,PF,11587294,9900,Blake Griffin,DET,29,1,1,0,35.1,20,7,17,41.2,1,5,20.0,5,6,83.3,1,4,5,3,3,1,0,3,30.5,0,0,-8
5,C,11587294,9900,Blake Griffin,DET,29,1,1,0,35.1,20,7,17,41.2,1,5,20.0,5,6,83.3,1,4,5,3,3,1,0,3,30.5,0,0,-8
6,PG,11587298,9600,Ben Simmons,PHI,22,1,1,0,34.3,16,7,12,58.3,0,0,0.0,2,4,50.0,0,10,10,8,1,0,2,3,45.0,1,0,0
7,SF,11587298,9600,Ben Simmons,PHI,22,1,1,0,34.3,16,7,12,58.3,0,0,0.0,2,4,50.0,0,10,10,8,1,0,2,3,45.0,1,0,0
8,SG,11587303,9400,Kawhi Leonard,TOR,27,1,1,0,31.4,25,7,17,41.2,2,5,40.0,9,9,100.0,2,9,11,2,5,0,0,0,36.2,1,0,0
9,SF,11587303,9400,Kawhi Leonard,TOR,27,1,1,0,31.4,25,7,17,41.2,2,5,40.0,9,9,100.0,2,9,11,2,5,0,0,0,36.2,1,0,0
10,SG,11587308,9200,DeMar DeRozan,SAS,29,1,0,1,36.6,18,6,15,40.0,1,2,50.0,5,5,100.0,3,11,14,8,3,2,1,3,52.8,1,0,1
11,SF,11587308,9200,DeMar DeRozan,SAS,29,1,0,1,36.6,18,6,15,40.0,1,2,50.0,5,5,100.0,3,11,14,8,3,2,1,3,52.8,1,0,1
12,SF,11587313,9100,Paul George,OKC,28,1,1,0,38.5,18,7,16,43.8,1,3,33.3,3,4,75.0,1,6,7,2,3,2,0,3,32.4,0,0,12
13,PF,11587313,9100,Paul George,OKC,28,1,1,0,38.5,18,7,16,43.8,1,3,33.3,3,4,75.0,1,6,7,2,3,2,0,3,32.4,0,0,12
14,PG,11587326,8700,Victor Oladipo,IND,26,1,0,1,36.7,36,14,30,46.7,4,14,28.6,4,6,66.7,0,6,6,7,1,2,3,1,67.7,0,0,-7
15,SG,11587326,8700,Victor Oladipo,IND,26,1,0,1,36.7,36,14,30,46.7,4,14,28.6,4,6,66.7,0,6,6,7,1,2,3,1,67.7,0,0,-7
16,PG,11587330,8600,Jrue Holiday,NOP,28,1,1,0,37.2,17,6,16,37.5,1,4,25.0,4,5,80.0,4,6,10,9,4,2,2,2,50.5,1,0,17
17,SG,11587330,8600,Jrue Holiday,NOP,28,1,1,0,37.2,17,6,16,37.5,1,4,25.0,4,5,80.0,4,6,10,9,4,2,2,2,50.5,1,0,17
18,PG,11587334,8500,Zach LaVine,CHI,23,1,0,1,37.9,22,9,26,34.6,2,5,40.0,2,2,100.0,0,5,5,4,1,0,1,2,36.0,0,0,-15
19,SG,11587334,8500,Zach LaVine,CHI,23,1,0,1,37.9,22,9,26,34.6,2,5,40.0,2,2,100.0,0,5,5,4,1,0,1,2,36.0,0,0,-15
20,SF,11587340,8300,Nikola Mirotic,NOP,27,1,1,0,29.5,9,4,14,28.6,1,8,12.5,0,0,0.0,2,13,15,1,4,0,1,1,27.5,0,0,2
21,PF,11587340,8300,Nikola Mirotic,NOP,27,1,1,0,29.5,9,4,14,28.6,1,8,12.5,0,0,0.0,2,13,15,1,4,0,1,1,27.5,0,0,2
22,SG,11587344,8200,Jimmy Butler,MIN,29,1,0,1,43.1,24,9,18,50.0,5,8,62.5,1,1,100.0,2,3,5,5,0,3,1,2,49.5,0,0,-2
23,SF,11587344,8200,Jimmy Butler,MIN,29,1,0,1,43.1,24,9,18,50.0,5,8,62.5,1,1,100.0,2,3,5,5,0,3,1,2,49.5,0,0,-2
24,PF,11587355,7900,LaMarcus Aldridge,SAS,33,1,0,1,35.6,6,2,14,14.3,0,0,0.0,2,2,100.0,4,12,16,0,1,0,2,3,30.2,0,0,-9
25,C,11587355,7900,LaMarcus Aldridge,SAS,33,1,0,1,35.6,6,2,14,14.3,0,0,0.0,2,2,100.0,4,12,16,0,1,0,2,3,30.2,0,0,-9
26,SG,11587366,7800,Tim Hardaway Jr.,NYK,26,1,1,0,36.6,34,8,22,36.4,2,11,18.2,16,20,80.0,0,1,1,3,2,3,1,1,49.7,0,0,20
27,SF,11587366,7800,Tim Hardaway Jr.,NYK,26,1,1,0,36.6,34,8,22,36.4,2,11,18.2,16,20,80.0,0,1,1,3,2,3,1,1,49.7,0,0,20
28,SG,11587361,7700,Josh Richardson,MIA,25,1,1,0,37.8,14,6,22,27.3,2,6,33.3,0,0,0.0,3,2,5,5,2,2,0,2,31.5,0,0,11
29,SF,11587361,7700,Josh Richardson,MIA,25,1,1,0,37.8,14,6,22,27.3,2,6,33.3,0,0,0.0,3,2,5,5,2,2,0,2,31.5,0,0,11
30,PG,11587381,7500,Jamal Murray,DEN,21,1,0,1,36.8,15,6,21,28.6,2,9,22.2,1,2,50.0,2,2,4,7,3,1,0,2,30.3,0,0,-6
31,SG,11587381,7500,Jamal Murray,DEN,21,1,0,1,36.8,15,6,21,28.6,2,9,22.2,1,2,50.0,2,2,4,7,3,1,0,2,30.3,0,0,-6
32,PG,11587376,7500,Luka Doncic,DAL,19,1,0,1,35.2,24,7,14,50.0,3,4,75.0,7,7,100.0,1,5,6,2,5,0,0,3,29.2,0,0,-16
33,SF,11587376,7500,Luka Doncic,DAL,19,1,0,1,35.2,24,7,14,50.0,3,4,75.0,7,7,100.0,1,5,6,2,5,0,0,3,29.2,0,0,-16
34,PG,11587385,7400,Donovan Mitchell,UTA,22,1,1,0,33.0,23,9,17,52.9,3,8,37.5,2,2,100.0,1,4,5,7,1,2,0,2,44.5,0,0,9
35,SG,11587385,7400,Donovan Mitchell,UTA,22,1,1,0,33.0,23,9,17,52.9,3,8,37.5,2,2,100.0,1,4,5,7,1,2,0,2,44.5,0,0,9
36,SF,11587396,7000,Aaron Gordon,ORL,23,1,0,1,28.1,15,7,15,46.7,1,4,25.0,0,0,0.0,1,9,10,6,1,2,1,5,44.0,1,0,16
37,PF,11587396,7000,Aaron Gordon,ORL,23,1,0,1,28.1,15,7,15,46.7,1,4,25.0,0,0,0.0,1,9,10,6,1,2,1,5,44.0,1,0,16
38,PG,11587400,6900,Dennis Schroder,OKC,25,1,1,0,34.0,28,11,19,57.9,0,3,0.0,6,8,75.0,0,7,7,0,2,1,1,2,40.4,0,0,20
39,SG,11587400,6900,Dennis Schroder,OKC,25,1,1,0,34.0,28,11,19,57.9,0,3,0.0,6,8,75.0,0,7,7,0,2,1,1,2,40.4,0,0,20
40,PF,11587411,6500,Julius Randle,NOP,23,1,1,0,23.5,12,5,8,62.5,1,2,50.0,1,2,50.0,1,4,5,5,2,0,0,2,23.5,0,0,4
41,C,11587411,6500,Julius Randle,NOP,23,1,1,0,23.5,12,5,8,62.5,1,2,50.0,1,2,50.0,1,4,5,5,2,0,0,2,23.5,0,0,4
42,SG,11587415,6500,Buddy Hield,SAC,24,1,0,1,35.6,24,9,22,40.9,3,9,33.3,3,3,100.0,0,4,4,3,1,1,1,1,38.3,0,0,-3
43,SF,11587415,6500,Buddy Hield,SAC,24,1,0,1,35.6,24,9,22,40.9,3,9,33.3,3,3,100.0,0,4,4,3,1,1,1,1,38.3,0,0,-3
44,SG,11587437,6300,Rodney McGruder,MIA,27,1,1,0,37.3,4,2,9,22.2,0,4,0.0,0,0,0.0,0,10,10,4,0,0,0,2,22.0,0,0,5
45,SF,11587437,6300,Rodney McGruder,MIA,27,1,1,0,37.3,4,2,9,22.2,0,4,0.0,0,0,0.0,0,10,10,4,0,0,0,2,22.0,0,0,5
46,SG,11587432,6200,Joe Ingles,UTA,31,1,1,0,36.0,6,2,9,22.2,2,8,25.0,0,0,0.0,0,2,2,6,3,3,0,1,23.4,0,0,9
47,SF,11587432,6200,Joe Ingles,UTA,31,1,1,0,36.0,6,2,9,22.2,2,8,25.0,0,0,0.0,0,2,2,6,3,3,0,1,23.4,0,0,9
48,PF,11587444,6100,Domantas Sabonis,IND,22,1,0,1,31.8,16,7,14,50.0,0,1,0.0,2,2,100.0,3,8,11,3,1,0,1,2,35.7,1,0,8
49,C,11587444,6100,Domantas Sabonis,IND,22,1,0,1,31.8,16,7,14,50.0,0,1,0.0,2,2,100.0,3,8,11,3,1,0,1,2,35.7,1,0,8
50,SG,11587453,6100,Evan Fournier,ORL,26,1,0,1,31.0,27,12,19,63.2,3,6,50.0,0,0,0.0,1,4,5,3,4,3,1,2,45.5,0,0,16
