,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,SF,11619575,11200,Kevin Durant,GSW,30,1,1,0,37,29,9,23,39.1,0,3,0.0,11,11,100.0,0,6,6,3,4,2,1,3,45.7,0,0,-7
1,PF,11619575,11200,Kevin Durant,GSW,30,1,1,0,37,29,9,23,39.1,0,3,0.0,11,11,100.0,0,6,6,3,4,2,1,3,45.7,0,0,-7
2,PG,11619579,10500,James Harden,HOU,29,1,1,0,37,22,7,16,43.8,2,10,20.0,6,8,75.0,1,4,5,11,4,3,1,3,52.5,1,0,13
3,SG,11619579,10500,James Harden,HOU,29,1,1,0,37,22,7,16,43.8,2,10,20.0,6,8,75.0,1,4,5,11,4,3,1,3,52.5,1,0,13
4,PG,11619609,6600,Jamal Murray,DEN,21,1,0,1,35,15,7,13,53.8,0,3,0.0,1,1,100.0,0,1,1,5,3,1,0,1,23.7,0,0,-4
5,SG,11619609,6600,Jamal Murray,DEN,21,1,0,1,35,15,7,13,53.8,0,3,0.0,1,1,100.0,0,1,1,5,3,1,0,1,23.7,0,0,-4
6,SG,11619625,5900,Kent Bazemore,ATL,29,1,0,1,27,18,7,16,43.8,1,4,25.0,3,3,100.0,0,2,2,1,1,1,0,2,23.9,0,0,-7
7,SF,11619625,5900,Kent Bazemore,ATL,29,1,0,1,27,18,7,16,43.8,1,4,25.0,3,3,100.0,0,2,2,1,1,1,0,2,23.9,0,0,-7
8,SG,11619630,5800,Nicolas Batum,CHA,29,1,0,1,29,11,5,12,41.7,1,4,25.0,0,0,0.0,5,0,5,3,2,0,0,3,19.5,0,0,-20
9,SF,11619630,5800,Nicolas Batum,CHA,29,1,0,1,29,11,5,12,41.7,1,4,25.0,0,0,0.0,5,0,5,3,2,0,0,3,19.5,0,0,-20
10,PG,11619637,5700,Jordan Clarkson,CLE,26,1,1,0,28,24,9,15,60.0,1,4,25.0,5,5,100.0,0,5,5,2,4,0,1,1,32.0,0,0,18
11,SG,11619637,5700,Jordan Clarkson,CLE,26,1,1,0,28,24,9,15,60.0,1,4,25.0,5,5,100.0,0,5,5,2,4,0,1,1,32.0,0,0,18
12,PF,11619641,5600,Paul Millsap,DEN,33,1,0,1,26,13,4,8,50.0,1,2,50.0,4,4,100.0,0,0,0,1,3,2,0,5,17.5,0,0,-5
13,C,11619641,5600,Paul Millsap,DEN,33,1,0,1,26,13,4,8,50.0,1,2,50.0,4,4,100.0,0,0,0,1,3,2,0,5,17.5,0,0,-5
14,SG,11619655,5400,Rodney Hood,CLE,26,1,1,0,29,16,7,12,58.3,2,3,66.7,0,0,0.0,0,2,2,2,1,0,0,4,20.4,0,0,0
15,SF,11619655,5400,Rodney Hood,CLE,26,1,1,0,29,16,7,12,58.3,2,3,66.7,0,0,0.0,0,2,2,2,1,0,0,4,20.4,0,0,0
16,PG,11619660,5300,Eric Gordon,HOU,29,1,1,0,33,11,3,9,33.3,2,7,28.6,3,5,60.0,0,0,0,2,2,0,1,1,15.0,0,0,0
17,SG,11619660,5300,Eric Gordon,HOU,29,1,1,0,33,11,3,9,33.3,2,7,28.6,3,5,60.0,0,0,0,2,2,0,1,1,15.0,0,0,0
18,PF,11619664,5200,Larry Nance Jr.,CLE,25,1,1,0,35,7,3,6,50.0,1,2,50.0,0,0,0.0,3,9,12,1,1,1,1,2,27.9,0,0,9
19,C,11619664,5200,Larry Nance Jr.,CLE,25,1,1,0,35,7,3,6,50.0,1,2,50.0,0,0,0.0,3,9,12,1,1,1,1,2,27.9,0,0,9
20,SG,11619674,5000,Jeremy Lamb,CHA,26,1,0,1,32,22,8,16,50.0,1,4,25.0,5,5,100.0,0,6,6,2,3,3,0,2,38.2,0,0,-24
21,SF,11619674,5000,Jeremy Lamb,CHA,26,1,0,1,32,22,8,16,50.0,1,4,25.0,5,5,100.0,0,6,6,2,3,3,0,2,38.2,0,0,-24
22,SF,11619685,4600,Trey Lyles,DEN,23,1,0,1,13,8,3,4,75.0,1,1,100.0,1,2,50.0,0,1,1,0,1,1,0,1,11.2,0,0,-12
23,PF,11619685,4600,Trey Lyles,DEN,23,1,0,1,13,8,3,4,75.0,1,1,100.0,1,2,50.0,0,1,1,0,1,1,0,1,11.2,0,0,-12
24,SF,11619715,4200,Marvin Williams,CHA,32,1,0,1,30,8,3,8,37.5,2,7,28.6,0,0,0.0,0,2,2,2,0,3,1,1,25.4,0,0,-10
25,PF,11619715,4200,Marvin Williams,CHA,32,1,0,1,30,8,3,8,37.5,2,7,28.6,0,0,0.0,0,2,2,2,0,3,1,1,25.4,0,0,-10
26,SF,11619747,3800,Juancho Hernangomez,DEN,23,1,0,1,39,6,2,6,33.3,2,4,50.0,0,0,0.0,1,8,9,2,0,0,0,2,19.8,0,0,3
27,PF,11619747,3800,Juancho Hernangomez,DEN,23,1,0,1,39,6,2,6,33.3,2,4,50.0,0,0,0.0,1,8,9,2,0,0,0,2,19.8,0,0,3
28,SG,11619738,3800,Andre Iguodala,GSW,34,1,1,0,26,8,3,5,60.0,2,2,100.0,0,0,0.0,1,4,5,5,2,0,0,1,19.5,0,0,2
29,SF,11619738,3800,Andre Iguodala,GSW,34,1,1,0,26,8,3,5,60.0,2,2,100.0,0,0,0.0,1,4,5,5,2,0,0,1,19.5,0,0,2
30,PF,11619743,3800,Kevon Looney,GSW,22,1,1,0,19,4,1,2,50.0,0,0,0.0,2,3,66.7,2,1,3,3,1,1,2,3,20.1,0,0,-2
