,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,PF,11602842,10000,Blake Griffin,DET,29,1,1,0,26,6,2,10,20.0,1,5,20.0,1,3,33.3,0,9,9,9,1,2,0,2,35.3,0,0,22
1,C,11602842,10000,Blake Griffin,DET,29,1,1,0,26,6,2,10,20.0,1,5,20.0,1,3,33.3,0,9,9,9,1,2,0,2,35.3,0,0,22
2,PG,11602846,9800,Ben Simmons,PHI,22,1,1,0,41,22,9,15,60.0,0,0,0.0,4,6,66.7,2,6,8,13,3,2,3,4,63.1,1,0,-2
3,SF,11602846,9800,Ben Simmons,PHI,22,1,1,0,41,22,9,15,60.0,0,0,0.0,4,6,66.7,2,6,8,13,3,2,3,4,63.1,1,0,-2
4,PG,11602861,9000,Victor Oladipo,IND,26,1,1,0,37,22,9,22,40.9,1,5,20.0,3,5,60.0,0,5,5,10,1,4,0,3,54.0,1,0,15
5,SG,11602861,9000,Victor Oladipo,IND,26,1,1,0,37,22,9,22,40.9,1,5,20.0,3,5,60.0,0,5,5,10,1,4,0,3,54.0,1,0,15
6,SG,11602867,8600,Jimmy Butler,MIN,29,1,0,1,41,13,3,12,25.0,0,2,0.0,7,10,70.0,2,6,8,8,3,2,0,1,37.6,0,0,-6
7,SF,11602867,8600,Jimmy Butler,MIN,29,1,0,1,41,13,3,12,25.0,0,2,0.0,7,10,70.0,2,6,8,8,3,2,0,1,37.6,0,0,-6
8,SF,11602884,7500,Aaron Gordon,ORL,23,1,1,0,42,20,6,14,42.9,3,4,75.0,5,6,83.3,2,5,7,4,0,0,0,0,34.4,0,0,-3
9,PF,11602884,7500,Aaron Gordon,ORL,23,1,1,0,42,20,6,14,42.9,3,4,75.0,5,6,83.3,2,5,7,4,0,0,0,0,34.4,0,0,-3
10,SG,11602888,7400,Josh Richardson,MIA,25,1,0,1,29,18,6,17,35.3,2,6,33.3,4,5,80.0,0,0,0,6,6,2,0,5,27.0,0,0,-2
11,SF,11602888,7400,Josh Richardson,MIA,25,1,0,1,29,18,6,17,35.3,2,6,33.3,4,5,80.0,0,0,0,6,6,2,0,5,27.0,0,0,-2
12,PG,11602896,7200,Jamal Murray,DEN,21,1,0,1,40,16,5,14,35.7,0,1,0.0,6,6,100.0,1,1,2,5,2,1,0,5,26.9,0,0,-6
13,SG,11602896,7200,Jamal Murray,DEN,21,1,0,1,40,16,5,14,35.7,0,1,0.0,6,6,100.0,1,1,2,5,2,1,0,5,26.9,0,0,-6
14,PG,11602900,7100,Donovan Mitchell,UTA,22,1,1,0,34,21,5,14,35.7,1,6,16.7,10,13,76.9,0,2,2,5,5,2,0,1,31.9,0,0,-2
15,SG,11602900,7100,Donovan Mitchell,UTA,22,1,1,0,34,21,5,14,35.7,1,6,16.7,10,13,76.9,0,2,2,5,5,2,0,1,31.9,0,0,-2
16,PG,11602920,6800,Derrick Rose,MIN,30,1,0,1,35,21,7,16,43.8,3,6,50.0,4,4,100.0,0,6,6,5,3,1,0,4,35.7,0,0,9
17,SG,11602920,6800,Derrick Rose,MIN,30,1,0,1,35,21,7,16,43.8,3,6,50.0,4,4,100.0,0,6,6,5,3,1,0,4,35.7,0,0,9
18,SG,11602910,6700,Buddy Hield,SAC,24,1,1,0,33,15,6,14,42.9,3,7,42.9,0,0,0.0,2,8,10,3,2,0,0,5,29.5,1,0,4
19,SF,11602910,6700,Buddy Hield,SAC,24,1,1,0,33,15,6,14,42.9,3,7,42.9,0,0,0.0,2,8,10,3,2,0,0,5,29.5,1,0,4
20,SF,11602946,6500,Jayson Tatum,BOS,20,1,0,1,36,21,7,14,50.0,2,4,50.0,5,6,83.3,1,2,3,4,1,5,0,4,44.6,0,0,0
21,PF,11602946,6500,Jayson Tatum,BOS,20,1,0,1,36,21,7,14,50.0,2,4,50.0,5,6,83.3,1,2,3,4,1,5,0,4,44.6,0,0,0
22,SG,11602924,6400,Evan Fournier,ORL,26,1,1,0,37,15,6,17,35.3,3,10,30.0,0,0,0.0,0,4,4,6,3,2,1,2,34.8,0,0,-1
