,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,SF,11611807,11200,Giannis Antetokounmpo,MIL,23,1,1,0,36,22,11,16,68.8,0,1,0.0,0,5,0.0,0,9,9,8,3,2,1,2,50.8,0,0,8
1,PF,11611807,11200,Giannis Antetokounmpo,MIL,23,1,1,0,36,22,11,16,68.8,0,1,0.0,0,5,0.0,0,9,9,8,3,2,1,2,50.8,0,0,8
2,SF,11611811,10700,LeBron James,LAL,33,1,1,0,34,26,10,20,50.0,3,9,33.3,3,7,42.9,3,4,7,4,4,2,0,1,42.4,0,0,22
3,PF,11611811,10700,LeBron James,LAL,33,1,1,0,34,26,10,20,50.0,3,9,33.3,3,7,42.9,3,4,7,4,4,2,0,1,42.4,0,0,22
4,PG,11611817,9400,Victor Oladipo,IND,26,1,0,1,40,22,7,24,29.2,3,10,30.0,5,6,83.3,1,9,10,7,3,2,0,4,47.5,1,0,-16
5,SG,11611817,9400,Victor Oladipo,IND,26,1,0,1,40,22,7,24,29.2,3,10,30.0,5,6,83.3,1,9,10,7,3,2,0,4,47.5,1,0,-16
6,PG,11611821,9400,James Harden,HOU,29,1,1,0,38,40,9,20,45.0,8,18,44.4,14,15,93.3,0,7,7,9,9,1,1,5,58.9,0,0,13
7,SG,11611821,9400,James Harden,HOU,29,1,1,0,38,40,9,20,45.0,8,18,44.4,14,15,93.3,0,7,7,9,9,1,1,5,58.9,0,0,13
8,SG,11611837,7300,Tim Hardaway Jr.,NYK,26,1,0,1,26,7,2,12,16.7,0,6,0.0,3,4,75.0,0,6,6,1,2,1,0,3,16.7,0,0,-18
9,SF,11611837,7300,Tim Hardaway Jr.,NYK,26,1,0,1,26,7,2,12,16.7,0,6,0.0,3,4,75.0,0,6,6,1,2,1,0,3,16.7,0,0,-18
10,SG,11611848,7000,Khris Middleton,MIL,27,1,1,0,34,21,8,12,66.7,3,5,60.0,2,2,100.0,1,4,5,2,3,0,0,3,27.0,0,0,11
11,SF,11611848,7000,Khris Middleton,MIL,27,1,1,0,34,21,8,12,66.7,3,5,60.0,2,2,100.0,1,4,5,2,3,0,0,3,27.0,0,0,11
12,PG,11611853,6900,Jamal Murray,DEN,21,1,0,1,34,14,7,16,43.8,0,1,0.0,0,0,0.0,3,2,5,2,3,2,0,2,26.0,0,0,-4
13,SG,11611853,6900,Jamal Murray,DEN,21,1,0,1,34,14,7,16,43.8,0,1,0.0,0,0,0.0,3,2,5,2,3,2,0,2,26.0,0,0,-4
