,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
174,SG,11650496,3000,Kentavious Caldwell-Pope,LAL,25,1,0,1,28.3,10,3,9,33.3,0,3,0.0,4,4,100.0,3,1,4,0,0,0,0,3,14.8,0,0,-6
175,SF,11650496,3000,Kentavious Caldwell-Pope,LAL,25,1,0,1,28.3,10,3,9,33.3,0,3,0.0,4,4,100.0,3,1,4,0,0,0,0,3,14.8,0,0,-6
176,PG,11650533,3000,Brad Wanamaker,BOS,29,1,0,1,9.0,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,0,6.7,0,0,5
177,SG,11650533,3000,Brad Wanamaker,BOS,29,1,0,1,9.0,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,1,1,0,0,6.7,0,0,5
178,PF,11650554,3000,Daniel Theis,BOS,26,1,0,1,12.4,7,3,4,75.0,0,0,0.0,1,4,25.0,2,0,2,0,0,0,0,4,9.4,0,0,5
179,C,11650554,3000,Daniel Theis,BOS,26,1,0,1,12.4,7,3,4,75.0,0,0,0.0,1,4,25.0,2,0,2,0,0,0,0,4,9.4,0,0,5
180,PF,11650586,3000,Skal Labissiere,SAC,22,1,0,1,6.9,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,1,1,1,2,8.2,0,0,-1
181,C,11650586,3000,Skal Labissiere,SAC,22,1,0,1,6.9,2,1,3,33.3,0,0,0.0,0,0,0.0,0,1,1,0,1,1,1,2,8.2,0,0,-1
182,PF,11650673,3000,Marquese Chriss,HOU,21,1,1,0,3.4,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,4.0,0,0,-3
183,C,11650673,3000,Marquese Chriss,HOU,21,1,1,0,3.4,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,4.0,0,0,-3
184,PF,11650677,3000,Patrick Patterson,OKC,29,1,1,0,15.6,4,1,5,20.0,1,3,33.3,1,2,50.0,1,2,3,0,0,0,0,0,7.6,0,0,-4
185,C,11650677,3000,Patrick Patterson,OKC,29,1,1,0,15.6,4,1,5,20.0,1,3,33.3,1,2,50.0,1,2,3,0,0,0,0,0,7.6,0,0,-4
