,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,PF,11629423,11300,Anthony Davis,NOP,25,1,0,1,41,29,9,25,36.0,2,3,66.7,9,10,90.0,2,9,11,2,0,2,4,2,63.2,1,0,6
1,C,11629423,11300,Anthony Davis,NOP,25,1,0,1,41,29,9,25,36.0,2,3,66.7,9,10,90.0,2,9,11,2,0,2,4,2,63.2,1,0,6
2,SF,11629427,11000,Giannis Antetokounmpo,MIL,23,1,0,1,35,31,10,14,71.4,0,2,0.0,11,12,91.7,1,8,9,4,6,1,2,4,50.8,0,0,4
3,PF,11629427,11000,Giannis Antetokounmpo,MIL,23,1,0,1,35,31,10,14,71.4,0,2,0.0,11,12,91.7,1,8,9,4,6,1,2,4,50.8,0,0,4
4,SF,11629436,10300,LeBron James,LAL,33,1,1,0,36,44,13,19,68.4,5,6,83.3,13,15,86.7,2,8,10,9,4,1,3,0,77.5,1,0,4
5,PF,11629436,10300,LeBron James,LAL,33,1,1,0,36,44,13,19,68.4,5,6,83.3,13,15,86.7,2,8,10,9,4,1,3,0,77.5,1,0,4
6,SF,11629440,9600,Paul George,OKC,28,1,1,0,29,35,13,22,59.1,5,11,45.5,4,4,100.0,1,6,7,5,0,2,1,3,59.9,0,0,17
7,PF,11629440,9600,Paul George,OKC,28,1,1,0,29,35,13,22,59.1,5,11,45.5,4,4,100.0,1,6,7,5,0,2,1,3,59.9,0,0,17
8,PF,11629446,9400,Blake Griffin,DET,29,1,1,0,40,30,13,22,59.1,3,8,37.5,1,2,50.0,1,11,12,3,5,3,2,2,58.9,1,0,6
9,C,11629446,9400,Blake Griffin,DET,29,1,1,0,40,30,13,22,59.1,3,8,37.5,1,2,50.0,1,11,12,3,5,3,2,2,58.9,1,0,6
10,SG,11629455,9000,DeMar DeRozan,SAS,29,1,0,1,32,24,7,15,46.7,0,0,0.0,10,10,100.0,0,5,5,4,2,0,0,2,34.0,0,0,-17
11,SF,11629455,9000,DeMar DeRozan,SAS,29,1,0,1,32,24,7,15,46.7,0,0,0.0,10,10,100.0,0,5,5,4,2,0,0,2,34.0,0,0,-17
12,PG,11629463,8700,Ben Simmons,PHI,22,1,0,1,31,9,3,5,60.0,0,0,0.0,3,5,60.0,0,3,3,6,1,0,1,3,23.6,0,0,-12
13,SF,11629463,8700,Ben Simmons,PHI,22,1,0,1,31,9,3,5,60.0,0,0,0.0,3,5,60.0,0,3,3,6,1,0,1,3,23.6,0,0,-12
14,SG,11629468,8600,Kawhi Leonard,TOR,27,1,0,1,35,26,10,18,55.6,0,2,0.0,6,8,75.0,0,9,9,4,6,3,0,2,45.8,0,0,1
15,SF,11629468,8600,Kawhi Leonard,TOR,27,1,0,1,35,26,10,18,55.6,0,2,0.0,6,8,75.0,0,9,9,4,6,3,0,2,45.8,0,0,1
16,PG,11629473,8500,Jrue Holiday,NOP,28,1,0,1,39,14,7,18,38.9,0,3,0.0,0,0,0.0,2,2,4,10,6,0,2,3,33.8,1,0,0
17,SG,11629473,8500,Jrue Holiday,NOP,28,1,0,1,39,14,7,18,38.9,0,3,0.0,0,0,0.0,2,2,4,10,6,0,2,3,33.8,1,0,0
18,PF,11629479,8300,LaMarcus Aldridge,SAS,33,1,0,1,29,6,3,12,25.0,0,1,0.0,0,0,0.0,4,8,12,0,2,0,0,1,18.4,0,0,-11
19,C,11629479,8300,LaMarcus Aldridge,SAS,33,1,0,1,29,6,3,12,25.0,0,1,0.0,0,0,0.0,4,8,12,0,2,0,0,1,18.4,0,0,-11
20,SG,11629485,8200,Jimmy Butler,PHI,29,1,0,1,33,14,6,12,50.0,0,1,0.0,2,2,100.0,1,3,4,2,2,0,0,3,19.8,0,0,-10
21,SF,11629485,8200,Jimmy Butler,PHI,29,1,0,1,33,14,6,12,50.0,0,1,0.0,2,2,100.0,1,3,4,2,2,0,0,3,19.8,0,0,-10
22,PG,11629502,7900,Zach LaVine,CHI,23,1,0,1,32,10,3,11,27.3,0,2,0.0,4,4,100.0,1,8,9,4,4,1,0,0,25.8,0,0,-21
23,SG,11629502,7900,Zach LaVine,CHI,23,1,0,1,32,10,3,11,27.3,0,2,0.0,4,4,100.0,1,8,9,4,4,1,0,0,25.8,0,0,-21
24,PG,11629506,7800,Dennis Schroder,OKC,25,1,1,0,30,15,5,10,50.0,3,5,60.0,2,2,100.0,0,4,4,12,3,1,1,2,40.8,1,0,30
25,SG,11629506,7800,Dennis Schroder,OKC,25,1,1,0,30,15,5,10,50.0,3,5,60.0,2,2,100.0,0,4,4,12,3,1,1,2,40.8,1,0,30
26,SF,11629510,7700,Aaron Gordon,ORL,23,1,1,0,32,17,7,13,53.8,1,3,33.3,2,3,66.7,0,6,6,6,1,1,2,4,41.2,0,0,0
27,PF,11629510,7700,Aaron Gordon,ORL,23,1,1,0,32,17,7,13,53.8,1,3,33.3,2,3,66.7,0,6,6,6,1,1,2,4,41.2,0,0,0
28,PG,11629514,7600,Devin Booker,PHX,22,1,1,0,37,13,5,14,35.7,2,6,33.3,1,1,100.0,1,3,4,12,7,2,0,1,34.8,1,0,20
29,SG,11629514,7600,Devin Booker,PHX,22,1,1,0,37,13,5,14,35.7,2,6,33.3,1,1,100.0,1,3,4,12,7,2,0,1,34.8,1,0,20
30,SF,11629521,7500,Nikola Mirotic,NOP,27,1,0,1,33,16,7,14,50.0,2,8,25.0,0,0,0.0,1,9,10,1,2,1,0,3,30.5,1,0,0
31,PF,11629521,7500,Nikola Mirotic,NOP,27,1,0,1,33,16,7,14,50.0,2,8,25.0,0,0,0.0,1,9,10,1,2,1,0,3,30.5,1,0,0
32,PG,11629525,7400,Donovan Mitchell,UTA,22,1,0,1,25,10,3,9,33.3,1,3,33.3,3,3,100.0,2,1,3,3,5,0,1,1,16.1,0,0,-12
33,SG,11629525,7400,Donovan Mitchell,UTA,22,1,0,1,25,10,3,9,33.3,1,3,33.3,3,3,100.0,2,1,3,3,5,0,1,1,16.1,0,0,-12
34,SG,11629537,7000,Tim Hardaway Jr.,NYK,26,1,0,1,25,20,6,12,50.0,3,8,37.5,5,7,71.4,0,3,3,1,2,0,1,1,26.1,0,0,-14
35,SF,11629537,7000,Tim Hardaway Jr.,NYK,26,1,0,1,25,20,6,12,50.0,3,8,37.5,5,7,71.4,0,3,3,1,2,0,1,1,26.1,0,0,-14
36,PF,11629542,6900,Julius Randle,NOP,23,1,0,1,14,3,1,4,25.0,0,1,0.0,1,4,25.0,1,2,3,0,5,0,0,4,1.6,0,0,-7
37,C,11629542,6900,Julius Randle,NOP,23,1,0,1,14,3,1,4,25.0,0,1,0.0,1,4,25.0,1,2,3,0,5,0,0,4,1.6,0,0,-7
38,SG,11629552,6800,Josh Richardson,MIA,25,1,1,0,36,15,5,13,38.5,2,7,28.6,3,4,75.0,1,4,5,5,3,0,0,4,25.5,0,0,17
39,SF,11629552,6800,Josh Richardson,MIA,25,1,1,0,36,15,5,13,38.5,2,7,28.6,3,4,75.0,1,4,5,5,3,0,0,4,25.5,0,0,17
40,SG,11629561,6700,Khris Middleton,MIL,27,1,0,1,32,25,8,16,50.0,2,7,28.6,7,7,100.0,1,4,5,3,2,0,0,1,33.5,0,0,-19
41,SF,11629561,6700,Khris Middleton,MIL,27,1,0,1,32,25,8,16,50.0,2,7,28.6,7,7,100.0,1,4,5,3,2,0,0,1,33.5,0,0,-19
42,PG,11629557,6700,D'Angelo Russell,BKN,22,1,0,1,24,12,6,18,33.3,0,3,0.0,0,0,0.0,1,2,3,5,3,1,0,4,23.1,0,0,-4
43,SG,11629557,6700,D'Angelo Russell,BKN,22,1,0,1,24,12,6,18,33.3,0,3,0.0,0,0,0.0,1,2,3,5,3,1,0,4,23.1,0,0,-4
44,PG,11629566,6600,CJ McCollum,POR,27,1,0,1,35,23,9,20,45.0,3,8,37.5,2,2,100.0,0,1,1,4,2,2,0,4,34.2,0,0,-11
45,SG,11629566,6600,CJ McCollum,POR,27,1,0,1,35,23,9,20,45.0,3,8,37.5,2,2,100.0,0,1,1,4,2,2,0,4,34.2,0,0,-11
46,SF,11629570,6600,Jayson Tatum,BOS,20,1,1,0,27,14,5,14,35.7,4,8,50.0,0,0,0.0,2,4,6,0,2,1,0,2,22.2,0,0,6
47,PF,11629570,6600,Jayson Tatum,BOS,20,1,1,0,27,14,5,14,35.7,4,8,50.0,0,0,0.0,2,4,6,0,2,1,0,2,22.2,0,0,6
48,PF,11629582,6400,Al Horford,BOS,32,1,1,0,20,10,4,6,66.7,2,2,100.0,0,0,0.0,0,8,8,3,0,1,2,0,33.1,0,0,13
49,C,11629582,6400,Al Horford,BOS,32,1,1,0,20,10,4,6,66.7,2,2,100.0,0,0,0.0,0,8,8,3,0,1,2,0,33.1,0,0,13
50,PG,11629586,6300,Eric Bledsoe,MIL,28,1,0,1,30,15,6,11,54.5,1,3,33.3,2,4,50.0,1,5,6,7,1,2,0,5,37.7,0,0,16
51,SG,11629586,6300,Eric Bledsoe,MIL,28,1,0,1,30,15,6,11,54.5,1,3,33.3,2,4,50.0,1,5,6,7,1,2,0,5,37.7,0,0,16
52,SG,11629597,6200,Evan Fournier,ORL,26,1,1,0,28,9,4,12,33.3,1,5,20.0,0,0,0.0,2,2,4,0,4,0,0,4,9.8,0,0,-3
53,SF,11629597,6200,Evan Fournier,ORL,26,1,1,0,28,9,4,12,33.3,1,5,20.0,0,0,0.0,2,2,4,0,4,0,0,4,9.8,0,0,-3
54,SG,11629602,6100,Joe Ingles,UTA,31,1,0,1,25,8,3,8,37.5,2,5,40.0,0,0,0.0,1,2,3,2,2,0,0,1,12.6,0,0,-20
55,SF,11629602,6100,Joe Ingles,UTA,31,1,0,1,25,8,3,8,37.5,2,5,40.0,0,0,0.0,1,2,3,2,2,0,0,1,12.6,0,0,-20
56,SF,11629607,6000,Kyle Kuzma,LAL,23,1,1,0,25,7,3,8,37.5,1,2,50.0,0,0,0.0,0,5,5,0,1,1,0,0,15.0,0,0,5
57,PF,11629607,6000,Kyle Kuzma,LAL,23,1,1,0,25,7,3,8,37.5,1,2,50.0,0,0,0.0,0,5,5,0,1,1,0,0,15.0,0,0,5
58,SF,11629621,5800,T.J. Warren,PHX,25,1,1,0,38,27,10,17,58.8,3,8,37.5,4,4,100.0,0,4,4,2,0,3,0,4,43.8,0,0,24
59,PF,11629621,5800,T.J. Warren,PHX,25,1,1,0,38,27,10,17,58.8,3,8,37.5,4,4,100.0,0,4,4,2,0,3,0,4,43.8,0,0,24
60,PG,11629643,5700,Brandon Ingram,LAL,21,1,1,0,32,17,6,15,40.0,1,3,33.3,4,5,80.0,0,2,2,4,0,1,0,2,28.4,0,0,0
61,SF,11629643,5700,Brandon Ingram,LAL,21,1,1,0,32,17,6,15,40.0,1,3,33.3,4,5,80.0,0,2,2,4,0,1,0,2,28.4,0,0,0
62,SG,11629636,5700,Andrew Wiggins,MIN,23,1,1,0,38,23,8,22,36.4,4,9,44.4,3,5,60.0,3,3,6,4,2,3,1,1,46.2,0,0,-5
63,SF,11629636,5700,Andrew Wiggins,MIN,23,1,1,0,38,23,8,22,36.4,4,9,44.4,3,5,60.0,3,3,6,4,2,3,1,1,46.2,0,0,-5
64,PG,11629654,5600,Jordan Clarkson,CLE,26,1,0,1,27,9,4,13,30.8,0,4,0.0,1,1,100.0,0,2,2,1,6,1,0,3,9.9,0,0,-11
65,SG,11629654,5600,Jordan Clarkson,CLE,26,1,0,1,27,9,4,13,30.8,0,4,0.0,1,1,100.0,0,2,2,1,6,1,0,3,9.9,0,0,-11
66,SF,11629658,5600,Jabari Parker,CHI,23,1,0,1,27,14,6,13,46.2,2,4,50.0,0,0,0.0,0,5,5,2,5,0,1,1,21.0,0,0,-16
67,PF,11629658,5600,Jabari Parker,CHI,23,1,0,1,27,14,6,13,46.2,2,4,50.0,0,0,0.0,0,5,5,2,5,0,1,1,21.0,0,0,-16
68,PG,11629662,5600,Reggie Jackson,DET,28,1,1,0,27,13,6,14,42.9,1,4,25.0,0,0,0.0,0,1,1,6,3,0,0,2,20.2,0,0,3
69,SG,11629662,5600,Reggie Jackson,DET,28,1,1,0,27,13,6,14,42.9,1,4,25.0,0,0,0.0,0,1,1,6,3,0,0,2,20.2,0,0,3
70,PF,11629672,5500,Larry Nance Jr.,CLE,25,1,0,1,26,10,3,4,75.0,1,2,50.0,3,5,60.0,2,4,6,5,3,4,2,0,39.7,0,0,-13
71,C,11629672,5500,Larry Nance Jr.,CLE,25,1,0,1,26,10,3,4,75.0,1,2,50.0,3,5,60.0,2,4,6,5,3,4,2,0,39.7,0,0,-13
72,SF,11629668,5500,Harrison Barnes,DAL,26,1,1,0,26,19,6,11,54.5,3,5,60.0,4,4,100.0,0,4,4,2,0,0,0,1,26.8,0,0,19
73,PF,11629668,5500,Harrison Barnes,DAL,26,1,1,0,26,19,6,11,54.5,3,5,60.0,4,4,100.0,0,4,4,2,0,0,0,1,26.8,0,0,19
74,SG,11629686,5300,JJ Redick,PHI,34,1,0,1,33,22,8,13,61.5,4,7,57.1,2,2,100.0,0,4,4,6,4,0,0,3,31.8,0,0,8
75,SF,11629686,5300,JJ Redick,PHI,34,1,0,1,33,22,8,13,61.5,4,7,57.1,2,2,100.0,0,4,4,6,4,0,0,3,31.8,0,0,8
76,PG,11629691,5300,Justise Winslow,MIA,22,1,1,0,34,6,2,8,25.0,0,1,0.0,2,2,100.0,1,10,11,3,4,0,0,2,19.7,0,0,19
77,SF,11629691,5300,Justise Winslow,MIA,22,1,1,0,34,6,2,8,25.0,0,1,0.0,2,2,100.0,1,10,11,3,4,0,0,2,19.7,0,0,19
78,PG,11629700,5200,Malcolm Brogdon,MIL,25,1,0,1,27,8,4,11,36.4,0,3,0.0,0,0,0.0,1,4,5,0,4,0,1,0,13.0,0,0,-30
79,SG,11629700,5200,Malcolm Brogdon,MIL,25,1,0,1,27,8,4,11,36.4,0,3,0.0,0,0,0.0,1,4,5,0,4,0,1,0,13.0,0,0,-30
80,PF,11629696,5200,Rondae Hollis-Jefferson,BKN,23,1,0,1,23,14,6,13,46.2,0,1,0.0,2,5,40.0,5,4,9,0,2,1,1,2,28.8,0,0,-10
81,C,11629696,5200,Rondae Hollis-Jefferson,BKN,23,1,0,1,23,14,6,13,46.2,0,1,0.0,2,5,40.0,5,4,9,0,2,1,1,2,28.8,0,0,-10
82,SG,11629721,5200,Rodney McGruder,MIA,27,1,1,0,34,10,4,9,44.4,0,4,0.0,2,3,66.7,0,4,4,3,2,1,0,3,20.3,0,0,6
83,SF,11629721,5200,Rodney McGruder,MIA,27,1,1,0,34,10,4,9,44.4,0,4,0.0,2,3,66.7,0,4,4,3,2,1,0,3,20.3,0,0,6
84,SF,11629714,5200,Jae Crowder,UTA,28,1,0,1,22,5,2,12,16.7,1,9,11.1,0,0,0.0,0,1,1,1,1,1,0,1,9.7,0,0,-21
85,PF,11629714,5200,Jae Crowder,UTA,28,1,0,1,22,5,2,12,16.7,1,9,11.1,0,0,0.0,0,1,1,1,1,1,0,1,9.7,0,0,-21
86,SG,11629738,5100,Rodney Hood,CLE,26,1,0,1,16,10,2,5,40.0,0,1,0.0,6,6,100.0,0,2,2,2,1,0,0,3,14.4,0,0,-11
87,SF,11629738,5100,Rodney Hood,CLE,26,1,0,1,16,10,2,5,40.0,0,1,0.0,6,6,100.0,0,2,2,2,1,0,0,3,14.4,0,0,-11
88,SG,11629726,5100,Gordon Hayward,BOS,28,1,1,0,29,11,4,12,33.3,1,4,25.0,2,3,66.7,2,2,4,4,1,3,0,1,29.8,0,0,24
89,SF,11629726,5100,Gordon Hayward,BOS,28,1,1,0,29,11,4,12,33.3,1,4,25.0,2,3,66.7,2,2,4,4,1,3,0,1,29.8,0,0,24
90,SG,11629733,5100,Wesley Matthews,DAL,32,1,1,0,21,9,4,5,80.0,1,2,50.0,0,0,0.0,0,2,2,0,1,3,1,1,22.4,0,0,17
91,SF,11629733,5100,Wesley Matthews,DAL,32,1,1,0,21,9,4,5,80.0,1,2,50.0,0,0,0.0,0,2,2,0,1,3,1,1,22.4,0,0,17
92,PF,11629743,5100,Noah Vonleh,NYK,23,1,0,1,20,9,3,7,42.9,0,1,0.0,3,3,100.0,2,2,4,0,0,0,0,0,13.8,0,0,-20
93,C,11629743,5100,Noah Vonleh,NYK,23,1,0,1,20,9,3,7,42.9,0,1,0.0,3,3,100.0,2,2,4,0,0,0,0,0,13.8,0,0,-20
94,SG,11629752,5000,Terrence Ross,ORL,27,1,1,0,31,15,6,9,66.7,3,5,60.0,0,0,0.0,0,7,7,1,2,1,0,1,25.9,0,0,13
95,SF,11629752,5000,Terrence Ross,ORL,27,1,1,0,31,15,6,9,66.7,3,5,60.0,0,0,0.0,0,7,7,1,2,1,0,1,25.9,0,0,13
96,SF,11629771,4900,Al-Farouq Aminu,POR,28,1,0,1,34,18,7,11,63.6,4,7,57.1,0,0,0.0,2,3,5,0,3,0,3,3,30.0,0,0,-2
97,PF,11629771,4900,Al-Farouq Aminu,POR,28,1,0,1,34,18,7,11,63.6,4,7,57.1,0,0,0.0,2,3,5,0,3,0,3,3,30.0,0,0,-2
98,SG,11629762,4900,E'Twaun Moore,NOP,29,1,0,1,38,31,13,23,56.5,4,8,50.0,1,4,25.0,1,3,4,4,2,1,0,4,42.8,0,0,7
99,SF,11629762,4900,E'Twaun Moore,NOP,29,1,0,1,38,31,13,23,56.5,4,8,50.0,1,4,25.0,1,3,4,4,2,1,0,4,42.8,0,0,7
100,PG,11629767,4900,Spencer Dinwiddie,BKN,25,1,0,1,29,18,6,12,50.0,1,5,20.0,5,7,71.4,1,2,3,5,4,1,0,1,28.1,0,0,-24
101,SG,11629767,4900,Spencer Dinwiddie,BKN,25,1,0,1,29,18,6,12,50.0,1,5,20.0,5,7,71.4,1,2,3,5,4,1,0,1,28.1,0,0,-24
102,PG,11629778,4800,Kyle Anderson,MEM,25,1,1,0,39,6,3,5,60.0,0,0,0.0,0,0,0.0,1,7,8,5,2,0,1,5,24.1,0,0,1
103,SF,11629778,4800,Kyle Anderson,MEM,25,1,1,0,39,6,3,5,60.0,0,0,0.0,0,0,0.0,1,7,8,5,2,0,1,5,24.1,0,0,1
104,SF,11629783,4800,Otto Porter Jr.,WAS,25,1,1,0,26,15,7,11,63.6,1,3,33.3,0,0,0.0,1,3,4,3,3,2,0,0,27.3,0,0,10
105,PF,11629783,4800,Otto Porter Jr.,WAS,25,1,1,0,26,15,7,11,63.6,1,3,33.3,0,0,0.0,1,3,4,3,3,2,0,0,27.3,0,0,10
106,SF,11629810,4700,Robert Covington,MIN,27,1,1,0,41,13,4,11,36.4,3,7,42.9,2,2,100.0,0,7,7,2,1,2,1,2,32.4,0,0,4
107,PF,11629810,4700,Robert Covington,MIN,27,1,1,0,41,13,4,11,36.4,3,7,42.9,2,2,100.0,0,7,7,2,1,2,1,2,32.4,0,0,4
108,SG,11629790,4700,Joe Harris,BKN,27,1,0,1,25,11,4,9,44.4,1,3,33.3,2,2,100.0,1,4,5,3,0,0,0,4,21.5,0,0,-18
109,SF,11629790,4700,Joe Harris,BKN,27,1,0,1,25,11,4,9,44.4,1,3,33.3,2,2,100.0,1,4,5,3,0,0,0,4,21.5,0,0,-18
110,SG,11629814,4700,Justin Holiday,CHI,29,1,0,1,32,6,2,10,20.0,2,7,28.6,0,0,0.0,1,1,2,4,1,1,0,2,16.4,0,0,-22
111,SF,11629814,4700,Justin Holiday,CHI,29,1,0,1,32,6,2,10,20.0,2,7,28.6,0,0,0.0,1,1,2,4,1,1,0,2,16.4,0,0,-22
112,SF,11629799,4700,Jerami Grant,OKC,24,1,1,0,28,15,6,10,60.0,3,5,60.0,0,0,0.0,0,5,5,0,4,0,0,3,17.0,0,0,9
113,PF,11629799,4700,Jerami Grant,OKC,24,1,1,0,28,15,6,10,60.0,3,5,60.0,0,0,0.0,0,5,5,0,4,0,0,3,17.0,0,0,9
114,SF,11629823,4600,Markieff Morris,WAS,29,1,1,0,21,11,3,6,50.0,3,6,50.0,2,2,100.0,1,1,2,1,0,1,0,1,17.9,0,0,7
115,PF,11629823,4600,Markieff Morris,WAS,29,1,1,0,21,11,3,6,50.0,3,6,50.0,2,2,100.0,1,1,2,1,0,1,0,1,17.9,0,0,7
116,PF,11629819,4600,Derrick Favors,UTA,27,1,0,1,22,8,4,8,50.0,0,1,0.0,0,0,0.0,1,3,4,0,1,1,2,3,20.8,0,0,-7
117,C,11629819,4600,Derrick Favors,UTA,27,1,0,1,22,8,4,8,50.0,0,1,0.0,0,0,0.0,1,3,4,0,1,1,2,3,20.8,0,0,-7
118,SG,11629841,4400,Evan Turner,POR,30,1,0,1,27,6,3,9,33.3,0,1,0.0,0,0,0.0,1,6,7,6,1,0,1,1,25.4,0,0,-21
119,SF,11629841,4400,Evan Turner,POR,30,1,0,1,27,6,3,9,33.3,0,1,0.0,0,0,0.0,1,6,7,6,1,0,1,1,25.4,0,0,-21
120,SG,11629850,4400,Jaylen Brown,BOS,22,1,1,0,25,18,8,14,57.1,2,4,50.0,0,0,0.0,0,6,6,3,3,1,0,1,29.7,0,0,12
121,SF,11629850,4400,Jaylen Brown,BOS,22,1,1,0,25,18,8,14,57.1,2,4,50.0,0,0,0.0,0,6,6,3,3,1,0,1,29.7,0,0,12
122,PG,11629859,4300,Terry Rozier,BOS,24,1,1,0,30,12,5,15,33.3,0,5,0.0,2,2,100.0,0,4,4,2,0,1,0,1,22.8,0,0,19
123,SG,11629859,4300,Terry Rozier,BOS,24,1,1,0,30,12,5,15,33.3,0,5,0.0,2,2,100.0,0,4,4,2,0,1,0,1,22.8,0,0,19
124,PG,11629855,4300,J.J. Barea,DAL,34,1,1,0,19,14,5,8,62.5,0,3,0.0,4,7,57.1,0,2,2,5,0,1,0,1,26.9,0,0,20
125,SG,11629855,4300,J.J. Barea,DAL,34,1,1,0,19,14,5,8,62.5,0,3,0.0,4,7,57.1,0,2,2,5,0,1,0,1,26.9,0,0,20
126,SF,11629863,4200,Jeff Green,WAS,32,1,1,0,24,8,3,7,42.9,1,3,33.3,1,1,100.0,1,2,3,3,3,2,1,3,22.1,0,0,14
127,PF,11629863,4200,Jeff Green,WAS,32,1,1,0,24,8,3,7,42.9,1,3,33.3,1,1,100.0,1,2,3,3,3,2,1,3,22.1,0,0,14
128,PF,11629873,4200,Ed Davis,BKN,29,1,0,1,17,8,3,6,50.0,0,0,0.0,2,2,100.0,4,5,9,1,1,1,0,3,22.3,0,0,-4
129,C,11629873,4200,Ed Davis,BKN,29,1,0,1,17,8,3,6,50.0,0,0,0.0,2,2,100.0,4,5,9,1,1,1,0,3,22.3,0,0,-4
