,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,SF,11636208,11100,Kevin Durant,GSW,30,1,0,1,29.7,20,6,15,40.0,0,2,0.0,8,8,100.0,1,4,5,2,2,0,1,1,30.0,0,0,-11
1,PF,11636208,11100,Kevin Durant,GSW,30,1,0,1,29.7,20,6,15,40.0,0,2,0.0,8,8,100.0,1,4,5,2,2,0,1,1,30.0,0,0,-11
2,PG,11636212,10700,James Harden,HOU,29,1,1,0,32.1,27,8,23,34.8,4,14,28.6,7,8,87.5,0,3,3,3,1,2,0,4,40.1,0,0,11
3,SG,11636212,10700,James Harden,HOU,29,1,1,0,32.1,27,8,23,34.8,4,14,28.6,7,8,87.5,0,3,3,3,1,2,0,4,40.1,0,0,11
4,SG,11636222,8800,DeMar DeRozan,SAS,29,1,0,1,40.8,34,14,30,46.7,0,3,0.0,6,8,75.0,0,6,6,5,1,3,1,4,59.7,0,0,11
5,SF,11636222,8800,DeMar DeRozan,SAS,29,1,0,1,40.8,34,14,30,46.7,0,3,0.0,6,8,75.0,0,6,6,5,1,3,1,4,59.7,0,0,11
6,PF,11636227,8200,LaMarcus Aldridge,SAS,33,1,0,1,38.0,10,3,15,20.0,0,0,0.0,4,4,100.0,6,10,16,1,3,2,2,2,39.7,1,0,8
7,C,11636227,8200,LaMarcus Aldridge,SAS,33,1,0,1,38.0,10,3,15,20.0,0,0,0.0,4,4,100.0,6,10,16,1,3,2,2,2,39.7,1,0,8
8,PF,11636231,8100,Draymond Green,GSW,28,1,0,1,23.8,0,0,3,0.0,0,2,0.0,0,0,0.0,0,5,5,5,5,1,0,3,11.5,0,0,-10
9,C,11636231,8100,Draymond Green,GSW,28,1,0,1,23.8,0,0,3,0.0,0,2,0.0,0,0,0.0,0,5,5,5,5,1,0,3,11.5,0,0,-10
10,SF,11636244,7200,Tobias Harris,LAC,26,1,1,0,38.9,18,8,16,50.0,2,5,40.0,0,0,0.0,2,6,8,5,2,0,1,3,36.1,0,0,-2
11,PF,11636244,7200,Tobias Harris,LAC,26,1,1,0,38.9,18,8,16,50.0,2,5,40.0,0,0,0.0,2,6,8,5,2,0,1,3,36.1,0,0,-2
12,PG,11636250,6500,Jamal Murray,DEN,21,1,1,0,23.1,14,4,10,40.0,3,6,50.0,3,3,100.0,0,4,4,5,1,0,1,1,28.3,0,0,18
13,SG,11636250,6500,Jamal Murray,DEN,21,1,1,0,23.1,14,4,10,40.0,3,6,50.0,3,3,100.0,0,4,4,5,1,0,1,1,28.3,0,0,18
14,PF,11636254,6200,Montrezl Harrell,LAC,24,1,1,0,27.0,14,4,8,50.0,0,0,0.0,6,9,66.7,2,4,6,5,2,1,1,2,32.7,0,0,3
15,C,11636254,6200,Montrezl Harrell,LAC,24,1,1,0,27.0,14,4,8,50.0,0,0,0.0,6,9,66.7,2,4,6,5,2,1,1,2,32.7,0,0,3
16,PG,11636265,6000,Lou Williams,LAC,32,1,1,0,28.1,23,9,20,45.0,1,3,33.3,4,4,100.0,1,2,3,2,2,0,0,1,27.6,0,0,1
17,SG,11636265,6000,Lou Williams,LAC,32,1,1,0,28.1,23,9,20,45.0,1,3,33.3,4,4,100.0,1,2,3,2,2,0,0,1,27.6,0,0,1
18,SF,11636272,5800,Danilo Gallinari,LAC,30,1,1,0,30.8,19,4,9,44.4,2,4,50.0,9,10,90.0,0,6,6,1,1,0,0,1,26.7,0,0,-2
19,PF,11636272,5800,Danilo Gallinari,LAC,30,1,1,0,30.8,19,4,9,44.4,2,4,50.0,9,10,90.0,0,6,6,1,1,0,0,1,26.7,0,0,-2
20,PF,11636276,5800,Paul Millsap,DEN,33,1,1,0,24.6,18,8,13,61.5,1,2,50.0,1,1,100.0,3,6,9,5,1,4,2,2,53.3,0,0,35
21,C,11636276,5800,Paul Millsap,DEN,33,1,1,0,24.6,18,8,13,61.5,1,2,50.0,1,1,100.0,3,6,9,5,1,4,2,2,53.3,0,0,35
22,SF,11636283,5600,Rudy Gay,SAS,32,1,0,1,24.8,19,8,12,66.7,1,3,33.3,2,2,100.0,3,3,6,2,0,0,0,4,29.2,0,0,14
23,PF,11636283,5600,Rudy Gay,SAS,32,1,0,1,24.8,19,8,12,66.7,1,3,33.3,2,2,100.0,3,3,6,2,0,0,0,4,29.2,0,0,14
24,SG,11636287,5500,Kent Bazemore,ATL,29,1,0,1,21.0,14,4,8,50.0,1,4,25.0,5,5,100.0,1,1,2,0,1,0,0,0,15.4,0,0,-25
25,SF,11636287,5500,Kent Bazemore,ATL,29,1,0,1,21.0,14,4,8,50.0,1,4,25.0,5,5,100.0,1,1,2,0,1,0,0,0,15.4,0,0,-25
26,PG,11636302,5000,Eric Gordon,HOU,29,1,1,0,29.1,17,5,13,38.5,3,9,33.3,4,4,100.0,0,0,0,3,2,1,0,3,22.5,0,0,23
27,SG,11636302,5000,Eric Gordon,HOU,29,1,1,0,29.1,17,5,13,38.5,3,9,33.3,4,4,100.0,0,0,0,3,2,1,0,3,22.5,0,0,23
28,PG,11636309,4700,Patrick Beverley,LAC,30,1,1,0,25.3,10,4,11,36.4,2,6,33.3,0,0,0.0,1,6,7,4,1,1,0,2,26.4,0,0,-2
29,SG,11636309,4700,Patrick Beverley,LAC,30,1,1,0,25.3,10,4,11,36.4,2,6,33.3,0,0,0.0,1,6,7,4,1,1,0,2,26.4,0,0,-2
30,SF,11636326,4400,Trey Lyles,DEN,23,1,1,0,27.3,14,5,7,71.4,1,1,100.0,3,4,75.0,1,7,8,4,5,0,0,1,24.6,0,0,13
31,PF,11636326,4400,Trey Lyles,DEN,23,1,1,0,27.3,14,5,7,71.4,1,1,100.0,3,4,75.0,1,7,8,4,5,0,0,1,24.6,0,0,13
32,PG,11636358,3900,Bryn Forbes,SAS,25,1,0,1,33.3,17,5,11,45.5,5,8,62.5,2,3,66.7,0,1,1,2,0,0,0,0,21.2,0,0,-5
33,SG,11636358,3900,Bryn Forbes,SAS,25,1,0,1,33.3,17,5,11,45.5,5,8,62.5,2,3,66.7,0,1,1,2,0,0,0,0,21.2,0,0,-5
34,PG,11636349,3900,Jeremy Lin,ATL,30,1,0,1,25.2,16,4,10,40.0,3,7,42.9,5,7,71.4,2,3,5,5,4,0,0,5,25.5,0,0,-27
35,SG,11636349,3900,Jeremy Lin,ATL,30,1,0,1,25.2,16,4,10,40.0,3,7,42.9,5,7,71.4,2,3,5,5,4,0,0,5,25.5,0,0,-27
36,SF,11636345,3900,Jonas Jerebko,GSW,31,1,0,1,20.4,8,3,6,50.0,0,1,0.0,2,2,100.0,0,3,3,1,0,0,0,3,13.1,0,0,-21
37,PF,11636345,3900,Jonas Jerebko,GSW,31,1,0,1,20.4,8,3,6,50.0,0,1,0.0,2,2,100.0,0,3,3,1,0,0,0,3,13.1,0,0,-21
38,SG,11636353,3900,Andre Iguodala,GSW,34,1,0,1,23.1,5,2,4,50.0,0,0,0.0,1,2,50.0,1,5,6,1,1,0,0,1,12.7,0,0,1
39,SF,11636353,3900,Andre Iguodala,GSW,34,1,0,1,23.1,5,2,4,50.0,0,0,0.0,1,2,50.0,1,5,6,1,1,0,0,1,12.7,0,0,1
40,PG,11636362,3800,Patty Mills,SAS,30,1,0,1,33.3,12,5,14,35.7,2,8,25.0,0,0,0.0,1,3,4,5,0,0,0,2,24.3,0,0,19
41,SG,11636362,3800,Patty Mills,SAS,30,1,0,1,33.3,12,5,14,35.7,2,8,25.0,0,0,0.0,1,3,4,5,0,0,0,2,24.3,0,0,19
42,SF,11636369,3800,Juancho Hernangomez,DEN,23,1,1,0,31.2,25,9,12,75.0,2,5,40.0,5,7,71.4,4,5,9,1,1,1,0,3,39.3,0,0,46
43,PF,11636369,3800,Juancho Hernangomez,DEN,23,1,1,0,31.2,25,9,12,75.0,2,5,40.0,5,7,71.4,4,5,9,1,1,1,0,3,39.3,0,0,46
44,SG,11636373,3700,James Ennis III,HOU,28,1,1,0,32.7,19,7,11,63.6,2,6,33.3,3,5,60.0,3,2,5,1,0,1,0,3,29.5,0,0,17
45,SF,11636373,3700,James Ennis III,HOU,28,1,1,0,32.7,19,7,11,63.6,2,6,33.3,3,5,60.0,3,2,5,1,0,1,0,3,29.5,0,0,17
46,PF,11636378,3700,Kevon Looney,GSW,22,1,0,1,18.2,12,5,7,71.4,0,1,0.0,2,3,66.7,5,0,5,1,2,0,1,0,20.5,0,0,-11
47,C,11636378,3700,Kevon Looney,GSW,22,1,0,1,18.2,12,5,7,71.4,0,1,0.0,2,3,66.7,5,0,5,1,2,0,1,0,20.5,0,0,-11
48,PF,11636395,3500,Davis Bertans,SAS,26,1,0,1,2.5,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0,0,-7
49,C,11636395,3500,Davis Bertans,SAS,26,1,0,1,2.5,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0,0,-7
50,SG,11636399,3500,Marco Belinelli,SAS,32,1,0,1,23.9,7,2,6,33.3,1,3,33.3,2,2,100.0,1,2,3,2,0,1,1,3,19.6,0,0,-10
51,SF,11636399,3500,Marco Belinelli,SAS,32,1,0,1,23.9,7,2,6,33.3,1,3,33.3,2,2,100.0,1,2,3,2,0,1,1,3,19.6,0,0,-10
52,SG,11636390,3500,Gerald Green,HOU,32,1,1,0,3.7,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2.0,0,0,-5
53,SF,11636390,3500,Gerald Green,HOU,32,1,1,0,3.7,2,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2.0,0,0,-5
54,SF,11636409,3400,Dante Cunningham,SAS,31,1,0,1,16.9,6,2,4,50.0,0,1,0.0,2,2,100.0,2,1,3,1,0,1,1,3,17.1,0,0,-14
55,PF,11636409,3400,Dante Cunningham,SAS,31,1,0,1,16.9,6,2,4,50.0,0,1,0.0,2,2,100.0,2,1,3,1,0,1,1,3,17.1,0,0,-14
56,PF,11636416,3400,Mason Plumlee,DEN,28,1,1,0,12.1,6,2,3,66.7,0,0,0.0,2,2,100.0,1,4,5,1,3,0,0,3,10.5,0,0,-7
57,C,11636416,3400,Mason Plumlee,DEN,28,1,1,0,12.1,6,2,3,66.7,0,0,0.0,2,2,100.0,1,4,5,1,3,0,0,3,10.5,0,0,-7
58,SF,11636430,3200,Mike Scott,LAC,30,1,1,0,14.0,5,2,4,50.0,1,2,50.0,0,0,0.0,1,2,3,0,2,0,0,6,6.6,0,0,4
59,PF,11636430,3200,Mike Scott,LAC,30,1,1,0,14.0,5,2,4,50.0,1,2,50.0,0,0,0.0,1,2,3,0,2,0,0,6,6.6,0,0,4
60,SG,11636444,3100,Torrey Craig,DEN,27,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,1.2,0,0,-4
61,SF,11636444,3100,Torrey Craig,DEN,27,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,1.2,0,0,-4
62,PF,11636449,3100,Marquese Chriss,HOU,21,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,-5
63,C,11636449,3100,Marquese Chriss,HOU,21,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,-5
64,PG,11636470,3000,Tyrone Wallace,LAC,24,1,1,0,15.5,9,3,5,60.0,0,1,0.0,3,4,75.0,0,1,1,0,0,0,0,3,10.2,0,0,10
65,SG,11636470,3000,Tyrone Wallace,LAC,24,1,1,0,15.5,9,3,5,60.0,0,1,0.0,3,4,75.0,0,1,1,0,0,0,0,3,10.2,0,0,10
