,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,SF,11641898,11500,Giannis Antetokounmpo,MIL,23,1,1,0,31.6,23,8,15,53.3,2,4,50.0,5,9,55.6,4,9,13,4,4,0,3,2,49.6,1,0,18
1,PF,11641898,11500,Giannis Antetokounmpo,MIL,23,1,1,0,31.6,23,8,15,53.3,2,4,50.0,5,9,55.6,4,9,13,4,4,0,3,2,49.6,1,0,18
2,PF,11641902,11400,Anthony Davis,NOP,25,1,1,0,40.4,43,16,25,64.0,1,4,25.0,10,15,66.7,4,13,17,5,2,1,1,2,74.9,1,0,10
3,C,11641902,11400,Anthony Davis,NOP,25,1,1,0,40.4,43,16,25,64.0,1,4,25.0,10,15,66.7,4,13,17,5,2,1,1,2,74.9,1,0,10
4,PG,11641913,9300,Victor Oladipo,IND,26,1,1,0,29.5,8,3,12,25.0,2,5,40.0,0,0,0.0,0,4,4,5,2,0,1,0,21.3,0,0,-13
5,SG,11641913,9300,Victor Oladipo,IND,26,1,1,0,29.5,8,3,12,25.0,2,5,40.0,0,0,0.0,0,4,4,5,2,0,1,0,21.3,0,0,-13
6,SG,11641920,9000,Kawhi Leonard,TOR,27,1,0,1,42.5,31,11,25,44.0,0,3,0.0,9,11,81.8,2,13,15,4,2,3,0,0,62.0,1,0,4
7,SF,11641920,9000,Kawhi Leonard,TOR,27,1,0,1,42.5,31,11,25,44.0,0,3,0.0,9,11,81.8,2,13,15,4,2,3,0,0,62.0,1,0,4
8,PG,11641925,8300,Jrue Holiday,NOP,28,1,1,0,35.9,24,9,18,50.0,3,5,60.0,3,3,100.0,1,3,4,10,4,1,1,3,45.8,1,0,6
9,SG,11641925,8300,Jrue Holiday,NOP,28,1,1,0,35.9,24,9,18,50.0,3,5,60.0,3,3,100.0,1,3,4,10,4,1,1,3,45.8,1,0,6
10,PG,11641929,8200,Ben Simmons,PHI,22,1,1,0,36.0,10,4,9,44.4,0,0,0.0,2,5,40.0,0,8,8,8,3,1,1,2,34.6,0,0,15
11,SF,11641929,8200,Ben Simmons,PHI,22,1,1,0,36.0,10,4,9,44.4,0,0,0.0,2,5,40.0,0,8,8,8,3,1,1,2,34.6,0,0,15
12,PG,11641939,7800,Zach LaVine,CHI,23,1,0,1,33.8,15,6,20,30.0,1,5,20.0,2,3,66.7,1,4,5,4,4,1,1,1,29.0,0,0,-19
13,SG,11641939,7800,Zach LaVine,CHI,23,1,0,1,33.8,15,6,20,30.0,1,5,20.0,2,3,66.7,1,4,5,4,4,1,1,1,29.0,0,0,-19
14,SF,11641953,7400,Nikola Mirotic,NOP,27,1,1,0,27.0,12,4,11,36.4,2,8,25.0,2,2,100.0,1,9,10,1,0,0,1,2,28.5,1,0,-7
15,PF,11641953,7400,Nikola Mirotic,NOP,27,1,1,0,27.0,12,4,11,36.4,2,8,25.0,2,2,100.0,1,9,10,1,0,0,1,2,28.5,1,0,-7
16,SG,11641957,7300,Jimmy Butler,PHI,29,1,1,0,37.5,28,12,15,80.0,2,3,66.7,2,5,40.0,0,3,3,7,3,2,0,2,45.1,0,0,12
17,SF,11641957,7300,Jimmy Butler,PHI,29,1,1,0,37.5,28,12,15,80.0,2,3,66.7,2,5,40.0,0,3,3,7,3,2,0,2,45.1,0,0,12
18,PG,11641962,7200,Donovan Mitchell,UTA,22,1,0,1,33.8,31,13,35,37.1,1,11,9.1,4,7,57.1,0,2,2,0,1,4,1,3,47.4,0,0,1
19,SG,11641962,7200,Donovan Mitchell,UTA,22,1,0,1,33.8,31,13,35,37.1,1,11,9.1,4,7,57.1,0,2,2,0,1,4,1,3,47.4,0,0,1
20,PG,11641971,7000,Derrick Rose,MIN,30,1,1,0,33.9,17,7,13,53.8,0,1,0.0,3,4,75.0,0,7,7,6,2,0,0,0,32.4,0,0,11
