,PG,SG,SF,PF,C,Price,Score,Win
13385,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29700,188.75,1.0
41343,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29700,188.75,1.0
43133,James Harden,Jeremy Lamb,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27200,185.25,1.0
6183,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,27600,184.0,1.0
15591,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27900,181.5,1.0
23896,Jordan Clarkson,James Harden,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27900,181.5,1.0
27674,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,30400,180.5,1.0
9893,James Harden,Jordan Clarkson,James Ennis III,Jonas Jerebko,Larry Nance Jr.,28300,180.25,1.0
45334,Jamal Murray,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,30600,179.25,1.0
26772,James Harden,Jamal Murray,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,30600,179.25,1.0
46271,James Harden,Kent Bazemore,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29900,179.0,1.0
2066,James Harden,Jeremy Lamb,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,29900,179.0,1.0
23344,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevon Looney,28300,179.0,1.0
11581,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Paul Millsap,30100,178.75,1.0
25058,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Paul Millsap,30100,178.75,1.0
16238,James Harden,Jeremy Lamb,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,28200,177.5,1.0
22767,James Harden,Jeremy Lamb,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,28200,177.5,1.0
2825,James Harden,Jeremy Lamb,Rodney Hood,Jonas Jerebko,Larry Nance Jr.,29400,177.0,1.0
711,James Harden,Rodney Hood,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29400,177.0,1.0
33763,James Harden,David Nwaba,James Ennis III,Jonas Jerebko,Larry Nance Jr.,25800,176.75,1.0
4363,James Harden,Andre Iguodala,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,27800,176.75,1.0
25376,James Harden,Jeremy Lin,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,27800,176.75,1.0
29941,James Harden,James Ennis III,David Nwaba,Jonas Jerebko,Larry Nance Jr.,25800,176.75,1.0
47580,James Harden,David Nwaba,Jonas Jerebko,Kevin Durant,Channing Frye,31200,176.75,1.0
24700,James Harden,David Nwaba,Kevin Durant,Jonas Jerebko,Channing Frye,31200,176.75,1.0
17089,James Harden,Jeremy Lamb,Jonas Jerebko,Juancho Hernangomez,Larry Nance Jr.,27800,176.25,1.0
35569,James Harden,Jeremy Lamb,Nicolas Batum,Jonas Jerebko,Larry Nance Jr.,29800,176.25,1.0
9202,James Harden,Jeremy Lamb,Juancho Hernangomez,Jonas Jerebko,Larry Nance Jr.,27800,176.25,1.0
20782,James Harden,Nicolas Batum,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29800,176.25,1.0
14681,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,28100,175.75,1.0
6927,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,28100,175.75,1.0
48192,James Harden,Jeremy Lamb,David Nwaba,Jonas Jerebko,Kevon Looney,25800,175.5,1.0
2619,James Harden,David Nwaba,Jonas Jerebko,Kevin Durant,Frank Kaminsky,31200,175.5,1.0
32979,James Harden,David Nwaba,Jeremy Lamb,Jonas Jerebko,Kevon Looney,25800,175.5,1.0
22515,James Harden,David Nwaba,Jeremy Lamb,Jonas Jerebko,Paul Millsap,27600,175.25,1.0
39504,James Harden,Jeremy Lamb,David Nwaba,Jonas Jerebko,Paul Millsap,27600,175.25,1.0
18903,James Harden,Jordan Clarkson,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,30600,175.25,1.0
2771,Jordan Clarkson,James Harden,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,30600,175.25,1.0
17788,James Harden,Jordan Clarkson,Jeremy Lamb,Marvin Williams,Larry Nance Jr.,30600,174.5,1.0
7704,Jordan Clarkson,James Harden,Jeremy Lamb,Marvin Williams,Larry Nance Jr.,30600,174.5,1.0
12758,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Kevon Looney,26200,174.25,1.0
8593,James Harden,Jeremy Lamb,James Ennis III,Jonas Jerebko,Kevon Looney,26200,174.25,1.0
1339,James Harden,Jeremy Lamb,James Ennis III,Jonas Jerebko,Paul Millsap,28000,174.0,1.0
33368,Jordan Clarkson,David Nwaba,Jeremy Lamb,Kevin Durant,Larry Nance Jr.,30300,174.0,1.0
42679,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Paul Millsap,28000,174.0,1.0
13776,Jordan Clarkson,James Harden,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,28900,173.75,1.0
5006,James Harden,Jordan Clarkson,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,28900,173.75,1.0
32291,Jordan Clarkson,James Harden,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,28900,173.75,1.0
7435,James Harden,Jordan Clarkson,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,28900,173.75,1.0
28094,Jordan Clarkson,David Nwaba,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,28600,173.25,1.0
39071,Jordan Clarkson,David Nwaba,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,28600,173.25,1.0
36676,James Harden,Jordan Clarkson,Jeremy Lamb,Juancho Hernangomez,Larry Nance Jr.,30200,173.25,1.0
33307,Jordan Clarkson,James Harden,Rodney Hood,Jonas Jerebko,Larry Nance Jr.,30100,173.25,1.0
22098,Jordan Clarkson,James Harden,Andre Iguodala,Jonas Jerebko,Larry Nance Jr.,28500,173.0,1.0
4765,Jordan Clarkson,Jeremy Lamb,James Ennis III,Kevin Durant,Larry Nance Jr.,30700,172.75,1.0
40329,Jordan Clarkson,James Ennis III,Jeremy Lamb,Kevin Durant,Larry Nance Jr.,30700,172.75,1.0
36228,James Harden,Jeremy Lamb,Jonas Jerebko,Kevon Looney,Larry Nance Jr.,27800,172.75,1.0
25272,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Channing Frye,27500,172.75,1.0
33453,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Channing Frye,27500,172.75,1.0
34128,Jordan Clarkson,James Harden,Jonas Jerebko,Juancho Hernangomez,Larry Nance Jr.,28500,172.5,1.0
25874,Jordan Clarkson,James Harden,Nicolas Batum,Jonas Jerebko,Larry Nance Jr.,30500,172.5,1.0
43534,James Harden,Jordan Clarkson,Juancho Hernangomez,Jonas Jerebko,Larry Nance Jr.,28500,172.5,1.0
17055,James Harden,Jordan Clarkson,Jonas Jerebko,Juancho Hernangomez,Larry Nance Jr.,28500,172.5,1.0
35084,James Harden,David Nwaba,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,25600,172.25,1.0
38022,James Harden,Jeremy Lamb,David Nwaba,Jonas Jerebko,Mason Plumlee,25600,172.25,1.0
24773,Jamal Murray,James Harden,David Nwaba,Jonas Jerebko,Larry Nance Jr.,28800,172.0,1.0
18055,Jordan Clarkson,James Ennis III,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,29000,172.0,1.0
193,Jordan Clarkson,James Ennis III,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,29000,172.0,1.0
6590,James Harden,Jamal Murray,David Nwaba,Jonas Jerebko,Larry Nance Jr.,28800,172.0,1.0
10374,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Kevon Looney,26500,171.75,1.0
5200,James Harden,David Nwaba,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,28100,171.75,1.0
1042,Jordan Clarkson,James Harden,David Nwaba,Jonas Jerebko,Kevon Looney,26500,171.75,1.0
27690,James Harden,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Frank Kaminsky,27500,171.5,1.0
9473,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Paul Millsap,28300,171.5,1.0
22913,Jordan Clarkson,James Harden,David Nwaba,Jonas Jerebko,Paul Millsap,28300,171.5,1.0
22211,Jordan Clarkson,James Harden,Jeremy Lamb,Jonas Jerebko,Frank Kaminsky,27500,171.5,1.0
8191,James Harden,Jeremy Lamb,David Nwaba,Marvin Williams,Larry Nance Jr.,28100,171.0,1.0
4865,James Harden,Eric Gordon,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29300,171.0,1.0
9439,Eric Gordon,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,29300,171.0,1.0
10775,Jamal Murray,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,31300,171.0,1.0
14190,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,26000,171.0,1.0
30525,James Harden,David Nwaba,Jeremy Lamb,Marvin Williams,Larry Nance Jr.,28100,171.0,1.0
7237,Jamal Murray,Jeremy Lamb,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,31300,171.0,1.0
8481,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Kevon Looney,29000,170.75,1.0
28073,Jordan Clarkson,Jeremy Lamb,Kevin Durant,Jonas Jerebko,Kevon Looney,29000,170.75,1.0
25285,James Harden,Jamal Murray,James Ennis III,Jonas Jerebko,Larry Nance Jr.,29200,170.75,1.0
6211,James Harden,James Ennis III,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,28500,170.5,1.0
3820,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Paul Millsap,30800,170.5,1.0
12329,James Harden,Kent Bazemore,James Ennis III,Jonas Jerebko,Larry Nance Jr.,28500,170.5,1.0
591,Jordan Clarkson,Jeremy Lamb,Kevin Durant,Jonas Jerebko,Paul Millsap,30800,170.5,1.0
9995,Jordan Clarkson,James Harden,James Ennis III,Jonas Jerebko,Kevon Looney,26900,170.5,1.0
5582,Jordan Clarkson,James Harden,James Ennis III,Jonas Jerebko,Paul Millsap,28700,170.25,1.0
4582,James Harden,David Nwaba,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,26400,170.25,1.0
43102,James Harden,David Nwaba,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,26400,170.25,1.0
3433,James Harden,Jordan Clarkson,James Ennis III,Jonas Jerebko,Paul Millsap,28700,170.25,1.0
33571,James Harden,David Nwaba,Rodney Hood,Jonas Jerebko,Larry Nance Jr.,27600,169.75,1.0
10390,James Harden,David Nwaba,Jeremy Lamb,Juancho Hernangomez,Larry Nance Jr.,27700,169.75,1.0
17128,Jordan Clarkson,James Harden,Jeremy Lamb,Larry Nance Jr.,Kevon Looney,30200,169.75,1.0
38402,James Harden,Jeremy Lamb,James Ennis III,Marvin Williams,Larry Nance Jr.,28500,169.75,1.0
38446,James Harden,Rodney Hood,David Nwaba,Jonas Jerebko,Larry Nance Jr.,27600,169.75,1.0
35433,James Harden,Jeremy Lamb,David Nwaba,Juancho Hernangomez,Larry Nance Jr.,27700,169.75,1.0
2694,James Harden,Jordan Clarkson,Jeremy Lamb,Larry Nance Jr.,Kevon Looney,30200,169.75,1.0
35519,Jordan Clarkson,James Harden,Jeremy Lamb,Kevon Looney,Larry Nance Jr.,30200,169.75,1.0
4163,James Harden,David Nwaba,Andre Iguodala,Jonas Jerebko,Larry Nance Jr.,26000,169.5,1.0
1230,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,Mason Plumlee,27600,169.5,1.0
5217,James Harden,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,Larry Nance Jr.,27600,169.5,1.0
44613,James Harden,Jeremy Lin,David Nwaba,Jonas Jerebko,Larry Nance Jr.,26000,169.5,1.0
2535,Jamal Murray,James Harden,Jeremy Lamb,Jonas Jerebko,Kevon Looney,29200,169.5,1.0
19205,Jeremy Lin,James Harden,David Nwaba,Jonas Jerebko,Larry Nance Jr.,26000,169.5,1.0
39622,Jamal Murray,James Harden,Jeremy Lamb,Jonas Jerebko,Paul Millsap,31000,169.25,1.0
10091,James Harden,David Nwaba,Jeremy Lamb,Jonas Jerebko,Channing Frye,25000,169.25,1.0
19347,James Harden,Jeremy Lamb,Kent Bazemore,Jonas Jerebko,Kevon Looney,28500,169.25,1.0
30137,James Harden,James Ennis III,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,26800,169.0,1.0
4517,James Harden,Nicolas Batum,David Nwaba,Jonas Jerebko,Larry Nance Jr.,28000,169.0,1.0
332,James Harden,James Ennis III,David Nwaba,Kevin Durant,Channing Frye,31500,169.0,1.0
45177,James Harden,James Ennis III,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,26800,169.0,1.0
33127,James Harden,David Nwaba,Juancho Hernangomez,Jonas Jerebko,Larry Nance Jr.,26000,169.0,1.0
12348,James Harden,David Nwaba,Nicolas Batum,Jonas Jerebko,Larry Nance Jr.,28000,169.0,1.0
15489,James Harden,Jordan Clarkson,Jonas Jerebko,Kevon Looney,Larry Nance Jr.,28500,169.0,1.0
15151,James Harden,David Nwaba,Jonas Jerebko,Juancho Hernangomez,Larry Nance Jr.,26000,169.0,1.0
1396,James Harden,Jeremy Lamb,Kent Bazemore,Jonas Jerebko,Paul Millsap,30300,169.0,1.0
3043,James Harden,Kent Bazemore,Jeremy Lamb,Jonas Jerebko,Paul Millsap,30300,169.0,1.0
35300,Jordan Clarkson,James Harden,Jonas Jerebko,Larry Nance Jr.,Kevon Looney,28500,169.0,1.0
1344,James Harden,David Nwaba,James Ennis III,Kevin Durant,Channing Frye,31500,169.0,1.0
12738,Jordan Clarkson,James Harden,Jonas Jerebko,Larry Nance Jr.,Paul Millsap,30300,168.75,1.0
21425,Jordan Clarkson,James Harden,Jonas Jerebko,Paul Millsap,Larry Nance Jr.,30300,168.75,1.0
20806,Jeremy Lin,Jeremy Lamb,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,28500,168.5,1.0
28059,James Harden,Jeremy Lamb,James Ennis III,Juancho Hernangomez,Larry Nance Jr.,28100,168.5,1.0
29872,James Harden,James Ennis III,Jeremy Lamb,Juancho Hernangomez,Larry Nance Jr.,28100,168.5,1.0
14654,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Mason Plumlee,26300,168.5,1.0
28125,James Harden,James Ennis III,Rodney Hood,Jonas Jerebko,Larry Nance Jr.,28000,168.5,1.0
6759,James Harden,Jeremy Lin,James Ennis III,Jonas Jerebko,Larry Nance Jr.,26400,168.25,1.0
30824,Jeremy Lin,James Harden,James Ennis III,Jonas Jerebko,Larry Nance Jr.,26400,168.25,1.0
17597,James Harden,Andre Iguodala,James Ennis III,Jonas Jerebko,Larry Nance Jr.,26400,168.25,1.0
21113,James Harden,David Nwaba,Jeremy Lamb,Jonas Jerebko,Frank Kaminsky,25000,168.0,1.0
22405,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Channing Frye,25400,168.0,1.0
21362,James Harden,James Ennis III,Jonas Jerebko,Juancho Hernangomez,Larry Nance Jr.,26400,167.75,1.0
40653,James Harden,Jeremy Lamb,Jonas Jerebko,Marvin Williams,Kevon Looney,26800,167.75,1.0
1968,James Harden,James Ennis III,Juancho Hernangomez,Jonas Jerebko,Larry Nance Jr.,26400,167.75,1.0
5921,James Harden,James Ennis III,David Nwaba,Kevin Durant,Frank Kaminsky,31500,167.75,1.0
8193,James Harden,James Ennis III,Nicolas Batum,Jonas Jerebko,Larry Nance Jr.,28400,167.75,1.0
16335,James Harden,David Nwaba,James Ennis III,Kevin Durant,Frank Kaminsky,31500,167.75,1.0
28250,James Harden,Jeremy Lamb,Marvin Williams,Jonas Jerebko,Kevon Looney,26800,167.75,1.0
6209,James Harden,Jeremy Lamb,Marvin Williams,Jonas Jerebko,Paul Millsap,28600,167.5,1.0
22485,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Mason Plumlee,28800,167.5,1.0
29011,Jordan Clarkson,Jeremy Lamb,Kevin Durant,Jonas Jerebko,Mason Plumlee,28800,167.5,1.0
460,James Harden,Jeremy Lamb,Rodney Hood,Jonas Jerebko,Kevon Looney,28000,167.25,1.0
23583,Jordan Clarkson,James Harden,James Ennis III,Jonas Jerebko,Mason Plumlee,26700,167.25,1.0
1379,Jordan Clarkson,James Harden,David Nwaba,Marvin Williams,Larry Nance Jr.,28800,167.25,1.0
23110,James Harden,Jordan Clarkson,James Ennis III,Jonas Jerebko,Mason Plumlee,26700,167.25,1.0
12757,James Harden,James Ennis III,David Nwaba,Jonas Jerebko,Kevon Looney,24400,167.0,1.0
36658,Jordan Clarkson,Kent Bazemore,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,31300,167.0,1.0
8102,James Harden,Andre Iguodala,Jeremy Lamb,Jonas Jerebko,Kevon Looney,26400,167.0,1.0
35172,Jeremy Lin,James Harden,Jeremy Lamb,Jonas Jerebko,Kevon Looney,26400,167.0,1.0
2368,James Harden,Rodney Hood,Jeremy Lamb,Jonas Jerebko,Paul Millsap,29800,167.0,1.0
11574,James Harden,David Nwaba,James Ennis III,Jonas Jerebko,Kevon Looney,24400,167.0,1.0
8319,Jeremy Lin,James Harden,Jeremy Lamb,Jonas Jerebko,Paul Millsap,28200,166.75,1.0
8784,James Harden,Jeremy Lamb,James Ennis III,Jonas Jerebko,Frank Kaminsky,25400,166.75,1.0
40723,James Harden,James Ennis III,Jeremy Lamb,Jonas Jerebko,Frank Kaminsky,25400,166.75,1.0
30136,James Harden,James Ennis III,David Nwaba,Jonas Jerebko,Paul Millsap,26200,166.75,1.0
18367,James Harden,David Nwaba,James Ennis III,Jonas Jerebko,Paul Millsap,26200,166.75,1.0
17675,James Harden,Jeremy Lamb,Jonas Jerebko,Channing Frye,Larry Nance Jr.,27000,166.5,1.0
23266,Jordan Clarkson,James Harden,Jeremy Lamb,Mason Plumlee,Larry Nance Jr.,30000,166.5,1.0
47552,James Harden,Jeremy Lamb,Juancho Hernangomez,Jonas Jerebko,Kevon Looney,26400,166.5,1.0
819,James Harden,Jordan Clarkson,Jeremy Lamb,Mason Plumlee,Larry Nance Jr.,30000,166.5,1.0
2370,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,Channing Frye,27000,166.5,1.0
22616,James Harden,Nicolas Batum,Jeremy Lamb,Jonas Jerebko,Kevon Looney,28400,166.5,1.0
19945,Jordan Clarkson,James Harden,Jeremy Lamb,Larry Nance Jr.,Mason Plumlee,30000,166.5,1.0
2320,James Harden,Jeremy Lamb,Jonas Jerebko,Juancho Hernangomez,Kevon Looney,26400,166.5,1.0
32279,James Harden,Jordan Clarkson,Jeremy Lamb,Larry Nance Jr.,Mason Plumlee,30000,166.5,1.0
4127,Jordan Clarkson,Jeremy Lamb,Marvin Williams,Kevin Durant,Larry Nance Jr.,31300,166.25,1.0
34857,James Harden,Nicolas Batum,Jeremy Lamb,Jonas Jerebko,Paul Millsap,30200,166.25,1.0
19244,James Harden,Jamal Murray,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,29000,166.25,1.0
282,James Harden,Jeremy Lamb,David Nwaba,Kevon Looney,Larry Nance Jr.,27700,166.25,1.0
3030,James Harden,Jeremy Lamb,David Nwaba,Larry Nance Jr.,Kevon Looney,27700,166.25,1.0
6240,James Harden,Jeremy Lamb,Juancho Hernangomez,Jonas Jerebko,Paul Millsap,28200,166.25,1.0
9725,James Harden,Jeremy Lamb,Jonas Jerebko,Juancho Hernangomez,Paul Millsap,28200,166.25,1.0
22354,James Harden,David Nwaba,Jeremy Lamb,Kevon Looney,Larry Nance Jr.,27700,166.25,1.0
7917,James Harden,Jeremy Lamb,Jonas Jerebko,Trey Lyles,Larry Nance Jr.,28600,166.25,1.0
28021,James Harden,Jeremy Lamb,Trey Lyles,Jonas Jerebko,Larry Nance Jr.,28600,166.25,1.0
22979,James Harden,Jeremy Lamb,Nicolas Batum,Jonas Jerebko,Paul Millsap,30200,166.25,1.0
27383,James Harden,David Nwaba,Jeremy Lamb,Paul Millsap,Larry Nance Jr.,29500,166.0,1.0
39213,James Harden,Jeremy Lamb,Kent Bazemore,Jonas Jerebko,Mason Plumlee,28300,166.0,1.0
27427,Jordan Clarkson,James Harden,David Nwaba,Juancho Hernangomez,Larry Nance Jr.,28400,166.0,1.0
19344,Jordan Clarkson,James Harden,James Ennis III,Marvin Williams,Larry Nance Jr.,29200,166.0,1.0
35421,James Harden,David Nwaba,Jeremy Lamb,Larry Nance Jr.,Paul Millsap,29500,166.0,1.0
18979,James Harden,Jeremy Lamb,David Nwaba,Paul Millsap,Larry Nance Jr.,29500,166.0,1.0
16508,James Harden,Kent Bazemore,Jeremy Lamb,Jonas Jerebko,Mason Plumlee,28300,166.0,1.0
47574,James Harden,Jordan Clarkson,David Nwaba,Juancho Hernangomez,Larry Nance Jr.,28400,166.0,1.0
42014,Jordan Clarkson,Jeremy Lamb,David Nwaba,Jonas Jerebko,Larry Nance Jr.,22400,165.75,1.0
17230,Jordan Clarkson,James Harden,Jonas Jerebko,Mason Plumlee,Larry Nance Jr.,28300,165.75,1.0
32995,James Harden,Jordan Clarkson,Jonas Jerebko,Mason Plumlee,Larry Nance Jr.,28300,165.75,1.0
17086,James Harden,Jamal Murray,Kent Bazemore,Jonas Jerebko,Larry Nance Jr.,31500,165.75,1.0
40976,Jordan Clarkson,James Harden,Jonas Jerebko,Larry Nance Jr.,Mason Plumlee,28300,165.75,1.0
38664,Jordan Clarkson,James Ennis III,David Nwaba,Kevin Durant,Larry Nance Jr.,28900,165.5,1.0
12498,Jordan Clarkson,Jeremy Lamb,Andre Iguodala,Kevin Durant,Larry Nance Jr.,30900,165.5,1.0
21249,James Harden,David Nwaba,Jonas Jerebko,Larry Nance Jr.,Kevon Looney,26000,165.5,1.0
24706,James Harden,Jordan Clarkson,Kent Bazemore,Jonas Jerebko,Kevon Looney,29200,165.5,1.0
40285,James Harden,David Nwaba,Jonas Jerebko,Kevon Looney,Larry Nance Jr.,26000,165.5,1.0
8388,Jordan Clarkson,James Harden,David Nwaba,Jonas Jerebko,Channing Frye,25700,165.5,1.0
9362,Jordan Clarkson,David Nwaba,James Ennis III,Kevin Durant,Larry Nance Jr.,28900,165.5,1.0
31151,Jeremy Lin,Jordan Clarkson,Jeremy Lamb,Kevin Durant,Larry Nance Jr.,30900,165.5,1.0
39933,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Channing Frye,25700,165.5,1.0
19712,James Harden,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,Frank Kaminsky,27000,165.25,1.0
4208,Jordan Clarkson,James Harden,Kent Bazemore,Jonas Jerebko,Paul Millsap,31000,165.25,1.0
19096,James Harden,Jeremy Lamb,Jonas Jerebko,Frank Kaminsky,Larry Nance Jr.,27000,165.25,1.0
1729,James Harden,David Nwaba,Jonas Jerebko,Paul Millsap,Larry Nance Jr.,27800,165.25,1.0
252,James Harden,David Nwaba,Jonas Jerebko,Larry Nance Jr.,Paul Millsap,27800,165.25,1.0
7474,James Harden,Jeremy Lamb,James Ennis III,Larry Nance Jr.,Kevon Looney,28100,165.0,1.0
12154,Jordan Clarkson,Jeremy Lamb,Kevin Durant,Juancho Hernangomez,Larry Nance Jr.,30900,165.0,1.0
2884,James Harden,James Ennis III,Jeremy Lamb,Kevon Looney,Larry Nance Jr.,28100,165.0,1.0
26664,James Harden,Jeremy Lamb,James Ennis III,Kevon Looney,Larry Nance Jr.,28100,165.0,1.0
3469,Jordan Clarkson,Rodney Hood,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,30800,165.0,1.0
11890,Jamal Murray,James Harden,Jeremy Lamb,Marvin Williams,Larry Nance Jr.,31500,165.0,1.0
3315,Jordan Clarkson,Jeremy Lin,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,29200,164.75,1.0
37691,James Harden,Jeremy Lamb,James Ennis III,Larry Nance Jr.,Paul Millsap,29900,164.75,1.0
46705,Jordan Clarkson,James Harden,Jeremy Lamb,Marvin Williams,Kevon Looney,29200,164.75,1.0
23253,Jordan Clarkson,Andre Iguodala,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,29200,164.75,1.0
3667,James Harden,James Ennis III,Jeremy Lamb,Larry Nance Jr.,Paul Millsap,29900,164.75,1.0
34419,Jordan Clarkson,James Harden,James Ennis III,Juancho Hernangomez,Larry Nance Jr.,28800,164.75,1.0
1040,Jordan Clarkson,Jeremy Lin,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,29200,164.75,1.0
2299,Jeremy Lin,Jordan Clarkson,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,29200,164.75,1.0
12920,James Harden,Jordan Clarkson,James Ennis III,Juancho Hernangomez,Larry Nance Jr.,28800,164.75,1.0
29215,James Harden,James Ennis III,Jeremy Lamb,Paul Millsap,Larry Nance Jr.,29900,164.75,1.0
17575,James Harden,Jeremy Lamb,Kent Bazemore,Marvin Williams,Larry Nance Jr.,30800,164.75,1.0
1077,Jordan Clarkson,Andre Iguodala,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,29200,164.75,1.0
34015,Jordan Clarkson,Jeremy Lamb,Kevin Durant,Jonas Jerebko,Channing Frye,28200,164.5,1.0
40753,Jordan Clarkson,Jeremy Lamb,Jonas Jerebko,Kevin Durant,Channing Frye,28200,164.5,1.0
7363,Jamal Murray,Jeremy Lamb,David Nwaba,Kevin Durant,Larry Nance Jr.,31200,164.5,1.0
259,James Harden,Jordan Clarkson,Jeremy Lamb,Marvin Williams,Paul Millsap,31000,164.5,1.0
34077,Jordan Clarkson,James Harden,Jeremy Lamb,Marvin Williams,Paul Millsap,31000,164.5,1.0
43963,Jordan Clarkson,James Ennis III,Jeremy Lamb,Jonas Jerebko,Larry Nance Jr.,22800,164.5,1.0
6364,Jordan Clarkson,Jeremy Lamb,James Ennis III,Jonas Jerebko,Larry Nance Jr.,22800,164.5,1.0
15734,Jamal Murray,James Harden,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,29800,164.25,1.0
24462,Jordan Clarkson,Jeremy Lamb,David Nwaba,Kevin Durant,Kevon Looney,28900,164.25,1.0
8614,Jordan Clarkson,James Harden,James Ennis III,Jonas Jerebko,Channing Frye,26100,164.25,1.0
44550,Jordan Clarkson,David Nwaba,Jeremy Lamb,Kevin Durant,Kevon Looney,28900,164.25,1.0
10372,Jordan Clarkson,Nicolas Batum,Jonas Jerebko,Kevin Durant,Larry Nance Jr.,31200,164.25,1.0
35951,Jordan Clarkson,Nicolas Batum,Kevin Durant,Jonas Jerebko,Larry Nance Jr.,31200,164.25,1.0
10879,Jordan Clarkson,James Harden,David Nwaba,Jonas Jerebko,Frank Kaminsky,25700,164.25,1.0
21648,James Harden,Jordan Clarkson,David Nwaba,Jonas Jerebko,Frank Kaminsky,25700,164.25,1.0
28609,Jamal Murray,James Harden,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,29800,164.25,1.0
18649,James Harden,Jamal Murray,Jonas Jerebko,Marvin Williams,Larry Nance Jr.,29800,164.25,1.0
39384,James Harden,Jamal Murray,Marvin Williams,Jonas Jerebko,Larry Nance Jr.,29800,164.25,1.0
41500,James Harden,Jordan Clarkson,Jonas Jerebko,Marvin Williams,Kevon Looney,27500,164.0,1.0
