PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Alex Len,ATL,25,1,0,1,32,14,6,8,75,0,0,0,2,5,40,2,5,7,1,1,0,0,5,22.9,0,0,-8,
Alex Poythress,ATL,25,1,0,1,21,4,2,5,40,0,1,0,0,0,0,3,5,8,0,0,0,0,2,13.6,0,0,4,
Alfonzo McKinnie,GSW,26,1,1,0,17,3,1,3,33.3,1,1,100,0,0,0,1,3,4,0,1,1,0,1,9.8,0,0,-11,
Andre Iguodala,GSW,34,1,1,0,26,8,3,5,60,2,2,100,0,0,0,1,4,5,5,2,0,0,1,19.5,0,0,2,
Andrew Harrison,CLE,24,1,1,0,13,2,0,3,0,0,2,0,2,2,100,0,2,2,2,1,0,0,3,6.4,0,0,2,
Ante Zizic,CLE,21,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0.6,0,0,-1,
Bismack Biyombo,CHA,26,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,5.4,0,0,-5,
Channing Frye,CLE,35,1,1,0,3,6,2,2,100,2,2,100,0,0,0,0,2,2,0,0,1,0,0,11.4,0,0,2,
Chris Paul,HOU,33,1,1,0,32,21,7,12,58.3,3,7,42.9,4,5,80,0,5,5,4,3,2,0,0,36,0,0,6,
Clint Capela,HOU,24,1,1,0,36,24,11,15,73.3,0,0,0,2,4,50,3,6,9,2,1,0,1,4,39.8,0,0,12,
Cody Zeller,CHA,26,1,0,1,18,9,3,4,75,0,0,0,3,3,100,2,0,2,4,0,2,0,1,23.4,0,0,-4,
Collin Sexton,CLE,19,1,1,0,33,16,7,18,38.9,2,2,100,0,0,0,2,3,5,4,4,1,0,3,27,0,0,24,
Damian Jones,GSW,23,1,1,0,18,2,1,1,100,0,0,0,0,0,0,2,3,5,2,1,1,1,3,16,0,0,7,
David Nwaba,CLE,25,1,1,0,27,18,7,9,77.8,2,2,100,2,3,66.7,1,4,5,2,0,1,0,3,30,0,0,22,
DeAndre' Bembry,ATL,24,1,0,1,17,13,4,7,57.1,2,3,66.7,3,3,100,1,0,1,1,1,3,1,2,26.7,0,0,-5,
Devonte' Graham,CHA,23,1,0,1,7,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,-7,
Dwayne Bacon,CHA,23,1,0,1,16,5,2,4,50,1,2,50,0,0,0,0,3,3,0,1,0,0,1,7.6,0,0,0,
Eric Gordon,HOU,29,1,1,0,33,11,3,9,33.3,2,7,28.6,3,5,60,0,0,0,2,2,0,1,1,15,0,0,0,
Frank Kaminsky,CHA,25,1,0,1,5,5,1,2,50,1,1,100,2,2,100,2,1,3,1,1,0,0,0,9.1,0,0,-1,
Gary Clark,HOU,23,1,1,0,15,0,0,2,0,0,2,0,0,0,0,1,1,2,1,0,0,0,3,3.9,0,0,-12,
Gary Harris,DEN,24,1,0,1,36,15,6,13,46.2,3,6,50,0,0,0,0,2,2,1,2,4,0,1,28.9,0,0,-10,
Isaiah Hartenstein,HOU,20,1,1,0,12,3,1,1,100,0,0,0,1,2,50,1,0,1,0,2,0,0,3,2.2,0,0,-3,
JR Smith,CLE,33,1,1,0,39,13,5,13,38.5,3,7,42.9,0,0,0,0,3,3,5,1,1,1,1,29.1,0,0,26,
Jamal Murray,DEN,21,1,0,1,35,15,7,13,53.8,0,3,0,1,1,100,0,1,1,5,3,1,0,1,23.7,0,0,-4,
James Ennis III,HOU,28,1,1,0,34,16,6,8,75,2,4,50,2,2,100,0,4,4,1,1,1,2,3,30.3,0,0,9,
James Harden,HOU,29,1,1,0,37,22,7,16,43.8,2,10,20,6,8,75,1,4,5,11,4,3,1,3,52.5,1,0,13,
Jeremy Lamb,CHA,26,1,0,1,32,22,8,16,50,1,4,25,5,5,100,0,6,6,2,3,3,0,2,38.2,0,0,-24,
Jeremy Lin,ATL,30,1,0,1,21,10,4,9,44.4,2,5,40,0,0,0,1,2,3,4,2,1,0,2,20.6,0,0,4,
Jonas Jerebko,GSW,31,1,1,0,25,14,5,10,50,4,7,57.1,0,0,0,4,9,13,2,0,0,0,3,32.6,1,0,23,
Jordan Bell,GSW,23,1,1,0,11,6,2,4,50,0,0,0,2,2,100,1,1,2,1,1,0,2,3,14.9,0,0,2,
Jordan Clarkson,CLE,26,1,1,0,28,24,9,15,60,1,4,25,5,5,100,0,5,5,2,4,0,1,1,32,0,0,18,
Juancho Hernangomez,DEN,23,1,0,1,39,6,2,6,33.3,2,4,50,0,0,0,1,8,9,2,0,0,0,2,19.8,0,0,3,
Kemba Walker,CHA,28,1,0,1,36,7,2,16,12.5,1,7,14.3,2,5,40,0,4,4,6,1,2,1,0,28.8,0,0,-13,
Kent Bazemore,ATL,29,1,0,1,27,18,7,16,43.8,1,4,25,3,3,100,0,2,2,1,1,1,0,2,23.9,0,0,-7,
Kevin Durant,GSW,30,1,1,0,37,29,9,23,39.1,0,3,0,11,11,100,0,6,6,3,4,2,1,3,45.7,0,0,-7,
Kevin Huerter,ATL,20,1,0,1,14,2,1,4,25,0,0,0,0,0,0,0,2,2,0,2,1,0,0,5.4,0,0,0,
Kevon Looney,GSW,22,1,1,0,19,4,1,2,50,0,0,0,2,3,66.7,2,1,3,3,1,1,2,3,20.1,0,0,-2,
Klay Thompson,GSW,28,1,1,0,38,24,8,19,42.1,3,7,42.9,5,5,100,0,5,5,4,1,3,0,0,44,0,0,12,
Larry Nance Jr.,CLE,25,1,1,0,35,7,3,6,50,1,2,50,0,0,0,3,9,12,1,1,1,1,2,27.9,0,0,9,
Malik Beasley,DEN,21,1,0,1,6,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,5.7,0,0,-6,
Malik Monk,CHA,20,1,0,1,23,6,3,13,23.1,0,8,0,0,0,0,0,2,2,2,1,1,0,0,13.4,0,0,-12,
Marvin Williams,CHA,32,1,0,1,30,8,3,8,37.5,2,7,28.6,0,0,0,0,2,2,2,0,3,1,1,25.4,0,0,-10,
Mason Plumlee,DEN,28,1,0,1,14,4,1,4,25,0,0,0,2,4,50,2,0,2,4,0,1,0,4,15.4,0,0,4,
Miles Bridges,CHA,20,1,0,1,16,5,1,4,25,1,3,33.3,2,2,100,1,1,2,0,0,0,0,1,7.4,0,0,-10,
Miles Plumlee,ATL,30,1,0,1,11,5,2,4,50,0,0,0,1,2,50,1,0,1,2,0,0,1,0,12.2,0,0,-1,
Monte Morris,DEN,23,1,0,1,31,19,7,11,63.6,3,6,50,2,2,100,0,2,2,6,2,0,0,2,28.4,0,0,-8,
Nicolas Batum,CHA,29,1,0,1,29,11,5,12,41.7,1,4,25,0,0,0,5,0,5,3,2,0,0,3,19.5,0,0,-20,
Nikola Jokic,DEN,23,1,0,1,33,14,6,14,42.9,0,1,0,2,3,66.7,4,8,12,7,3,2,0,3,41.9,1,0,-14,
Omari Spellman,ATL,21,1,0,1,14,0,0,3,0,0,2,0,0,0,0,1,2,3,0,1,0,0,0,2.6,0,0,-9,
PJ Tucker,HOU,33,1,1,0,41,12,4,8,50,4,7,57.1,0,0,0,0,6,6,2,1,1,1,3,27.2,0,0,25,
Paul Millsap,DEN,33,1,0,1,26,13,4,8,50,1,2,50,4,4,100,0,0,0,1,3,2,0,5,17.5,0,0,-5,
Quinn Cook,GSW,25,1,1,0,34,18,8,18,44.4,2,7,28.6,0,0,0,2,2,4,6,2,0,0,2,29.8,0,0,5,
Rodney Hood,CLE,26,1,1,0,29,16,7,12,58.3,2,3,66.7,0,0,0,0,2,2,2,1,0,0,4,20.4,0,0,0,
Shaun Livingston,GSW,33,1,1,0,16,2,1,6,16.7,0,0,0,0,0,0,0,1,1,2,0,0,0,1,6.2,0,0,4,
Taurean Prince,ATL,24,1,0,1,39,22,8,14,57.1,4,7,57.1,2,2,100,0,4,4,4,2,0,0,3,30.8,0,0,-2,
Tony Parker,CHA,36,1,0,1,16,9,4,10,40,0,3,0,1,2,50,1,3,4,1,0,0,1,0,18.3,0,0,-6,
Torrey Craig,DEN,27,1,0,1,7,5,2,2,100,1,1,100,0,0,0,0,1,1,0,2,0,1,1,7.2,0,0,2,
Trae Young,ATL,20,1,0,1,28,4,2,12,16.7,0,5,0,0,0,0,0,5,5,9,3,3,0,2,29.5,0,0,-11,
Trey Lyles,DEN,23,1,0,1,13,8,3,4,75,1,1,100,1,2,50,0,1,1,0,1,1,0,1,11.2,0,0,-12,
Tristan Thompson,CLE,27,1,1,0,28,11,5,6,83.3,0,0,0,1,2,50,8,13,21,5,4,0,0,3,39.7,1,0,18,
Vince Carter,ATL,41,1,0,1,17,11,4,7,57.1,3,5,60,0,0,0,1,5,6,3,1,0,0,0,21.7,0,0,0,
Willy Hernangomez,CHA,24,1,0,1,7,2,1,4,25,0,0,0,0,0,0,1,1,2,0,0,1,0,1,7.4,0,0,-8,
