Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11595330),Giannis Antetokounmpo,11595330,SF/PF/F/UTIL,11000,MIL@GS 11/08/2018 10:30PM ET,MIL,54.94
PG,Russell Westbrook (11595334),Russell Westbrook,11595334,PG/G/UTIL,10800,HOU@OKC 11/08/2018 08:00PM ET,OKC,51.29
PG/SG,Stephen Curry (11595341),Stephen Curry,11595341,PG/SG/G/UTIL,10300,MIL@GS 11/08/2018 10:30PM ET,GS,51.30
SF/PF,Kevin Durant (11595345),Kevin Durant,11595345,SF/PF/F/UTIL,10200,MIL@GS 11/08/2018 10:30PM ET,GS,48.93
PG/SG,James Harden (11595337),James Harden,11595337,PG/SG/G/UTIL,10100,HOU@OKC 11/08/2018 08:00PM ET,HOU,52.17
PG,Damian Lillard (11595349),Damian Lillard,11595349,PG/G/UTIL,9100,LAC@POR 11/08/2018 10:00PM ET,POR,43.82
SF/PF,Paul George (11595352),Paul George,11595352,SF/PF/F/UTIL,8900,HOU@OKC 11/08/2018 08:00PM ET,OKC,44.5
PG,Chris Paul (11595356),Chris Paul,11595356,PG/G/UTIL,8200,HOU@OKC 11/08/2018 08:00PM ET,HOU,43.32
PG,Kyrie Irving (11595359),Kyrie Irving,11595359,PG/G/UTIL,8000,BOS@PHO 11/08/2018 09:00PM ET,BOS,36.6
PG/SG,Devin Booker (11595362),Devin Booker,11595362,PG/SG/G/UTIL,7600,BOS@PHO 11/08/2018 09:00PM ET,PHO,39.86
PF/C,Draymond Green (11595366),Draymond Green,11595366,PF/C/F/UTIL,7300,MIL@GS 11/08/2018 10:30PM ET,GS,32.80
SF/PF,Tobias Harris (11595370),Tobias Harris,11595370,SF/PF/F/UTIL,7100,LAC@POR 11/08/2018 10:00PM ET,LAC,37.32
PG/SG,Dennis Schroder (11595374),Dennis Schroder,11595374,PG/SG/G/UTIL,7000,HOU@OKC 11/08/2018 08:00PM ET,OKC,30.14
C,Clint Capela (11595378),Clint Capela,11595378,C/UTIL,6900,HOU@OKC 11/08/2018 08:00PM ET,HOU,37.06
C,Deandre Ayton (11595380),Deandre Ayton,11595380,C/UTIL,6800,BOS@PHO 11/08/2018 09:00PM ET,PHO,37.52
SG/SF,Khris Middleton (11595382),Khris Middleton,11595382,SG/SF/F/G/UTIL,6700,MIL@GS 11/08/2018 10:30PM ET,MIL,36.2
C,Jusuf Nurkic (11595387),Jusuf Nurkic,11595387,C/UTIL,6600,LAC@POR 11/08/2018 10:00PM ET,POR,33.16
PG/SG,CJ McCollum (11595389),CJ McCollum,11595389,PG/SG/G/UTIL,6500,LAC@POR 11/08/2018 10:00PM ET,POR,32.30
SF/PF,Jayson Tatum (11595393),Jayson Tatum,11595393,SF/PF/F/UTIL,6400,BOS@PHO 11/08/2018 09:00PM ET,BOS,30.92
PF/C,Al Horford (11595397),Al Horford,11595397,PF/C/F/UTIL,6300,BOS@PHO 11/08/2018 09:00PM ET,BOS,30.12
SF/PF,Marcus Morris (11595401),Marcus Morris,11595401,SF/PF/F/UTIL,6200,BOS@PHO 11/08/2018 09:00PM ET,BOS,26.92
SF/PF,Danilo Gallinari (11595405),Danilo Gallinari,11595405,SF/PF/F/UTIL,6000,LAC@POR 11/08/2018 10:00PM ET,LAC,32.22
SG,Klay Thompson (11595409),Klay Thompson,11595409,SG/G/UTIL,6000,MIL@GS 11/08/2018 10:30PM ET,GS,30.39
PG/SG,Lou Williams (11595412),Lou Williams,11595412,PG/SG/G/UTIL,5900,LAC@POR 11/08/2018 10:00PM ET,LAC,27.65
C,Steven Adams (11595416),Steven Adams,11595416,C/UTIL,5800,HOU@OKC 11/08/2018 08:00PM ET,OKC,34.19
PG/SG,Eric Bledsoe (11595418),Eric Bledsoe,11595418,PG/SG/G/UTIL,5700,MIL@GS 11/08/2018 10:30PM ET,MIL,30.3
PF/C,DeMarcus Cousins (11595422),DeMarcus Cousins,11595422,PF/C/F/UTIL,5700,MIL@GS 11/08/2018 10:30PM ET,GS,0
PF/C,Montrezl Harrell (11595426),Montrezl Harrell,11595426,PF/C/F/UTIL,5600,LAC@POR 11/08/2018 10:00PM ET,LAC,26.45
PG/SG,Eric Gordon (11595430),Eric Gordon,11595430,PG/SG/G/UTIL,5500,HOU@OKC 11/08/2018 08:00PM ET,HOU,24.14
C,Boban Marjanovic (11595434),Boban Marjanovic,11595434,C/UTIL,5400,LAC@POR 11/08/2018 10:00PM ET,LAC,19.78
SF/PF,Carmelo Anthony (11595436),Carmelo Anthony,11595436,SF/PF/F/UTIL,5300,HOU@OKC 11/08/2018 08:00PM ET,HOU,25.53
SG/SF,Gordon Hayward (11595440),Gordon Hayward,11595440,SG/SF/F/G/UTIL,5100,BOS@PHO 11/08/2018 09:00PM ET,BOS,23.06
SG/SF,Evan Turner (11595445),Evan Turner,11595445,SG/SF/F/G/UTIL,5000,LAC@POR 11/08/2018 10:00PM ET,POR,25
SF/PF,Jerami Grant (11595450),Jerami Grant,11595450,SF/PF/F/UTIL,4900,HOU@OKC 11/08/2018 08:00PM ET,OKC,24
SG/SF,Jaylen Brown (11595454),Jaylen Brown,11595454,SG/SF/F/G/UTIL,4800,BOS@PHO 11/08/2018 09:00PM ET,BOS,21.39
SF/PF,Al-Farouq Aminu (11595459),Al-Farouq Aminu,11595459,SF/PF/F/UTIL,4700,LAC@POR 11/08/2018 10:00PM ET,POR,22.73
SF/PF,Trevor Ariza (11595463),Trevor Ariza,11595463,SF/PF/F/UTIL,4600,BOS@PHO 11/08/2018 09:00PM ET,PHO,24.75
PG/SG,Malcolm Brogdon (11595467),Malcolm Brogdon,11595467,PG/SG/G/UTIL,4500,MIL@GS 11/08/2018 10:30PM ET,MIL,23.6
C,Brook Lopez (11595471),Brook Lopez,11595471,C/UTIL,4400,MIL@GS 11/08/2018 10:30PM ET,MIL,21.75
PF/C,Ersan Ilyasova (11595473),Ersan Ilyasova,11595473,PF/C/F/UTIL,4300,MIL@GS 11/08/2018 10:30PM ET,MIL,22.2
SG/SF,Andre Iguodala (11595509),Andre Iguodala,11595509,SG/SF/F/G/UTIL,4300,MIL@GS 11/08/2018 10:30PM ET,GS,13.11
SF/PF,P.J. Tucker (11595477),P.J. Tucker,11595477,SF/PF/F/UTIL,4200,HOU@OKC 11/08/2018 08:00PM ET,HOU,23.33
PG/SG,Terry Rozier (11595481),Terry Rozier,11595481,PG/SG/G/UTIL,4100,BOS@PHO 11/08/2018 09:00PM ET,BOS,19.1
SF/PF,T.J. Warren (11595489),T.J. Warren,11595489,SF/PF/F/UTIL,4100,BOS@PHO 11/08/2018 09:00PM ET,PHO,22.22
