PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Aaron Gordon,ORL,23,1,1,0,42,20,6,14,42.9,3,4,75,5,6,83.3,2,5,7,4,0,0,0,0,34.4,0,0,-3,
Al Horford,BOS,32,1,0,1,29,13,6,10,60,1,3,33.3,0,0,0,0,4,4,3,2,1,2,2,29.3,0,0,-11,
Alec Burks,UTA,27,1,1,0,21,5,1,3,33.3,1,3,33.3,2,3,66.7,0,0,0,1,1,0,0,1,5.5,0,0,0,
Alex Len,ATL,25,1,0,1,8,2,1,5,20,0,2,0,0,0,0,2,0,2,1,2,0,0,1,3.9,0,0,-16,
Alex Poythress,ATL,25,1,0,1,11,3,1,3,33.3,1,2,50,0,0,0,1,1,2,0,0,0,0,5,5.4,0,0,6,
Allen Crabbe,BKN,26,1,1,0,23,8,3,7,42.9,2,5,40,0,0,0,0,2,2,0,0,0,0,0,10.4,0,0,-1,
Amir Johnson,PHI,31,1,1,0,6,4,2,3,66.7,0,0,0,0,0,0,1,1,2,1,0,0,1,1,10.9,0,0,-10,
Andre Drummond,DET,25,1,1,0,33,23,10,15,66.7,0,1,0,3,7,42.9,5,6,11,1,3,1,4,5,49.7,1,0,22,
Anthony Tolliver,MIN,33,1,0,1,18,6,2,5,40,2,5,40,0,0,0,0,1,1,0,0,1,0,2,10.2,0,0,-5,
Aron Baynes,BOS,31,1,0,1,15,5,2,3,66.7,0,1,0,1,1,100,1,1,2,1,1,0,0,1,7.9,0,0,3,
Austin Rivers,WAS,26,1,0,1,23,2,1,1,100,0,0,0,0,1,0,0,1,1,1,3,0,0,4,1.7,0,0,3,
Bam Adebayo,MIA,21,1,0,1,7,3,1,1,100,0,0,0,1,1,100,0,1,1,0,1,0,0,2,3.2,0,0,2,
Ben Simmons,PHI,22,1,1,0,41,22,9,15,60,0,0,0,4,6,66.7,2,6,8,13,3,2,3,4,63.1,1,0,-2,
Bismack Biyombo,CHA,26,1,0,1,5,1,0,0,0,0,0,0,1,2,50,1,0,1,1,1,0,0,4,2.7,0,0,-11,
Blake Griffin,DET,29,1,1,0,26,6,2,10,20,1,5,20,1,3,33.3,0,9,9,9,1,2,0,2,35.3,0,0,22,
Bojan Bogdanovic,IND,29,1,1,0,30,16,6,9,66.7,3,4,75,1,2,50,0,2,2,1,2,2,0,3,23.9,0,0,13,
Bradley Beal,WAS,25,1,0,1,42,27,10,21,47.6,4,9,44.4,3,4,75,1,3,4,6,3,2,1,4,46.8,0,0,-2,
Bruce Brown,DET,22,1,1,0,5,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,2.4,0,0,-11,
Buddy Hield,SAC,24,1,1,0,33,15,6,14,42.9,3,7,42.9,0,0,0,2,8,10,3,2,0,0,5,29.5,1,0,4,
C.J. Williams,MIN,28,1,0,1,11,4,2,4,50,0,1,0,0,0,0,0,1,1,0,1,1,0,3,7.2,0,0,-11,
Caris LeVert,BKN,24,1,1,0,31,17,6,14,42.9,1,4,25,4,9,44.4,0,2,2,5,0,1,1,2,32.9,0,0,0,
Cody Zeller,CHA,26,1,0,1,25,14,5,8,62.5,0,0,0,4,6,66.7,1,3,4,0,0,2,0,6,24.8,0,0,3,
Cory Joseph,IND,27,1,1,0,32,14,6,7,85.7,2,2,100,0,0,0,1,4,5,2,1,0,0,3,22,0,0,16,
D'Angelo Russell,BKN,22,1,1,0,26,23,7,14,50,3,5,60,6,8,75,0,4,4,5,2,2,0,2,39.3,0,0,3,
D.J. Augustin,ORL,31,1,1,0,25,11,2,5,40,2,5,40,5,6,83.3,0,2,2,4,2,1,0,0,20.4,0,0,4,
Dante Exum,UTA,23,1,1,0,3,0,0,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1.7,0,0,-4,
Dario Saric,PHI,24,1,1,0,40,18,6,13,46.2,4,8,50,2,2,100,3,6,9,2,5,0,1,4,29.8,0,0,-3,
Darren Collison,IND,31,1,1,0,36,17,6,10,60,0,3,0,5,8,62.5,0,3,3,4,1,1,2,1,34.6,0,0,11,
De'Aaron Fox,SAC,20,1,1,0,33,16,3,7,42.9,1,1,100,9,12,75,1,3,4,10,0,1,2,1,44.8,1,0,13,
DeAndre' Bembry,ATL,24,1,0,1,17,8,2,6,33.3,0,1,0,4,8,50,1,2,3,0,1,0,0,2,10.6,0,0,-8,
DeMarre Carroll,BKN,32,1,1,0,14,9,2,6,33.3,1,4,25,4,4,100,0,2,2,0,1,0,0,0,10.4,0,0,4,
Derrick Favors,UTA,27,1,1,0,22,14,5,5,100,1,1,100,3,5,60,4,2,6,1,0,0,0,3,22.7,0,0,-4,
Derrick Jones Jr.,MIA,21,1,0,1,25,10,4,6,66.7,1,1,100,1,2,50,1,1,2,1,0,1,1,1,19.9,0,0,-2,
Derrick Rose,MIN,30,1,0,1,35,21,7,16,43.8,3,6,50,4,4,100,0,6,6,5,3,1,0,4,35.7,0,0,9,
Dewayne Dedmon,ATL,29,1,0,1,26,13,4,8,50,1,3,33.3,4,4,100,0,9,9,0,1,0,0,4,22.8,0,0,-7,
Domantas Sabonis,IND,22,1,1,0,24,17,6,7,85.7,0,0,0,5,8,62.5,2,9,11,1,2,0,1,4,32.7,1,0,-12,
Donovan Mitchell,UTA,22,1,1,0,34,21,5,14,35.7,1,6,16.7,10,13,76.9,0,2,2,5,5,2,0,1,31.9,0,0,-2,
Doug McDermott,IND,26,1,1,0,15,3,1,1,100,1,1,100,0,0,0,1,1,2,0,1,1,0,1,7.4,0,0,-7,
Duncan Robinson,MIA,24,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,4,
Dwayne Bacon,CHA,23,1,0,1,23,15,5,7,71.4,2,3,66.7,3,4,75,1,0,1,1,0,1,0,6,20.7,0,0,10,
Dwight Howard,WAS,32,1,0,1,26,12,6,8,75,0,0,0,0,2,0,2,6,8,0,4,0,0,2,17.6,0,0,-14,
Ed Davis,BKN,29,1,1,0,16,2,1,2,50,0,0,0,0,0,0,2,4,6,0,0,1,0,6,12.2,0,0,5,
Evan Fournier,ORL,26,1,1,0,37,15,6,17,35.3,3,10,30,0,0,0,0,4,4,6,3,2,1,2,34.8,0,0,-1,
Frank Mason,SAC,24,1,1,0,15,6,1,2,50,0,0,0,4,4,100,1,2,3,3,3,0,0,2,11.1,0,0,-2,
Gary Harris,DEN,24,1,0,1,36,4,1,11,9.1,0,5,0,2,2,100,2,0,2,4,1,0,1,5,14.4,0,0,6,
Georges Niang,UTA,25,1,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.5,0,0,-3,
Glenn Robinson III,DET,24,1,1,0,19,12,4,7,57.1,2,4,50,2,2,100,0,1,1,2,1,1,0,1,18.2,0,0,16,
Gordon Hayward,BOS,28,1,0,1,26,13,3,9,33.3,1,5,20,6,6,100,0,1,1,7,1,1,0,3,26.7,0,0,-8,
Gorgui Dieng,MIN,28,1,0,1,8,3,1,2,50,0,0,0,1,2,50,0,3,3,0,2,0,0,1,4.6,0,0,-6,
Guerschon Yabusele,BOS,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,
