Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Jeff Teague (11587614),Jeff Teague,11587614,PG/G/UTIL,4800,MIN@LAL 11/07/2018 10:30PM ET,MIN,27.61
SF/PF,Dario Saric (11587617),Dario Saric,11587617,SF/PF/F/UTIL,4800,PHI@IND 11/07/2018 08:00PM ET,PHI,21.73
PF/C,Derrick Favors (11587621),Derrick Favors,11587621,PF/C/F/UTIL,4800,DAL@UTA 11/07/2018 09:00PM ET,UTA,24.5
SF/PF,James Johnson (11587625),James Johnson,11587625,SF/PF/F/UTIL,4800,SA@MIA 11/07/2018 07:30PM ET,MIA,0
SG/SF,Bogdan Bogdanovic (11587629),Bogdan Bogdanovic,11587629,SG/SF/F/G/UTIL,4800,TOR@SAC 11/07/2018 10:00PM ET,SAC,0
SG/SF,Terrence Ross (11587634),Terrence Ross,11587634,SG/SF/F/G/UTIL,4700,DET@ORL 11/07/2018 07:00PM ET,ORL,22.1
SG/SF,Dion Waiters (11587639),Dion Waiters,11587639,SG/SF/F/G/UTIL,4700,SA@MIA 11/07/2018 07:30PM ET,MIA,0
SG/SF,Justin Holiday (11587644),Justin Holiday,11587644,SG/SF/F/G/UTIL,4700,CHI@NO 11/07/2018 08:00PM ET,CHI,24.82
PF,Marvin Bagley III (11587663),Marvin Bagley III,11587663,PF/F/UTIL,4700,TOR@SAC 11/07/2018 10:00PM ET,SAC,25.75
PF/C,Larry Nance Jr. (11587649),Larry Nance Jr.,11587649,PF/C/F/UTIL,4600,OKC@CLE 11/07/2018 07:00PM ET,CLE,21.22
PG/SG,Jordan Clarkson (11587666),Jordan Clarkson,11587666,PG/SG/G/UTIL,4600,OKC@CLE 11/07/2018 07:00PM ET,CLE,22.12
PG,Shelvin Mack (11587653),Shelvin Mack,11587653,PG/G/UTIL,4600,DEN@MEM 11/07/2018 08:00PM ET,MEM,22.94
PF/C,Dewayne Dedmon (11587656),Dewayne Dedmon,11587656,PF/C/F/UTIL,4600,NY@ATL 11/07/2018 07:30PM ET,ATL,21.57
SF,DeAndre' Bembry (11587660),DeAndre' Bembry,11587660,SF/F/UTIL,4600,NY@ATL 11/07/2018 07:30PM ET,ATL,22.38
PF,Taj Gibson (11587689),Taj Gibson,11587689,PF/F/UTIL,4500,MIN@LAL 11/07/2018 10:30PM ET,MIN,24.75
SG/SF,Bojan Bogdanovic (11587670),Bojan Bogdanovic,11587670,SG/SF/F/G/UTIL,4500,PHI@IND 11/07/2018 08:00PM ET,IND,20.66
PG/SG,Tyler Johnson (11587675),Tyler Johnson,11587675,PG/SG/G/UTIL,4500,SA@MIA 11/07/2018 07:30PM ET,MIA,18.33
PG,Allonzo Trier (11587679),Allonzo Trier,11587679,PG/G/UTIL,4500,NY@ATL 11/07/2018 07:30PM ET,NY,17.39
C,Alex Len (11587682),Alex Len,11587682,C/UTIL,4500,NY@ATL 11/07/2018 07:30PM ET,ATL,22.7
SG/SF,E'Twaun Moore (11587684),E'Twaun Moore,11587684,SG/SF/F/G/UTIL,4500,CHI@NO 11/07/2018 08:00PM ET,NO,21.5
SF/PF,Sam Dekker (11587692),Sam Dekker,11587692,SF/PF/F/UTIL,4400,OKC@CLE 11/07/2018 07:00PM ET,CLE,14.86
SG/SF,Tyreke Evans (11587696),Tyreke Evans,11587696,SG/SF/F/G/UTIL,4400,PHI@IND 11/07/2018 08:00PM ET,IND,21.55
PG,D.J. Augustin (11587701),D.J. Augustin,11587701,PG/G/UTIL,4400,DET@ORL 11/07/2018 07:00PM ET,ORL,21.28
SG/SF,Garrett Temple (11587704),Garrett Temple,11587704,SG/SF/F/G/UTIL,4400,DEN@MEM 11/07/2018 08:00PM ET,MEM,22.61
SF/PF,Trey Lyles (11587709),Trey Lyles,11587709,SF/PF/F/UTIL,4400,DEN@MEM 11/07/2018 08:00PM ET,DEN,21.28
PG/SG,Fred VanVleet (11587713),Fred VanVleet,11587713,PG/SG/G/UTIL,4400,TOR@SAC 11/07/2018 10:00PM ET,TOR,22.25
PG,Collin Sexton (11587717),Collin Sexton,11587717,PG/G/UTIL,4300,OKC@CLE 11/07/2018 07:00PM ET,CLE,16.98
PG,Darren Collison (11587720),Darren Collison,11587720,PG/G/UTIL,4300,PHI@IND 11/07/2018 08:00PM ET,IND,21.07
PF/C,Dirk Nowitzki (11587725),Dirk Nowitzki,11587725,PF/C/F/UTIL,4300,DAL@UTA 11/07/2018 09:00PM ET,DAL,0
C,Mitchell Robinson (11587729),Mitchell Robinson,11587729,C/UTIL,4300,NY@ATL 11/07/2018 07:30PM ET,NY,14.31
SG/SF,Danny Green (11587731),Danny Green,11587731,SG/SF/F/G/UTIL,4300,TOR@SAC 11/07/2018 10:00PM ET,TOR,23.25
SG,Josh Okogie (11587736),Josh Okogie,11587736,SG/G/UTIL,4200,MIN@LAL 11/07/2018 10:30PM ET,MIN,20.64
C,Mohamed Bamba (11587723),Mohamed Bamba,11587723,C/UTIL,4200,DET@ORL 11/07/2018 07:00PM ET,ORL,19.9
PG,Ish Smith (11587739),Ish Smith,11587739,PG/G/UTIL,4200,DET@ORL 11/07/2018 07:00PM ET,DET,20.22
SG/SF,Marco Belinelli (11587742),Marco Belinelli,11587742,SG/SF/F/G/UTIL,4200,SA@MIA 11/07/2018 07:30PM ET,SA,19.19
PG,Frank Ntilikina (11587747),Frank Ntilikina,11587747,PG/G/UTIL,4200,NY@ATL 11/07/2018 07:30PM ET,NY,18.32
SG,Josh Hart (11587750),Josh Hart,11587750,SG/G/UTIL,4100,MIN@LAL 11/07/2018 10:30PM ET,LAL,23.22
SG/SF,Reggie Bullock (11587753),Reggie Bullock,11587753,SG/SF/F/G/UTIL,4100,DET@ORL 11/07/2018 07:00PM ET,DET,17
PF,Jonathan Isaac (11587767),Jonathan Isaac,11587767,PF/F/UTIL,4100,DET@ORL 11/07/2018 07:00PM ET,ORL,18.22
PG/SF,Kyle Anderson (11587758),Kyle Anderson,11587758,PG/SF/F/G/UTIL,4100,DEN@MEM 11/07/2018 08:00PM ET,MEM,17.72
PG/SG,George Hill (11587763),George Hill,11587763,PG/SG/G/UTIL,4000,OKC@CLE 11/07/2018 07:00PM ET,CLE,21.48
SF/PF,JaMychal Green (11587770),JaMychal Green,11587770,SF/PF/F/UTIL,4000,DEN@MEM 11/07/2018 08:00PM ET,MEM,21.25
PG/SG,Dante Exum (11587774),Dante Exum,11587774,PG/SG/G/UTIL,4000,DAL@UTA 11/07/2018 09:00PM ET,UTA,15.02
PG/SG,Bryn Forbes (11587778),Bryn Forbes,11587778,PG/SG/G/UTIL,4000,SA@MIA 11/07/2018 07:30PM ET,SA,21
PG,Derrick White (11587782),Derrick White,11587782,PG/G/UTIL,4000,SA@MIA 11/07/2018 07:30PM ET,SA,0
C,Pau Gasol (11587805),Pau Gasol,11587805,C/UTIL,4000,SA@MIA 11/07/2018 07:30PM ET,SA,21.64
PG/SG,Cameron Payne (11587785),Cameron Payne,11587785,PG/SG/G/UTIL,4000,CHI@NO 11/07/2018 08:00PM ET,CHI,19.02
SG/SF,Denzel Valentine (11587789),Denzel Valentine,11587789,SG/SF/F/G/UTIL,4000,CHI@NO 11/07/2018 08:00PM ET,CHI,0
PG/SG,Raymond Felton (11587794),Raymond Felton,11587794,PG/SG/G/UTIL,3900,OKC@CLE 11/07/2018 07:00PM ET,OKC,12.42
PG/SG,Langston Galloway (11587798),Langston Galloway,11587798,PG/SG/G/UTIL,3900,DET@ORL 11/07/2018 07:00PM ET,DET,14.28
SF,Dorian Finney-Smith (11587802),Dorian Finney-Smith,11587802,SF/F/UTIL,3900,DAL@UTA 11/07/2018 09:00PM ET,DAL,18.6
PG/SG,Patty Mills (11587807),Patty Mills,11587807,PG/SG/G/UTIL,3900,SA@MIA 11/07/2018 07:30PM ET,SA,18.53
SF/PF,Mario Hezonja (11587811),Mario Hezonja,11587811,SF/PF/F/UTIL,3900,NY@ATL 11/07/2018 07:30PM ET,NY,17.77
PG/SG,Lance Stephenson (11587815),Lance Stephenson,11587815,PG/SG/G/UTIL,3800,MIN@LAL 11/07/2018 10:30PM ET,LAL,19.38
C,Nerlens Noel (11587830),Nerlens Noel,11587830,C/UTIL,3800,OKC@CLE 11/07/2018 07:00PM ET,OKC,18.78
SF/PF,Juancho Hernangomez (11587819),Juancho Hernangomez,11587819,SF/PF/F/UTIL,3800,DEN@MEM 11/07/2018 08:00PM ET,DEN,15.22
PG/SG,J.J. Barea (11587823),J.J. Barea,11587823,PG/SG/G/UTIL,3800,DAL@UTA 11/07/2018 09:00PM ET,DAL,20.92
SF,Kevin Knox (11587827),Kevin Knox,11587827,SF/F/UTIL,3800,NY@ATL 11/07/2018 07:30PM ET,NY,11.5
SG,J.R. Smith (11587832),J.R. Smith,11587832,SG/G/UTIL,3700,OKC@CLE 11/07/2018 07:00PM ET,CLE,13.38
SF/PF,Wilson Chandler (11587835),Wilson Chandler,11587835,SF/PF/F/UTIL,3700,PHI@IND 11/07/2018 08:00PM ET,PHI,8.5
SG/SF,Jonathon Simmons (11587839),Jonathon Simmons,11587839,SG/SF/F/G/UTIL,3700,DET@ORL 11/07/2018 07:00PM ET,ORL,16.25
SF/PF,Stanley Johnson (11587844),Stanley Johnson,11587844,SF/PF/F/UTIL,3700,DET@ORL 11/07/2018 07:00PM ET,DET,14.84
SG,Dillon Brooks (11587848),Dillon Brooks,11587848,SG/G/UTIL,3700,DEN@MEM 11/07/2018 08:00PM ET,MEM,13.89
PF/C,Mason Plumlee (11587851),Mason Plumlee,11587851,PF/C/F/UTIL,3700,DEN@MEM 11/07/2018 08:00PM ET,DEN,18.3
PG,Monte Morris (11587855),Monte Morris,11587855,PG/G/UTIL,3700,DEN@MEM 11/07/2018 08:00PM ET,DEN,17.95
SF,Royce O'Neale (11587858),Royce O'Neale,11587858,SF/F/UTIL,3700,DAL@UTA 11/07/2018 09:00PM ET,UTA,10.35
PG/SG,Jeremy Lin (11587861),Jeremy Lin,11587861,PG/SG/G/UTIL,3700,NY@ATL 11/07/2018 07:30PM ET,ATL,15.28
PG,Antonio Blakeney (11587865),Antonio Blakeney,11587865,PG/G/UTIL,3700,CHI@NO 11/07/2018 08:00PM ET,CHI,16.96
PG,Cory Joseph (11587868),Cory Joseph,11587868,PG/G/UTIL,3600,PHI@IND 11/07/2018 08:00PM ET,IND,17.09
PG,Jerian Grant (11587871),Jerian Grant,11587871,PG/G/UTIL,3600,DET@ORL 11/07/2018 07:00PM ET,ORL,15.4
SG,Alec Burks (11587874),Alec Burks,11587874,SG/G/UTIL,3600,DAL@UTA 11/07/2018 09:00PM ET,UTA,13.71
SF/PF,Dante Cunningham (11587877),Dante Cunningham,11587877,SF/PF/F/UTIL,3600,SA@MIA 11/07/2018 07:30PM ET,SA,13.5
SG,Chandler Hutchison (11587881),Chandler Hutchison,11587881,SG/G/UTIL,3600,CHI@NO 11/07/2018 08:00PM ET,CHI,11.92
PG,Frank Mason III (11587884),Frank Mason III,11587884,PG/G/UTIL,3600,TOR@SAC 11/07/2018 10:00PM ET,SAC,17.31
SF,Justin Jackson (11587887),Justin Jackson,11587887,SF/F/UTIL,3600,TOR@SAC 11/07/2018 10:00PM ET,SAC,17.15
SG/SF,Alex Abrines (11587890),Alex Abrines,11587890,SG/SF/F/G/UTIL,3500,OKC@CLE 11/07/2018 07:00PM ET,OKC,13.94
PF/C,Mike Muscala (11587895),Mike Muscala,11587895,PF/C/F/UTIL,3500,PHI@IND 11/07/2018 08:00PM ET,PHI,15.06
PF/C,Dwight Powell (11587899),Dwight Powell,11587899,PF/C/F/UTIL,3500,DAL@UTA 11/07/2018 09:00PM ET,DAL,17.5
PG,Emmanuel Mudiay (11587903),Emmanuel Mudiay,11587903,PG/G/UTIL,3500,NY@ATL 11/07/2018 07:30PM ET,NY,15.81
PF,Omari Spellman (11587906),Omari Spellman,11587906,PF/F/UTIL,3500,NY@ATL 11/07/2018 07:30PM ET,ATL,14.58
PG,Ryan Arcidiacono (11587909),Ryan Arcidiacono,11587909,PG/G/UTIL,3500,CHI@NO 11/07/2018 08:00PM ET,CHI,17.32
PF,Cheick Diallo (11587912),Cheick Diallo,11587912,PF/F/UTIL,3500,CHI@NO 11/07/2018 08:00PM ET,NO,11.18
SG/SF,Iman Shumpert (11587915),Iman Shumpert,11587915,SG/SF/F/G/UTIL,3500,TOR@SAC 11/07/2018 10:00PM ET,SAC,19
PF/C,Patrick Patterson (11587920),Patrick Patterson,11587920,PF/C/F/UTIL,3400,OKC@CLE 11/07/2018 07:00PM ET,OKC,14.22
PG,Landry Shamet (11587924),Landry Shamet,11587924,PG/G/UTIL,3400,PHI@IND 11/07/2018 08:00PM ET,PHI,11.84
C,Zaza Pachulia (11587927),Zaza Pachulia,11587927,C/UTIL,3400,DET@ORL 11/07/2018 07:00PM ET,DET,13.92
SF/PF,Glenn Robinson III (11587929),Glenn Robinson III,11587929,SF/PF/F/UTIL,3400,DET@ORL 11/07/2018 07:00PM ET,DET,9
PF/C,Jon Leuer (11587933),Jon Leuer,11587933,PF/C/F/UTIL,3400,DET@ORL 11/07/2018 07:00PM ET,DET,8.17
PF,Maxi Kleber (11587937),Maxi Kleber,11587937,PF/F/UTIL,3400,DAL@UTA 11/07/2018 09:00PM ET,DAL,16
SG,Kevin Huerter (11587940),Kevin Huerter,11587940,SG/G/UTIL,3400,NY@ATL 11/07/2018 07:30PM ET,ATL,14.78
PG/SG,Ian Clark (11587943),Ian Clark,11587943,PG/SG/G/UTIL,3400,CHI@NO 11/07/2018 08:00PM ET,NO,10.11
SG/SF,C.J. Miles (11587947),C.J. Miles,11587947,SG/SF/F/G/UTIL,3400,TOR@SAC 11/07/2018 10:00PM ET,TOR,10.39
SG,Troy Williams (11587952),Troy Williams,11587952,SG/G/UTIL,3400,TOR@SAC 11/07/2018 10:00PM ET,SAC,17.08
SF/PF,Anthony Tolliver (11587955),Anthony Tolliver,11587955,SF/PF/F/UTIL,3300,MIN@LAL 11/07/2018 10:30PM ET,MIN,13.66
PF/C,Gorgui Dieng (11587959),Gorgui Dieng,11587959,PF/C/F/UTIL,3300,MIN@LAL 11/07/2018 10:30PM ET,MIN,16.11
SG/SF,Andre Roberson (11587963),Andre Roberson,11587963,SG/SF/F/G/UTIL,3300,OKC@CLE 11/07/2018 07:00PM ET,OKC,0
SG/SF,Kyle Korver (11587968),Kyle Korver,11587968,SG/SF/F/G/UTIL,3300,OKC@CLE 11/07/2018 07:00PM ET,CLE,9.08
SF/PF,Chandler Parsons (11587973),Chandler Parsons,11587973,SF/PF/F/UTIL,3300,DEN@MEM 11/07/2018 08:00PM ET,MEM,9.83
SG,MarShon Brooks (11587977),MarShon Brooks,11587977,SG/G/UTIL,3300,DEN@MEM 11/07/2018 08:00PM ET,MEM,11.22
SG,Malik Beasley (11587980),Malik Beasley,11587980,SG/G/UTIL,3300,DEN@MEM 11/07/2018 08:00PM ET,DEN,11.3
PG/SG,Trey Burke (11587983),Trey Burke,11587983,PG/SG/G/UTIL,3300,NY@ATL 11/07/2018 07:30PM ET,NY,17.98
PG/SG,Tim Frazier (11587987),Tim Frazier,11587987,PG/SG/G/UTIL,3300,CHI@NO 11/07/2018 08:00PM ET,NO,9.71
SG/SF,Norman Powell (11587991),Norman Powell,11587991,SG/SF/F/G/UTIL,3300,TOR@SAC 11/07/2018 10:00PM ET,TOR,11
SF,OG Anunoby (11587996),OG Anunoby,11587996,SF/F/UTIL,3300,TOR@SAC 11/07/2018 10:00PM ET,TOR,13.88
SG/SF,Kentavious Caldwell-Pope (11587999),Kentavious Caldwell-Pope,11587999,SG/SF/F/G/UTIL,3200,MIN@LAL 11/07/2018 10:30PM ET,LAL,9.4
SG,Hamidou Diallo (11588004),Hamidou Diallo,11588004,SG/G/UTIL,3200,OKC@CLE 11/07/2018 07:00PM ET,OKC,11.78
