Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11641898),Giannis Antetokounmpo,11641898,SF/PF/F/UTIL,11500,CHI@MIL 11/16/2018 09:30PM ET,MIL,54.75
PF/C,Anthony Davis (11641902),Anthony Davis,11641902,PF/C/F/UTIL,11400,NY@NO 11/16/2018 08:00PM ET,NO,57.5
C,Joel Embiid (11641906),Joel Embiid,11641906,C/UTIL,10300,UTA@PHI 11/16/2018 07:00PM ET,PHI,55.81
C,Karl-Anthony Towns (11641908),Karl-Anthony Towns,11641908,C/UTIL,9600,POR@MIN 11/16/2018 08:00PM ET,MIN,44.6
PG,John Wall (11641910),John Wall,11641910,PG/G/UTIL,9500,BKN@WAS 11/16/2018 07:00PM ET,WAS,43.55
PG/SG,Victor Oladipo (11641913),Victor Oladipo,11641913,PG/SG/G/UTIL,9300,MIA@IND 11/16/2018 07:00PM ET,IND,45.21
PG,Damian Lillard (11641917),Damian Lillard,11641917,PG/G/UTIL,9100,POR@MIN 11/16/2018 08:00PM ET,POR,44.84
SG/SF,Kawhi Leonard (11641920),Kawhi Leonard,11641920,SG/SF/F/G/UTIL,9000,TOR@BOS 11/16/2018 07:00PM ET,TOR,43.04
PG/SG,Jrue Holiday (11641925),Jrue Holiday,11641925,PG/SG/G/UTIL,8300,NY@NO 11/16/2018 08:00PM ET,NO,42.52
PG/SF,Ben Simmons (11641929),Ben Simmons,11641929,PG/SF/F/G/UTIL,8200,UTA@PHI 11/16/2018 07:00PM ET,PHI,41.3
SG,Bradley Beal (11641934),Bradley Beal,11641934,SG/G/UTIL,8100,BKN@WAS 11/16/2018 07:00PM ET,WAS,38.18
C,Hassan Whiteside (11641937),Hassan Whiteside,11641937,C/UTIL,7900,MIA@IND 11/16/2018 07:00PM ET,MIA,40.92
PG/SG,Zach LaVine (11641939),Zach LaVine,11641939,PG/SG/G/UTIL,7800,CHI@MIL 11/16/2018 09:30PM ET,CHI,41.43
PG,Kyrie Irving (11641943),Kyrie Irving,11641943,PG/G/UTIL,7700,TOR@BOS 11/16/2018 07:00PM ET,BOS,39.52
PG,Kyle Lowry (11641946),Kyle Lowry,11641946,PG/G/UTIL,7600,TOR@BOS 11/16/2018 07:00PM ET,TOR,41.38
C,Rudy Gobert (11641949),Rudy Gobert,11641949,C/UTIL,7500,UTA@PHI 11/16/2018 07:00PM ET,UTA,41.62
C,Marc Gasol (11641951),Marc Gasol,11641951,C/UTIL,7400,SAC@MEM 11/16/2018 08:00PM ET,MEM,38.67
SF/PF,Nikola Mirotic (11641953),Nikola Mirotic,11641953,SF/PF/F/UTIL,7400,NY@NO 11/16/2018 08:00PM ET,NO,40.73
SG/SF,Jimmy Butler (11641957),Jimmy Butler,11641957,SG/SF/F/G/UTIL,7300,UTA@PHI 11/16/2018 07:00PM ET,PHI,39.36
PG/SG,Donovan Mitchell (11641962),Donovan Mitchell,11641962,PG/SG/G/UTIL,7200,UTA@PHI 11/16/2018 07:00PM ET,UTA,33.65
C,Jusuf Nurkic (11641966),Jusuf Nurkic,11641966,C/UTIL,7100,POR@MIN 11/16/2018 08:00PM ET,POR,35.57
PG/SG,Derrick Rose (11641971),Derrick Rose,11641971,PG/SG/G/UTIL,7000,POR@MIN 11/16/2018 08:00PM ET,MIN,32.31
PG,Mike Conley (11641968),Mike Conley,11641968,PG/G/UTIL,7000,SAC@MEM 11/16/2018 08:00PM ET,MEM,34.77
SG/SF,Khris Middleton (11641975),Khris Middleton,11641975,SG/SF/F/G/UTIL,6900,CHI@MIL 11/16/2018 09:30PM ET,MIL,35.11
PG/SG,Eric Bledsoe (11641983),Eric Bledsoe,11641983,PG/SG/G/UTIL,6800,CHI@MIL 11/16/2018 09:30PM ET,MIL,32.16
PG,De'Aaron Fox (11641980),De'Aaron Fox,11641980,PG/G/UTIL,6800,SAC@MEM 11/16/2018 08:00PM ET,SAC,38.18
PF/C,Julius Randle (11641987),Julius Randle,11641987,PF/C/F/UTIL,6700,NY@NO 11/16/2018 08:00PM ET,NO,31.93
SG/SF,Tim Hardaway Jr. (11641991),Tim Hardaway Jr.,11641991,SG/SF/F/G/UTIL,6700,NY@NO 11/16/2018 08:00PM ET,NY,34.14
PG/SG,D'Angelo Russell (11641996),D'Angelo Russell,11641996,PG/SG/G/UTIL,6600,BKN@WAS 11/16/2018 07:00PM ET,BKN,31.35
SG/SF,Josh Richardson (11642004),Josh Richardson,11642004,SG/SF/F/G/UTIL,6500,MIA@IND 11/16/2018 07:00PM ET,MIA,33.89
PG/SG,CJ McCollum (11642000),CJ McCollum,11642000,PG/SG/G/UTIL,6500,POR@MIN 11/16/2018 08:00PM ET,POR,31.75
C,Enes Kanter (11642011),Enes Kanter,11642011,C/UTIL,6500,NY@NO 11/16/2018 08:00PM ET,NY,34.85
C,Willie Cauley-Stein (11642009),Willie Cauley-Stein,11642009,C/UTIL,6400,SAC@MEM 11/16/2018 08:00PM ET,SAC,33.57
PF/C,Al Horford (11642017),Al Horford,11642017,PF/C/F/UTIL,6400,TOR@BOS 11/16/2018 07:00PM ET,BOS,29.86
PF/C,Domantas Sabonis (11642013),Domantas Sabonis,11642013,PF/C/F/UTIL,6300,MIA@IND 11/16/2018 07:00PM ET,IND,30.71
PG,Goran Dragic (11642025),Goran Dragic,11642025,PG/G/UTIL,6200,MIA@IND 11/16/2018 07:00PM ET,MIA,30.25
SG/SF,Buddy Hield (11642028),Buddy Hield,11642028,SG/SF/F/G/UTIL,6200,SAC@MEM 11/16/2018 08:00PM ET,SAC,32.11
PF/C,Serge Ibaka (11642021),Serge Ibaka,11642021,PF/C/F/UTIL,6200,TOR@BOS 11/16/2018 07:00PM ET,TOR,32.95
SG/SF,Andrew Wiggins (11642033),Andrew Wiggins,11642033,SG/SF/F/G/UTIL,6100,POR@MIN 11/16/2018 08:00PM ET,MIN,30.84
SF/PF,Jayson Tatum (11642038),Jayson Tatum,11642038,SF/PF/F/UTIL,6100,TOR@BOS 11/16/2018 07:00PM ET,BOS,31.12
SF,Caris LeVert (11642045),Caris LeVert,11642045,SF/F/UTIL,6000,BKN@WAS 11/16/2018 07:00PM ET,BKN,32.04
PF,Pascal Siakam (11642042),Pascal Siakam,11642042,PF/F/UTIL,6000,TOR@BOS 11/16/2018 07:00PM ET,TOR,28.55
PG,Jeff Teague (11642048),Jeff Teague,11642048,PG/G/UTIL,5900,POR@MIN 11/16/2018 08:00PM ET,MIN,31.39
SG/SF,Joe Ingles (11642051),Joe Ingles,11642051,SG/SF/F/G/UTIL,5900,UTA@PHI 11/16/2018 07:00PM ET,UTA,29.09
SF/PF,Marcus Morris (11642056),Marcus Morris,11642056,SF/PF/F/UTIL,5800,TOR@BOS 11/16/2018 07:00PM ET,BOS,27.15
PG,Ricky Rubio (11642060),Ricky Rubio,11642060,PG/G/UTIL,5800,UTA@PHI 11/16/2018 07:00PM ET,UTA,28.25
SF/PF,Jabari Parker (11642067),Jabari Parker,11642067,SF/PF/F/UTIL,5700,CHI@MIL 11/16/2018 09:30PM ET,CHI,27
PG/SG,Spencer Dinwiddie (11642063),Spencer Dinwiddie,11642063,PG/SG/G/UTIL,5700,BKN@WAS 11/16/2018 07:00PM ET,BKN,25.38
C,Dwight Howard (11642071),Dwight Howard,11642071,C/UTIL,5700,BKN@WAS 11/16/2018 07:00PM ET,WAS,26.68
PF/C,Rondae Hollis-Jefferson (11642076),Rondae Hollis-Jefferson,11642076,PF/C/F/UTIL,5600,BKN@WAS 11/16/2018 07:00PM ET,BKN,21.12
PG,Elfrid Payton (11642073),Elfrid Payton,11642073,PG/G/UTIL,5600,NY@NO 11/16/2018 08:00PM ET,NO,30.8
PG/SG,Kris Dunn (11642085),Kris Dunn,11642085,PG/SG/G/UTIL,5500,CHI@MIL 11/16/2018 09:30PM ET,CHI,23
SG/SF,JJ Redick (11642080),JJ Redick,11642080,SG/SF/F/G/UTIL,5500,UTA@PHI 11/16/2018 07:00PM ET,PHI,27.81
C,Brook Lopez (11642089),Brook Lopez,11642089,C/UTIL,5400,CHI@MIL 11/16/2018 09:30PM ET,MIL,23.61
PF,Jaren Jackson Jr. (11642096),Jaren Jackson Jr.,11642096,PF/F/UTIL,5400,SAC@MEM 11/16/2018 08:00PM ET,MEM,24.81
SG/SF,Gordon Hayward (11642091),Gordon Hayward,11642091,SG/SF/F/G/UTIL,5400,TOR@BOS 11/16/2018 07:00PM ET,BOS,23.62
C,Wendell Carter Jr. (11642105),Wendell Carter Jr.,11642105,C/UTIL,5300,CHI@MIL 11/16/2018 09:30PM ET,CHI,29.45
SF/PF,Robert Covington (11642099),Robert Covington,11642099,SF/PF/F/UTIL,5300,POR@MIN 11/16/2018 08:00PM ET,MIN,27.36
C,Jonas Valanciunas (11642103),Jonas Valanciunas,11642103,C/UTIL,5300,TOR@BOS 11/16/2018 07:00PM ET,TOR,27.23
SF/PF,Otto Porter Jr. (11642107),Otto Porter Jr.,11642107,SF/PF/F/UTIL,5200,BKN@WAS 11/16/2018 07:00PM ET,WAS,23.52
SG/SF,E'Twaun Moore (11642111),E'Twaun Moore,11642111,SG/SF/F/G/UTIL,5200,NY@NO 11/16/2018 08:00PM ET,NO,24.54
PG/SF,Justise Winslow (11642118),Justise Winslow,11642118,PG/SF/F/G/UTIL,5100,MIA@IND 11/16/2018 07:00PM ET,MIA,24.5
C,Jarrett Allen (11642116),Jarrett Allen,11642116,C/UTIL,5100,BKN@WAS 11/16/2018 07:00PM ET,BKN,28.88
SF/PF,Nemanja Bjelica (11642123),Nemanja Bjelica,11642123,SF/PF/F/UTIL,5100,SAC@MEM 11/16/2018 08:00PM ET,SAC,27.71
PF,Lauri Markkanen (11642127),Lauri Markkanen,11642127,PF/F/UTIL,5000,CHI@MIL 11/16/2018 09:30PM ET,CHI,0
PG/SG,Malcolm Brogdon (11642130),Malcolm Brogdon,11642130,PG/SG/G/UTIL,5000,CHI@MIL 11/16/2018 09:30PM ET,MIL,25.18
PF/C,Bobby Portis (11642134),Bobby Portis,11642134,PF/C/F/UTIL,5000,CHI@MIL 11/16/2018 09:30PM ET,CHI,29.12
SG/SF,Bojan Bogdanovic (11642138),Bojan Bogdanovic,11642138,SG/SF/F/G/UTIL,4900,MIA@IND 11/16/2018 07:00PM ET,IND,22.75
SF/PF,Al-Farouq Aminu (11642143),Al-Farouq Aminu,11642143,SF/PF/F/UTIL,4900,POR@MIN 11/16/2018 08:00PM ET,POR,23.89
SG/SF,Rodney McGruder (11642147),Rodney McGruder,11642147,SG/SF/F/G/UTIL,4800,MIA@IND 11/16/2018 07:00PM ET,MIA,27.16
PG/SF,Kyle Anderson (11642152),Kyle Anderson,11642152,PG/SF/F/G/UTIL,4800,SAC@MEM 11/16/2018 08:00PM ET,MEM,20.64
PG/SG,Dwyane Wade (11642161),Dwyane Wade,11642161,PG/SG/G/UTIL,4700,MIA@IND 11/16/2018 07:00PM ET,MIA,24.94
SF/PF,Jae Crowder (11642157),Jae Crowder,11642157,SF/PF/F/UTIL,4700,UTA@PHI 11/16/2018 07:00PM ET,UTA,25.20
C,Myles Turner (11642170),Myles Turner,11642170,C/UTIL,4600,MIA@IND 11/16/2018 07:00PM ET,IND,23.52
PF,Taj Gibson (11642172),Taj Gibson,11642172,PF/F/UTIL,4600,POR@MIN 11/16/2018 08:00PM ET,MIN,26.1
SG/SF,Jaylen Brown (11642165),Jaylen Brown,11642165,SG/SF/F/G/UTIL,4600,TOR@BOS 11/16/2018 07:00PM ET,BOS,21.33
PF/C,Noah Vonleh (11642175),Noah Vonleh,11642175,PF/C/F/UTIL,4600,NY@NO 11/16/2018 08:00PM ET,NY,22.43
SG/SF,Justin Holiday (11642194),Justin Holiday,11642194,SG/SF/F/G/UTIL,4500,CHI@MIL 11/16/2018 09:30PM ET,CHI,24.42
PG,Darren Collison (11642179),Darren Collison,11642179,PG/G/UTIL,4500,MIA@IND 11/16/2018 07:00PM ET,IND,20.86
SF/PF,James Johnson (11642182),James Johnson,11642182,SF/PF/F/UTIL,4500,MIA@IND 11/16/2018 07:00PM ET,MIA,0
SF/PF,Markieff Morris (11642186),Markieff Morris,11642186,SF/PF/F/UTIL,4500,BKN@WAS 11/16/2018 07:00PM ET,WAS,21.71
PF/C,Derrick Favors (11642190),Derrick Favors,11642190,PF/C/F/UTIL,4500,UTA@PHI 11/16/2018 07:00PM ET,UTA,25.04
SF/PF,Thaddeus Young (11642204),Thaddeus Young,11642204,SF/PF/F/UTIL,4400,MIA@IND 11/16/2018 07:00PM ET,IND,21.38
SG/SF,Joe Harris (11642208),Joe Harris,11642208,SG/SF/F/G/UTIL,4400,BKN@WAS 11/16/2018 07:00PM ET,BKN,22.83
SG/SF,Evan Turner (11642199),Evan Turner,11642199,SG/SF/F/G/UTIL,4400,POR@MIN 11/16/2018 08:00PM ET,POR,23.88
PG/SG,Tyler Johnson (11642216),Tyler Johnson,11642216,PG/SG/G/UTIL,4300,MIA@IND 11/16/2018 07:00PM ET,MIA,21.27
SF/PF,Jeff Green (11642220),Jeff Green,11642220,SF/PF/F/UTIL,4300,BKN@WAS 11/16/2018 07:00PM ET,WAS,21.29
PF/C,Ed Davis (11642224),Ed Davis,11642224,PF/C/F/UTIL,4300,BKN@WAS 11/16/2018 07:00PM ET,BKN,18.95
