PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Zaza Pachulia,DET,34,1,1,0,5,3,1,3,33.3,0,0,0,1,1,100,1,0,1,0,1,0,0,0,3.2,0,0,-3,
Zach LaVine,CHI,23,1,0,1,32,10,3,11,27.3,0,2,0,4,4,100,1,8,9,4,4,1,0,0,25.8,0,0,-21,
Zach Collins,POR,20,1,0,1,16,5,2,7,28.6,1,4,25,0,0,0,0,0,0,0,2,1,1,2,9,0,0,-13,
Yuta Watanabe,MEM,24,1,1,0,8,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,5.4,0,0,3,
Wilson Chandler,PHI,31,1,0,1,23,14,6,10,60,2,4,50,0,0,0,3,1,4,0,1,1,0,2,20.8,0,0,2,
Wesley Matthews,DAL,32,1,1,0,21,9,4,5,80,1,2,50,0,0,0,0,2,2,0,1,3,1,1,22.4,0,0,17,
Wesley Johnson,NOP,31,1,0,1,30,5,2,3,66.7,1,1,100,0,0,0,1,6,7,5,1,1,0,3,22.9,0,0,9,
Wes Iwundu,ORL,23,1,1,0,19,11,4,5,80,1,1,100,2,2,100,0,1,1,0,0,2,0,0,18.2,0,0,-5,
Wendell Carter Jr.,CHI,19,1,0,1,26,11,5,13,38.5,0,1,0,1,1,100,1,6,7,0,2,0,1,1,20.4,0,0,-15,
Wayne Selden,MEM,24,1,1,0,21,9,4,8,50,0,4,0,1,1,100,2,0,2,2,0,0,0,1,14.4,0,0,-1,
Wayne Ellington,MIA,30,1,1,0,26,8,3,6,50,2,5,40,0,0,0,0,1,1,3,0,3,0,2,22.7,0,0,-3,
Udonis Haslem,MIA,38,1,1,0,2,2,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,
Tyus Jones,MIN,22,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,5.5,0,0,16,
Tyson Chandler,LAL,36,1,1,0,21,4,1,1,100,0,0,0,2,2,100,2,4,6,1,0,0,0,4,12.7,0,0,6,
Tyler Johnson,MIA,26,1,1,0,31,24,9,12,75,2,5,40,4,4,100,1,4,5,1,1,0,2,0,36.5,0,0,6,
Troy Brown Jr.,WAS,19,1,1,0,4,2,1,1,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,2,
Tristan Thompson,CLE,27,1,0,1,19,9,3,6,50,0,0,0,3,6,50,3,5,8,2,2,2,1,3,28.6,0,0,-5,
Tony Snell,MIL,27,1,0,1,18,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,2,2,8.7,0,0,14,
Tomas Satoransky,WAS,27,1,1,0,17,8,4,6,66.7,0,1,0,0,0,0,1,0,1,4,1,3,0,2,23.2,0,0,15,
Timothe Luwawu-Cabarrot,OKC,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
Tim Hardaway Jr.,NYK,26,1,0,1,25,20,6,12,50,3,8,37.5,5,7,71.4,0,3,3,1,2,0,1,1,26.1,0,0,-14,
Tim Frazier,NOP,28,1,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,-8,
Thon Maker,MIL,21,1,0,1,9,3,1,2,50,1,2,50,0,0,0,0,2,2,1,0,0,2,2,12.9,0,0,17,
Thomas Bryant,WAS,21,1,1,0,4,6,2,2,100,0,0,0,2,2,100,0,1,1,0,0,0,0,2,7.2,0,0,2,
Thabo Sefolosha,UTA,34,1,0,1,12,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,3.6,0,0,-25,
Terry Rozier,BOS,24,1,1,0,30,12,5,15,33.3,0,5,0,2,2,100,0,4,4,2,0,1,0,1,22.8,0,0,19,
Terrence Ross,ORL,27,1,1,0,31,15,6,9,66.7,3,5,60,0,0,0,0,7,7,1,2,1,0,1,25.9,0,0,13,
Terrance Ferguson,OKC,20,1,1,0,32,7,3,7,42.9,1,4,25,0,0,0,1,5,6,3,1,0,0,3,17.7,0,0,16,
Taj Gibson,MIN,33,1,1,0,28,10,4,7,57.1,0,0,0,2,4,50,1,3,4,1,0,1,1,2,22.3,0,0,0,
T.J. Warren,PHX,25,1,1,0,38,27,10,17,58.8,3,8,37.5,4,4,100,0,4,4,2,0,3,0,4,43.8,0,0,24,
Steven Adams,OKC,25,1,1,0,30,19,9,13,69.2,0,0,0,1,2,50,2,4,6,5,2,2,1,1,40.7,0,0,25,
Stanley Johnson,DET,22,1,1,0,22,12,5,8,62.5,2,5,40,0,0,0,0,2,2,1,0,2,0,3,21.9,0,0,5,
Spencer Dinwiddie,BKN,25,1,0,1,29,18,6,12,50,1,5,20,5,7,71.4,1,2,3,5,4,1,0,1,28.1,0,0,-24,
Shelvin Mack,MEM,28,1,1,0,29,15,5,12,41.7,3,6,50,2,3,66.7,0,6,6,5,0,1,0,1,32.7,0,0,-1,
Shaquille Harrison,CHI,25,1,0,1,23,16,7,10,70,0,0,0,2,2,100,0,6,6,1,0,4,0,2,36.7,0,0,-19,
Shabazz Napier,BKN,27,1,0,1,26,13,5,13,38.5,1,3,33.3,2,2,100,0,2,2,2,0,2,0,3,24.4,0,0,-5,
Seth Curry,POR,28,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2,
Semi Ojeleye,BOS,23,1,1,0,21,4,2,2,100,0,0,0,0,0,0,1,1,2,0,2,0,0,0,4.4,0,0,23,
Salah Mejri,DAL,32,1,1,0,7,6,2,2,100,0,0,0,2,2,100,0,1,1,0,0,0,0,0,7.2,0,0,13,
Ryan Broekhoff,DAL,28,1,1,0,8,5,2,2,100,1,1,100,0,0,0,0,2,2,0,0,0,0,1,7.4,0,0,17,
Ryan Arcidiacono,CHI,24,1,0,1,31,8,3,5,60,2,4,50,0,0,0,0,8,8,3,1,1,0,4,24.1,0,0,-11,
Ryan Anderson,PHX,30,1,1,0,7,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,4.2,0,0,-4,
Rudy Gobert,UTA,26,1,0,1,26,10,4,6,66.7,0,0,0,2,6,33.3,3,7,10,2,0,3,0,1,34,1,0,-20,
Royce O'Neale,UTA,25,1,0,1,10,1,0,1,0,0,1,0,1,2,50,0,0,0,0,1,1,0,2,3,0,0,-18,
Rondae Hollis-Jefferson,BKN,23,1,0,1,23,14,6,13,46.2,0,1,0,2,5,40,5,4,9,0,2,1,1,2,28.8,0,0,-10,
Ron Baker,NYK,25,1,0,1,5,2,1,1,100,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2.5,0,0,-1,
Rodney McGruder,MIA,27,1,1,0,34,10,4,9,44.4,0,4,0,2,3,66.7,0,4,4,3,2,1,0,3,20.3,0,0,6,
Rodney Hood,CLE,26,1,0,1,16,10,2,5,40,0,1,0,6,6,100,0,2,2,2,1,0,0,3,14.4,0,0,-11,
Rodions Kurucs,BKN,20,1,0,1,7,2,1,2,50,0,0,0,0,0,0,0,2,2,0,0,1,0,1,7.4,0,0,7,
Robin Lopez,CHI,30,1,0,1,13,2,1,4,25,0,0,0,0,0,0,2,0,2,0,2,0,0,1,2.4,0,0,-13,
Robert Covington,MIN,27,1,1,0,41,13,4,11,36.4,3,7,42.9,2,2,100,0,7,7,2,1,2,1,2,32.4,0,0,4,
Ricky Rubio,UTA,28,1,0,1,25,11,3,9,33.3,1,5,20,4,4,100,0,3,3,3,4,4,0,2,27.1,0,0,-14,
Richaun Holmes,PHX,25,1,1,0,18,4,2,6,33.3,0,0,0,0,0,0,2,2,4,1,3,2,0,5,13.3,0,0,4,
Reggie Jackson,DET,28,1,1,0,27,13,6,14,42.9,1,4,25,0,0,0,0,1,1,6,3,0,0,2,20.2,0,0,3,
Reggie Bullock,DET,27,1,1,0,29,5,2,9,22.2,1,7,14.3,0,0,0,0,1,1,2,1,2,0,3,14.2,0,0,-1,
Raymond Felton,OKC,34,1,1,0,17,8,2,5,40,2,4,50,2,2,100,0,1,1,3,2,0,1,3,14.7,0,0,-9,
Rajon Rondo,LAL,32,1,1,0,16,0,0,4,0,0,1,0,0,0,0,0,2,2,3,1,2,0,0,11.9,0,0,2,
Quincy Pondexter,SAS,30,1,0,1,11,2,1,1,100,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3.7,0,0,-8,
Paul George,OKC,28,1,1,0,29,35,13,22,59.1,5,11,45.5,4,4,100,1,6,7,5,0,2,1,3,59.9,0,0,17,
Patty Mills,SAS,30,1,0,1,21,8,4,6,66.7,0,2,0,0,0,0,1,0,1,3,1,3,0,3,21.7,0,0,-1,
Patrick Patterson,OKC,29,1,1,0,18,5,2,4,50,0,0,0,1,2,50,2,0,2,1,1,1,0,0,10.9,0,0,22,
Pat Connaughton,MIL,25,1,0,1,27,16,6,9,66.7,2,5,40,2,4,50,2,4,6,2,1,2,1,1,34.2,0,0,21,
Pascal Siakam,TOR,24,1,0,1,29,17,8,12,66.7,1,1,100,0,1,0,2,5,7,2,1,1,1,4,33.4,0,0,0,
Otto Porter Jr.,WAS,25,1,1,0,26,15,7,11,63.6,1,3,33.3,0,0,0,1,3,4,3,3,2,0,0,27.3,0,0,10,
OG Anunoby,TOR,21,1,0,1,24,7,3,12,25,1,6,16.7,0,2,0,2,1,3,2,0,2,1,3,22.6,0,0,1,
Noah Vonleh,NYK,23,1,0,1,20,9,3,7,42.9,0,1,0,3,3,100,2,2,4,0,0,0,0,0,13.8,0,0,-20,
Nikola Vucevic,ORL,28,1,1,0,39,30,10,19,52.6,3,6,50,7,8,87.5,0,8,8,4,1,2,0,1,50.6,0,0,21,
Nikola Mirotic,NOP,27,1,0,1,33,16,7,14,50,2,8,25,0,0,0,1,9,10,1,2,1,0,3,30.5,1,0,0,
Nik Stauskas,POR,25,1,0,1,14,0,0,2,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,6.2,0,0,-6,
Nerlens Noel,OKC,24,1,1,0,14,2,1,2,50,0,0,0,0,0,0,3,2,5,2,1,1,2,3,19,0,0,-4,
Mo Bamba,ORL,20,1,1,0,9,4,2,6,33.3,0,1,0,0,0,0,1,3,4,0,0,0,0,2,8.8,0,0,-16,
Mitchell Robinson,NYK,20,1,0,1,18,6,3,4,75,0,0,0,0,0,0,0,1,1,1,0,1,3,4,20.7,0,0,-12,
Mike Muscala,PHI,27,1,0,1,26,5,2,6,33.3,1,4,25,0,2,0,3,2,5,2,2,0,0,4,12,0,0,-4,
Mike Conley,MEM,31,1,1,0,36,26,9,16,56.3,2,6,33.3,6,8,75,0,2,2,4,2,2,0,2,38.4,0,0,-7,
