Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11614900),Anthony Davis,11614900,PF/C/F/UTIL,11600,NO@TOR 11/12/2018 07:30PM ET,NO,56.58
SF/PF,Kevin Durant (11614904),Kevin Durant,11614904,SF/PF/F/UTIL,11000,GS@LAC 11/12/2018 10:30PM ET,GS,48.64
PG,Russell Westbrook (11614908),Russell Westbrook,11614908,PG/G/UTIL,10700,PHO@OKC 11/12/2018 08:00PM ET,OKC,51.29
C,Joel Embiid (11614911),Joel Embiid,11614911,C/UTIL,10100,PHI@MIA 11/12/2018 07:30PM ET,PHI,54.95
PG/SG,Stephen Curry (11614913),Stephen Curry,11614913,PG/SG/G/UTIL,9900,GS@LAC 11/12/2018 10:30PM ET,GS,48.62
SF/PF,Paul George (11614917),Paul George,11614917,SF/PF/F/UTIL,9700,PHO@OKC 11/12/2018 08:00PM ET,OKC,45.02
SG/SF,DeMar DeRozan (11614921),DeMar DeRozan,11614921,SG/SF/F/G/UTIL,9300,SA@SAC 11/12/2018 10:00PM ET,SA,45.80
PG/SF,Ben Simmons (11614926),Ben Simmons,11614926,PG/SF/F/G/UTIL,9000,PHI@MIA 11/12/2018 07:30PM ET,PHI,43.29
C,Karl-Anthony Towns (11614931),Karl-Anthony Towns,11614931,C/UTIL,8900,BKN@MIN 11/12/2018 08:00PM ET,MIN,42.79
SG/SF,Jimmy Butler (11614933),Jimmy Butler,11614933,SG/SF/F/G/UTIL,8800,PHI@MIA 11/12/2018 07:30PM ET,PHI,41.2
SG/SF,Kawhi Leonard (11614938),Kawhi Leonard,11614938,SG/SF/F/G/UTIL,8700,NO@TOR 11/12/2018 07:30PM ET,TOR,43.64
PG,John Wall (11614943),John Wall,11614943,PG/G/UTIL,8600,ORL@WAS 11/12/2018 07:00PM ET,WAS,43.88
C,Nikola Vucevic (11614946),Nikola Vucevic,11614946,C/UTIL,8500,ORL@WAS 11/12/2018 07:00PM ET,ORL,42.19
PG,Kyle Lowry (11614948),Kyle Lowry,11614948,PG/G/UTIL,8400,NO@TOR 11/12/2018 07:30PM ET,TOR,43.65
PG/SG,Zach LaVine (11614951),Zach LaVine,11614951,PG/SG/G/UTIL,8300,DAL@CHI 11/12/2018 08:00PM ET,CHI,42.31
PG/SG,Jrue Holiday (11614955),Jrue Holiday,11614955,PG/SG/G/UTIL,8200,NO@TOR 11/12/2018 07:30PM ET,NO,41.71
C,Hassan Whiteside (11614959),Hassan Whiteside,11614959,C/UTIL,8200,PHI@MIA 11/12/2018 07:30PM ET,MIA,42.39
PF/C,LaMarcus Aldridge (11614961),LaMarcus Aldridge,11614961,PF/C/F/UTIL,8100,SA@SAC 11/12/2018 10:00PM ET,SA,38.68
PF/C,Draymond Green (11614965),Draymond Green,11614965,PF/C/F/UTIL,8000,GS@LAC 11/12/2018 10:30PM ET,GS,32.80
C,Rudy Gobert (11614969),Rudy Gobert,11614969,C/UTIL,7900,UTA@MEM 11/12/2018 08:00PM ET,UTA,42.15
PG/SG,Devin Booker (11614971),Devin Booker,11614971,PG/SG/G/UTIL,7900,PHO@OKC 11/12/2018 08:00PM ET,PHO,40.67
SF/PF,Aaron Gordon (11614975),Aaron Gordon,11614975,SF/PF/F/UTIL,7800,ORL@WAS 11/12/2018 07:00PM ET,ORL,33.81
PG/SG,Donovan Mitchell (11614988),Donovan Mitchell,11614988,PG/SG/G/UTIL,7700,UTA@MEM 11/12/2018 08:00PM ET,UTA,36.48
SF/PF,Nikola Mirotic (11614979),Nikola Mirotic,11614979,SF/PF/F/UTIL,7700,NO@TOR 11/12/2018 07:30PM ET,NO,41.39
PG/SF,Luka Doncic (11614983),Luka Doncic,11614983,PG/SF/F/G/UTIL,7600,DAL@CHI 11/12/2018 08:00PM ET,DAL,36.54
PG/SG,Derrick Rose (11614992),Derrick Rose,11614992,PG/SG/G/UTIL,7500,BKN@MIN 11/12/2018 08:00PM ET,MIN,31.79
PG/SG,Dennis Schroder (11614998),Dennis Schroder,11614998,PG/SG/G/UTIL,7300,PHO@OKC 11/12/2018 08:00PM ET,OKC,31.04
SG/SF,Josh Richardson (11615005),Josh Richardson,11615005,SG/SF/F/G/UTIL,7200,PHI@MIA 11/12/2018 07:30PM ET,MIA,35.29
SG,Bradley Beal (11615002),Bradley Beal,11615002,SG/G/UTIL,7100,ORL@WAS 11/12/2018 07:00PM ET,WAS,38.10
C,Marc Gasol (11615017),Marc Gasol,11615017,C/UTIL,7100,UTA@MEM 11/12/2018 08:00PM ET,MEM,38.93
PG,De'Aaron Fox (11615010),De'Aaron Fox,11615010,PG/G/UTIL,7100,SA@SAC 11/12/2018 10:00PM ET,SAC,38.14
C,DeAndre Jordan (11614996),DeAndre Jordan,11614996,C/UTIL,7000,DAL@CHI 11/12/2018 08:00PM ET,DAL,35.88
SF/PF,Tobias Harris (11615013),Tobias Harris,11615013,SF/PF/F/UTIL,7000,GS@LAC 11/12/2018 10:30PM ET,LAC,37.56
SG,Klay Thompson (11615019),Klay Thompson,11615019,SG/G/UTIL,6900,GS@LAC 11/12/2018 10:30PM ET,GS,31.17
PG,Mike Conley (11615022),Mike Conley,11615022,PG/G/UTIL,6900,UTA@MEM 11/12/2018 08:00PM ET,MEM,34.5
C,Deandre Ayton (11615025),Deandre Ayton,11615025,C/UTIL,6800,PHO@OKC 11/12/2018 08:00PM ET,PHO,37.06
SG/SF,Evan Fournier (11615027),Evan Fournier,11615027,SG/SF/F/G/UTIL,6700,ORL@WAS 11/12/2018 07:00PM ET,ORL,29.56
C,Steven Adams (11615032),Steven Adams,11615032,C/UTIL,6700,PHO@OKC 11/12/2018 08:00PM ET,OKC,35.46
PF/C,Julius Randle (11615039),Julius Randle,11615039,PF/C/F/UTIL,6600,NO@TOR 11/12/2018 07:30PM ET,NO,33.69
SG/SF,Buddy Hield (11615034),Buddy Hield,11615034,SG/SF/F/G/UTIL,6600,SA@SAC 11/12/2018 10:00PM ET,SAC,32.5
SF/PF,Rudy Gay (11615046),Rudy Gay,11615046,SF/PF/F/UTIL,6500,SA@SAC 11/12/2018 10:00PM ET,SA,29.41
C,Wendell Carter Jr. (11615050),Wendell Carter Jr.,11615050,C/UTIL,6400,DAL@CHI 11/12/2018 08:00PM ET,CHI,30.42
SF,Caris LeVert (11615043),Caris LeVert,11615043,SF/F/UTIL,6400,BKN@MIN 11/12/2018 08:00PM ET,BKN,32.83
SG/SF,Andrew Wiggins (11615052),Andrew Wiggins,11615052,SG/SF/F/G/UTIL,6300,BKN@MIN 11/12/2018 08:00PM ET,MIN,29.42
C,Willie Cauley-Stein (11615057),Willie Cauley-Stein,11615057,C/UTIL,6200,SA@SAC 11/12/2018 10:00PM ET,SAC,33.29
PG/SG,Lou Williams (11615059),Lou Williams,11615059,PG/SG/G/UTIL,6100,GS@LAC 11/12/2018 10:30PM ET,LAC,28.83
C,Dwight Howard (11615063),Dwight Howard,11615063,C/UTIL,6100,ORL@WAS 11/12/2018 07:00PM ET,WAS,27.3
PG/SG,D'Angelo Russell (11615065),D'Angelo Russell,11615065,PG/SG/G/UTIL,6000,BKN@MIN 11/12/2018 08:00PM ET,BKN,30.54
PG,Ricky Rubio (11615069),Ricky Rubio,11615069,PG/G/UTIL,6000,UTA@MEM 11/12/2018 08:00PM ET,UTA,29.44
PF/C,Serge Ibaka (11615072),Serge Ibaka,11615072,PF/C/F/UTIL,6000,NO@TOR 11/12/2018 07:30PM ET,TOR,32.25
SG/SF,Joe Ingles (11615076),Joe Ingles,11615076,SG/SF/F/G/UTIL,5900,UTA@MEM 11/12/2018 08:00PM ET,UTA,29.71
PF,Pascal Siakam (11615081),Pascal Siakam,11615081,PF/F/UTIL,5900,NO@TOR 11/12/2018 07:30PM ET,TOR,27.64
SF/PF,Jabari Parker (11615084),Jabari Parker,11615084,SF/PF/F/UTIL,5800,DAL@CHI 11/12/2018 08:00PM ET,CHI,27.33
PF/C,DeMarcus Cousins (11615088),DeMarcus Cousins,11615088,PF/C/F/UTIL,5800,GS@LAC 11/12/2018 10:30PM ET,GS,0
PG,Goran Dragic (11615092),Goran Dragic,11615092,PG/G/UTIL,5800,PHI@MIA 11/12/2018 07:30PM ET,MIA,29.36
SG/SF,Rodney McGruder (11615095),Rodney McGruder,11615095,SG/SF/F/G/UTIL,5700,PHI@MIA 11/12/2018 07:30PM ET,MIA,28.90
SF/PF,Nemanja Bjelica (11615100),Nemanja Bjelica,11615100,SF/PF/F/UTIL,5700,SA@SAC 11/12/2018 10:00PM ET,SAC,28.15
PG,Dennis Smith Jr. (11615112),Dennis Smith Jr.,11615112,PG/G/UTIL,5600,DAL@CHI 11/12/2018 08:00PM ET,DAL,26.52
SF/PF,Danilo Gallinari (11615104),Danilo Gallinari,11615104,SF/PF/F/UTIL,5600,GS@LAC 11/12/2018 10:30PM ET,LAC,31.46
PF/C,Montrezl Harrell (11615108),Montrezl Harrell,11615108,PF/C/F/UTIL,5600,GS@LAC 11/12/2018 10:30PM ET,LAC,28.40
PG/SF,Justise Winslow (11615119),Justise Winslow,11615119,PG/SF/F/G/UTIL,5500,PHI@MIA 11/12/2018 07:30PM ET,MIA,26.12
SF/PF,T.J. Warren (11615124),T.J. Warren,11615124,SF/PF/F/UTIL,5500,PHO@OKC 11/12/2018 08:00PM ET,PHO,26.09
PG/SG,Kris Dunn (11615115),Kris Dunn,11615115,PG/SG/G/UTIL,5400,DAL@CHI 11/12/2018 08:00PM ET,CHI,23
PF,Taj Gibson (11615128),Taj Gibson,11615128,PF/F/UTIL,5400,BKN@MIN 11/12/2018 08:00PM ET,MIN,26.02
PF,Jaren Jackson Jr. (11615131),Jaren Jackson Jr.,11615131,PF/F/UTIL,5300,UTA@MEM 11/12/2018 08:00PM ET,MEM,23.75
C,Jonas Valanciunas (11615134),Jonas Valanciunas,11615134,C/UTIL,5300,NO@TOR 11/12/2018 07:30PM ET,TOR,28.60
SG/SF,JJ Redick (11615136),JJ Redick,11615136,SG/SF/F/G/UTIL,5300,PHI@MIA 11/12/2018 07:30PM ET,PHI,26.95
PF/C,Bobby Portis (11615141),Bobby Portis,11615141,PF/C/F/UTIL,5200,DAL@CHI 11/12/2018 08:00PM ET,CHI,29.12
SF/PF,Jae Crowder (11615147),Jae Crowder,11615147,SF/PF/F/UTIL,5200,UTA@MEM 11/12/2018 08:00PM ET,UTA,27.29
PG,Elfrid Payton (11615151),Elfrid Payton,11615151,PG/G/UTIL,5200,NO@TOR 11/12/2018 07:30PM ET,NO,30.8
SG/SF,Wesley Matthews (11615154),Wesley Matthews,11615154,SG/SF/F/G/UTIL,5100,DAL@CHI 11/12/2018 08:00PM ET,DAL,26.46
PF,Lauri Markkanen (11615159),Lauri Markkanen,11615159,PF/F/UTIL,5100,DAL@CHI 11/12/2018 08:00PM ET,CHI,0
SG/SF,Terrence Ross (11615162),Terrence Ross,11615162,SG/SF/F/G/UTIL,5100,ORL@WAS 11/12/2018 07:00PM ET,ORL,23.58
C,Jarrett Allen (11615145),Jarrett Allen,11615145,C/UTIL,5100,BKN@MIN 11/12/2018 08:00PM ET,BKN,28.88
SF/PF,Harrison Barnes (11615167),Harrison Barnes,11615167,SF/PF/F/UTIL,5000,DAL@CHI 11/12/2018 08:00PM ET,DAL,24.47
SG/SF,Justin Holiday (11615171),Justin Holiday,11615171,SG/SF/F/G/UTIL,5000,DAL@CHI 11/12/2018 08:00PM ET,CHI,25.27
PG,Quinn Cook (11615176),Quinn Cook,11615176,PG/G/UTIL,5000,GS@LAC 11/12/2018 10:30PM ET,GS,14.35
SF/PF,Otto Porter Jr. (11615179),Otto Porter Jr.,11615179,SF/PF/F/UTIL,5000,ORL@WAS 11/12/2018 07:00PM ET,WAS,23.82
SF/PF,Robert Covington (11615183),Robert Covington,11615183,SF/PF/F/UTIL,5000,BKN@MIN 11/12/2018 08:00PM ET,MIN,27.02
PG,D.J. Augustin (11615195),D.J. Augustin,11615195,PG/G/UTIL,4900,ORL@WAS 11/12/2018 07:00PM ET,ORL,22.12
SF/PF,Trevor Ariza (11615191),Trevor Ariza,11615191,SF/PF/F/UTIL,4900,PHO@OKC 11/12/2018 08:00PM ET,PHO,25.02
PG/SG,Spencer Dinwiddie (11615198),Spencer Dinwiddie,11615198,PG/SG/G/UTIL,4800,BKN@MIN 11/12/2018 08:00PM ET,BKN,25.46
SF/PF,Jerami Grant (11615187),Jerami Grant,11615187,SF/PF/F/UTIL,4800,PHO@OKC 11/12/2018 08:00PM ET,OKC,24.04
PF,Dario Saric (11615207),Dario Saric,11615207,PF/F/UTIL,4700,BKN@MIN 11/12/2018 08:00PM ET,MIN,23.38
