Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (11636208),Kevin Durant,11636208,SF/PF/F/UTIL,11100,GS@HOU 11/15/2018 08:00PM ET,GS,49.9
PG/SG,James Harden (11636212),James Harden,11636212,PG/SG/G/UTIL,10700,GS@HOU 11/15/2018 08:00PM ET,HOU,51.85
PG/SG,Stephen Curry (11636216),Stephen Curry,11636216,PG/SG/G/UTIL,9900,GS@HOU 11/15/2018 08:00PM ET,GS,48.62
C,Nikola Jokic (11636220),Nikola Jokic,11636220,C/UTIL,9600,ATL@DEN 11/15/2018 09:00PM ET,DEN,45.46
SG/SF,DeMar DeRozan (11636222),DeMar DeRozan,11636222,SG/SF/F/G/UTIL,8800,SA@LAC 11/15/2018 10:30PM ET,SA,44.19
PF/C,LaMarcus Aldridge (11636227),LaMarcus Aldridge,11636227,PF/C/F/UTIL,8200,SA@LAC 11/15/2018 10:30PM ET,SA,37.5
PF/C,Draymond Green (11636231),Draymond Green,11636231,PF/C/F/UTIL,8100,GS@HOU 11/15/2018 08:00PM ET,GS,32.60
PG,Chris Paul (11636235),Chris Paul,11636235,PG/G/UTIL,8000,GS@HOU 11/15/2018 08:00PM ET,HOU,40.89
SG,Klay Thompson (11636238),Klay Thompson,11636238,SG/G/UTIL,7400,GS@HOU 11/15/2018 08:00PM ET,GS,32.88
PG,Trae Young (11636241),Trae Young,11636241,PG/G/UTIL,7300,ATL@DEN 11/15/2018 09:00PM ET,ATL,35.21
SF/PF,Tobias Harris (11636244),Tobias Harris,11636244,SF/PF/F/UTIL,7200,SA@LAC 11/15/2018 10:30PM ET,LAC,37.60
C,Clint Capela (11636248),Clint Capela,11636248,C/UTIL,7000,GS@HOU 11/15/2018 08:00PM ET,HOU,36.62
PG/SG,Jamal Murray (11636250),Jamal Murray,11636250,PG/SG/G/UTIL,6500,ATL@DEN 11/15/2018 09:00PM ET,DEN,30.95
PF/C,Montrezl Harrell (11636254),Montrezl Harrell,11636254,PF/C/F/UTIL,6200,SA@LAC 11/15/2018 10:30PM ET,LAC,29.56
SG,Gary Harris (11636258),Gary Harris,11636258,SG/G/UTIL,6100,ATL@DEN 11/15/2018 09:00PM ET,DEN,29.21
PG/SG,Lou Williams (11636265),Lou Williams,11636265,PG/SG/G/UTIL,6000,SA@LAC 11/15/2018 10:30PM ET,LAC,29.69
PF/C,DeMarcus Cousins (11636261),DeMarcus Cousins,11636261,PF/C/F/UTIL,6000,GS@HOU 11/15/2018 08:00PM ET,GS,0
SF,Taurean Prince (11636269),Taurean Prince,11636269,SF/F/UTIL,5900,ATL@DEN 11/15/2018 09:00PM ET,ATL,28.81
SF/PF,Danilo Gallinari (11636272),Danilo Gallinari,11636272,SF/PF/F/UTIL,5800,SA@LAC 11/15/2018 10:30PM ET,LAC,30.94
PF/C,Paul Millsap (11636276),Paul Millsap,11636276,PF/C/F/UTIL,5800,ATL@DEN 11/15/2018 09:00PM ET,DEN,27.80
PG,Quinn Cook (11636280),Quinn Cook,11636280,PG/G/UTIL,5700,GS@HOU 11/15/2018 08:00PM ET,GS,15.69
SF/PF,Rudy Gay (11636283),Rudy Gay,11636283,SF/PF/F/UTIL,5600,SA@LAC 11/15/2018 10:30PM ET,SA,29.22
SG/SF,Kent Bazemore (11636287),Kent Bazemore,11636287,SG/SF/F/G/UTIL,5500,ATL@DEN 11/15/2018 09:00PM ET,ATL,27.98
SG/SF,Will Barton (11636292),Will Barton,11636292,SG/SF/F/G/UTIL,5500,ATL@DEN 11/15/2018 09:00PM ET,DEN,30.75
C,John Collins (11636297),John Collins,11636297,C/UTIL,5500,ATL@DEN 11/15/2018 09:00PM ET,ATL,0
PG,Shai Gilgeous-Alexander (11636299),Shai Gilgeous-Alexander,11636299,PG/G/UTIL,5300,SA@LAC 11/15/2018 10:30PM ET,LAC,21.86
PG/SG,Eric Gordon (11636302),Eric Gordon,11636302,PG/SG/G/UTIL,5000,GS@HOU 11/15/2018 08:00PM ET,HOU,23.75
PG,Derrick White (11636306),Derrick White,11636306,PG/G/UTIL,4800,SA@LAC 11/15/2018 10:30PM ET,SA,21.31
PG/SG,Patrick Beverley (11636309),Patrick Beverley,11636309,PG/SG/G/UTIL,4700,SA@LAC 11/15/2018 10:30PM ET,LAC,20.90
