PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Frank Ntilikina,NYK,20,1,0,1,6,0,0,3,0,0,2,0,0,0,0,0,1,1,0,2,0,1,1,2.2,0,0,-12,
Evan Turner,POR,30,1,1,0,27,4,2,8,25,0,3,0,0,0,0,1,4,5,2,4,0,0,2,9,0,0,-4,
Evan Fournier,ORL,26,1,1,0,19,12,5,13,38.5,2,6,33.3,0,0,0,0,2,2,4,0,1,0,2,23.4,0,0,19,
Ersan Ilyasova,MIL,31,1,1,0,17,6,3,5,60,0,2,0,0,0,0,2,2,4,2,1,0,0,6,12.8,0,0,-2,
Eric Gordon,HOU,29,1,1,0,31,9,3,14,21.4,2,9,22.2,1,2,50,0,4,4,0,2,0,1,4,14.8,0,0,3,
Eric Bledsoe,MIL,28,1,1,0,30,12,4,10,40,1,3,33.3,3,3,100,0,8,8,3,1,3,1,2,37.1,0,0,14,
Enes Kanter,NYK,26,1,0,1,26,16,7,15,46.7,0,1,0,2,2,100,8,7,15,1,1,0,0,2,34.5,1,0,-20,
Emmanuel Mudiay,NYK,22,1,0,1,17,3,1,4,25,0,2,0,1,3,33.3,0,3,3,0,2,0,0,1,4.6,0,0,-20,
Dwayne Bacon,CHA,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Doug McDermott,IND,26,1,0,1,8,4,1,2,50,1,2,50,1,1,100,0,0,0,0,0,1,0,0,7,0,0,4,
Donte DiVincenzo,MIL,21,1,1,0,13,2,1,3,33.3,0,2,0,0,0,0,0,1,1,2,0,0,0,0,6.2,0,0,-5,
Domantas Sabonis,IND,22,1,0,1,22,11,4,4,100,0,0,0,3,6,50,1,5,6,2,4,0,1,3,20.2,0,0,0,
DeAndre' Bembry,ATL,24,1,0,1,16,9,3,6,50,0,2,0,3,4,75,0,5,5,2,0,0,0,3,18,0,0,0,
Darren Collison,IND,31,1,0,1,35,13,5,10,50,3,5,60,0,1,0,1,2,3,3,2,0,1,2,22.1,0,0,-11,
Daniel Theis,BOS,26,1,0,1,5,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,0,1,1.4,0,0,8,
Damyean Dotson,NYK,24,1,0,1,21,5,2,4,50,1,2,50,0,0,0,0,1,1,0,2,0,0,0,4.2,0,0,-19,
Damian Lillard,POR,28,1,1,0,35,19,7,15,46.7,2,7,28.6,3,3,100,0,5,5,12,4,0,0,1,39,1,0,15,
D.J. Augustin,ORL,31,1,1,0,24,9,3,7,42.9,3,5,60,0,0,0,0,2,2,2,1,3,0,0,22.4,0,0,17,
Cory Joseph,IND,27,1,0,1,27,5,2,4,50,1,3,33.3,0,0,0,0,3,3,2,0,1,0,2,14.6,0,0,-6,
Cody Zeller,CHA,26,1,1,0,32,14,5,11,45.5,0,1,0,4,4,100,2,4,6,1,1,0,3,6,30.7,0,0,8,
Clint Capela,HOU,24,1,1,0,29,18,8,9,88.9,0,0,0,2,5,40,3,4,7,1,1,0,1,1,29.9,0,0,-3,
Chris Paul,HOU,33,1,1,0,35,26,8,13,61.5,5,8,62.5,5,7,71.4,0,5,5,5,2,3,0,3,46.5,0,0,7,
CJ McCollum,POR,27,1,1,0,35,14,6,15,40,1,6,16.7,1,1,100,0,2,2,1,1,0,1,2,19.9,0,0,13,
Brook Lopez,MIL,30,1,1,0,37,28,10,17,58.8,8,13,61.5,0,0,0,1,3,4,1,1,1,2,3,42.3,0,0,10,
Brandon Ingram,LAL,21,1,1,0,29,10,3,8,37.5,0,0,0,4,6,66.7,0,3,3,1,6,0,1,3,12.1,0,0,12,
Bojan Bogdanovic,IND,29,1,0,1,37,20,6,11,54.5,3,5,60,5,5,100,0,6,6,6,3,3,0,3,42.2,0,0,10,
Blake Griffin,DET,29,1,0,1,30,10,4,16,25,0,5,0,2,3,66.7,3,3,6,5,3,0,1,3,24.7,0,0,-19,
Aron Baynes,BOS,31,1,0,1,9,2,1,1,100,0,0,0,0,0,0,0,2,2,0,1,1,0,1,6.4,0,0,-16,
Andre Drummond,DET,25,1,0,1,37,23,9,16,56.3,0,0,0,5,7,71.4,9,13,22,3,2,3,2,5,66.9,1,0,4,
Allonzo Trier,NYK,22,1,0,1,22,9,3,8,37.5,0,2,0,3,3,100,1,4,5,4,4,1,3,4,29,0,0,-8,
Alex Poythress,ATL,25,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,
Alex Len,ATL,25,1,0,1,27,17,8,16,50,1,4,25,0,0,0,3,8,11,1,4,1,0,5,30.7,1,0,22,
Al-Farouq Aminu,POR,28,1,1,0,30,11,3,8,37.5,3,7,42.9,2,4,50,0,9,9,0,0,2,0,0,27.8,0,0,12,
Al Horford,BOS,32,1,0,1,34,10,4,14,28.6,0,5,0,2,4,50,4,4,8,3,1,2,2,0,35.1,0,0,2,
