PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Zaza Pachulia,DET,34,1,0,1,9,2,1,2,50,0,0,0,0,0,0,2,3,5,0,1,0,0,1,7,0,0,-6,
Zach Collins,POR,20,1,1,0,20,6,3,6,50,0,1,0,0,0,0,5,3,8,1,0,0,0,1,17.1,0,0,-8,
Willy Hernangomez,CHA,24,1,1,0,13,9,4,6,66.7,1,2,50,0,0,0,2,1,3,1,2,0,1,4,15.1,0,0,-6,
Wes Iwundu,ORL,23,1,1,0,32,7,3,8,37.5,1,2,50,0,0,0,1,7,8,2,2,0,1,3,20.6,0,0,18,
Vince Carter,ATL,41,1,0,1,21,4,2,6,33.3,0,3,0,0,0,0,0,1,1,0,0,0,1,0,8.2,0,0,3,
Victor Oladipo,IND,26,1,0,1,40,22,7,24,29.2,3,10,30,5,6,83.3,1,9,10,7,3,2,0,4,47.5,1,0,-16,
Tyson Chandler,LAL,36,1,1,0,21,4,2,4,50,0,0,0,0,0,0,5,0,5,1,2,2,3,3,24.5,0,0,-1,
Tyreke Evans,IND,29,1,0,1,19,6,2,7,28.6,0,2,0,2,2,100,1,2,3,1,1,2,1,2,19.1,0,0,-13,
Trey Lyles,DEN,23,1,0,1,20,16,7,11,63.6,2,5,40,0,0,0,2,3,5,0,0,0,0,1,22,0,0,7,
Trey Burke,NYK,25,1,0,1,20,10,5,13,38.5,0,3,0,0,0,0,0,1,1,5,1,0,0,1,17.7,0,0,-1,
Trae Young,ATL,20,1,0,1,35,20,8,18,44.4,4,8,50,0,0,0,1,1,2,12,4,1,1,2,42.4,1,0,15,
Tony Snell,MIL,27,1,1,0,13,5,2,2,100,1,1,100,0,0,0,0,0,0,0,0,2,0,0,11,0,0,-4,
Tony Parker,CHA,36,1,1,0,28,24,11,18,61.1,2,2,100,0,0,0,0,3,3,4,2,0,0,2,31.6,0,0,6,
Tim Hardaway Jr.,NYK,26,1,0,1,26,7,2,12,16.7,0,6,0,3,4,75,0,6,6,1,2,1,0,3,16.7,0,0,-18,
Thaddeus Young,IND,30,1,0,1,23,13,6,9,66.7,0,2,0,1,2,50,0,1,1,1,0,1,0,2,18.7,0,0,-11,
Terry Rozier,BOS,24,1,0,1,19,7,3,7,42.9,1,3,33.3,0,0,0,0,0,0,1,0,0,0,2,8.5,0,0,3,
Terrence Ross,ORL,27,1,1,0,22,22,8,12,66.7,5,8,62.5,1,1,100,0,1,1,3,0,0,2,4,33.7,0,0,18,
Taurean Prince,ATL,24,1,0,1,35,23,9,13,69.2,5,8,62.5,0,0,0,1,6,7,1,5,2,0,2,33.9,0,0,0,
Stanley Johnson,DET,22,1,0,1,17,4,2,9,22.2,0,3,0,0,0,0,0,4,4,0,0,1,0,0,11.8,0,0,-11,
Seth Curry,POR,28,1,1,0,20,9,3,5,60,3,4,75,0,0,0,0,0,0,2,2,0,0,2,10,0,0,5,
Ron Baker,NYK,25,1,0,1,5,2,0,0,0,0,0,0,2,2,100,1,2,3,1,0,0,0,0,7.1,0,0,7,
Reggie Jackson,DET,28,1,0,1,32,19,6,15,40,2,8,25,5,6,83.3,3,0,3,7,4,0,0,3,29.1,0,0,-5,
Reggie Bullock,DET,27,1,0,1,34,23,7,13,53.8,6,9,66.7,3,3,100,2,1,3,2,0,1,0,1,32.6,0,0,5,
Rajon Rondo,LAL,32,1,1,0,16,2,1,4,25,0,1,0,0,0,0,1,5,6,5,1,0,0,2,15.7,0,0,-17,
Paul Millsap,DEN,33,1,0,1,31,25,6,14,42.9,5,8,62.5,8,11,72.7,3,5,8,6,0,0,2,3,49.6,0,0,-14,
Pat Connaughton,MIL,25,1,1,0,18,2,1,3,33.3,0,2,0,0,0,0,0,3,3,3,1,0,3,0,18.1,0,0,8,
PJ Tucker,HOU,33,1,1,0,40,12,4,6,66.7,4,6,66.7,0,0,0,1,4,5,0,1,0,0,3,17,0,0,20,
Omari Spellman,ATL,21,1,0,1,28,2,1,7,14.3,0,3,0,0,0,0,2,7,9,1,1,0,1,4,16.3,0,0,1,
Noah Vonleh,NYK,23,1,0,1,23,4,2,6,33.3,0,1,0,0,0,0,1,8,9,0,3,0,1,1,14.8,0,0,-16,
Nikola Vucevic,ORL,28,1,1,0,26,21,10,17,58.8,1,3,33.3,0,0,0,4,10,14,1,2,1,1,1,43.3,1,0,18,
Nikola Jokic,DEN,23,1,0,1,29,20,7,14,50,4,8,50,2,2,100,1,5,6,6,3,1,1,1,39.2,0,0,-17,
Nik Stauskas,POR,25,1,1,0,13,3,1,4,25,1,3,33.3,0,0,0,0,1,1,0,1,1,0,0,6.2,0,0,-7,
Nicolas Batum,CHA,29,1,1,0,34,5,2,6,33.3,1,4,25,0,0,0,0,8,8,3,3,2,1,3,25.1,0,0,13,
Myles Turner,IND,22,1,0,1,24,9,3,7,42.9,0,0,0,3,3,100,1,2,3,1,0,0,3,4,23.1,0,0,-6,
Monte Morris,DEN,23,1,0,1,28,5,2,6,33.3,1,2,50,0,0,0,0,3,3,10,0,0,1,1,26.6,0,0,7,
Mo Bamba,ORL,20,1,1,0,18,15,5,11,45.5,1,3,33.3,4,5,80,0,8,8,0,0,0,2,4,30.6,0,0,12,
Mitchell Robinson,NYK,20,1,0,1,22,4,2,3,66.7,0,0,0,0,0,0,0,4,4,0,0,0,9,2,35.8,0,0,-7,
Miles Plumlee,ATL,30,1,0,1,15,4,1,3,33.3,0,0,0,2,3,66.7,2,3,5,2,0,2,0,2,19,0,0,-21,
Miles Bridges,CHA,20,1,1,0,24,8,3,4,75,0,1,0,2,2,100,1,7,8,2,1,0,1,1,22.6,0,0,1,
Michael Kidd-Gilchrist,CHA,25,1,1,0,5,5,2,3,66.7,0,1,0,1,2,50,0,0,0,0,0,0,2,1,11,0,0,-3,
Meyers Leonard,POR,26,1,1,0,18,8,3,8,37.5,2,3,66.7,0,0,0,2,4,6,0,2,0,0,3,13.2,0,0,-6,
Melvin Frazier Jr.,ORL,22,1,1,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-7,
Mason Plumlee,DEN,28,1,0,1,15,1,0,1,0,0,1,0,1,2,50,0,1,1,2,0,0,1,2,8.2,0,0,10,
Marvin Williams,CHA,32,1,1,0,27,10,3,9,33.3,3,7,42.9,1,2,50,1,3,4,0,0,2,0,2,20.8,0,0,12,
Mario Hezonja,NYK,23,1,0,1,27,12,3,9,33.3,2,3,66.7,4,6,66.7,0,5,5,1,0,0,1,4,22.5,0,0,-3,
Marcus Smart,BOS,24,1,0,1,22,0,0,3,0,0,1,0,0,0,0,2,2,4,4,0,0,1,2,13.8,0,0,1,
Marcus Morris,BOS,29,1,0,1,25,13,5,11,45.5,3,6,50,0,0,0,0,6,6,0,2,1,0,1,21.2,0,0,4,
Malik Monk,CHA,20,1,1,0,18,4,0,5,0,0,3,0,4,4,100,0,5,5,2,1,0,0,2,12,0,0,7,
Malik Beasley,DEN,21,1,0,1,22,10,4,8,50,2,4,50,0,0,0,0,4,4,0,1,1,0,2,16.8,0,0,-2,
Malcolm Brogdon,MIL,25,1,1,0,33,20,7,13,53.8,3,3,100,3,3,100,1,5,6,5,2,2,0,1,38.7,0,0,4,
Lonzo Ball,LAL,21,1,1,0,27,8,2,5,40,2,3,66.7,2,2,100,0,6,6,11,3,1,1,2,34.7,0,0,14,
LeBron James,LAL,33,1,1,0,34,26,10,20,50,3,9,33.3,3,7,42.9,3,4,7,4,4,2,0,1,42.4,0,0,22,
Langston Galloway,DET,26,1,0,1,25,10,4,9,44.4,2,6,33.3,0,0,0,3,1,4,0,0,0,0,2,14.8,0,0,5,
Lance Stephenson,LAL,28,1,1,0,15,11,3,7,42.9,3,5,60,2,2,100,0,1,1,0,1,1,1,3,17.2,0,0,-18,
Kyrie Irving,BOS,26,1,0,1,32,21,9,24,37.5,3,10,30,0,0,0,1,1,2,6,3,5,0,3,44.4,0,0,-10,
Kyle O'Quinn,IND,28,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,-11,
Kyle Kuzma,LAL,23,1,1,0,32,18,8,18,44.4,1,6,16.7,1,1,100,4,4,8,1,1,2,0,3,34.1,0,0,14,
Khris Middleton,MIL,27,1,1,0,34,21,8,12,66.7,3,5,60,2,2,100,1,4,5,2,3,0,0,3,27,0,0,11,
Khem Birch,ORL,26,1,1,0,5,4,2,3,66.7,0,0,0,0,0,0,2,2,4,1,1,2,0,1,15.3,0,0,-7,
Kevin Knox,NYK,19,1,0,1,26,17,4,11,36.4,2,6,33.3,7,10,70,3,0,3,0,2,0,0,2,18.6,0,0,-13,
Kevin Huerter,ATL,20,1,0,1,12,0,0,6,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,1.5,0,0,-11,
Kentavious Caldwell-Pope,LAL,25,1,1,0,16,11,4,8,50,3,6,50,0,0,0,1,1,2,2,1,2,0,2,21.4,0,0,-24,
Kent Bazemore,ATL,29,1,0,1,33,21,7,12,58.3,3,5,60,4,4,100,0,3,3,3,1,5,1,1,46.1,0,0,12,
Kemba Walker,CHA,28,1,1,0,36,24,9,17,52.9,2,5,40,4,4,100,0,3,3,8,1,0,0,1,38.6,0,0,1,
Jusuf Nurkic,POR,24,1,1,0,28,18,8,14,57.1,0,0,0,2,2,100,7,10,17,3,4,0,0,3,38.9,1,0,12,
Juancho Hernangomez,DEN,23,1,0,1,30,8,3,5,60,2,3,66.7,0,0,0,0,3,3,1,1,1,0,1,15.1,0,0,-5,
Josh Hart,LAL,23,1,1,0,23,9,3,9,33.3,2,7,28.6,1,2,50,0,1,1,2,2,1,0,2,14.2,0,0,1,
Jose Calderon,DET,37,1,0,1,7,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,
Jonathon Simmons,ORL,29,1,1,0,28,9,3,9,33.3,0,3,0,3,3,100,1,1,2,7,1,0,2,1,26.9,0,0,18,
John Henson,MIL,27,1,1,0,8,3,1,3,33.3,1,2,50,0,0,0,0,1,1,1,0,0,0,0,5.7,0,0,-9,
Jerian Grant,ORL,26,1,1,0,28,9,3,6,50,3,6,50,0,0,0,0,2,2,8,1,1,0,2,25.4,0,0,9,
Jeremy Lin,ATL,30,1,0,1,15,6,2,7,28.6,0,0,0,2,2,100,1,0,1,2,2,0,0,1,8.2,0,0,-17,
Jeremy Lamb,CHA,26,1,1,0,23,10,4,6,66.7,2,2,100,0,0,0,0,6,6,3,1,2,0,4,26.7,0,0,11,
Jayson Tatum,BOS,20,1,0,1,35,27,9,18,50,5,9,55.6,4,4,100,3,5,8,0,1,0,2,2,41.6,0,0,-7,
Jaylen Brown,BOS,22,1,0,1,29,7,2,7,28.6,1,4,25,2,2,100,0,1,1,0,2,1,0,3,9.2,0,0,-10,
Jarell Martin,ORL,24,1,1,0,28,7,2,10,20,1,5,20,2,2,100,1,5,6,3,0,2,1,2,27.7,0,0,22,
James Harden,HOU,29,1,1,0,38,40,9,20,45,8,18,44.4,14,15,93.3,0,7,7,9,9,1,1,5,58.9,0,0,13,
James Ennis III,HOU,28,1,1,0,22,0,0,3,0,0,2,0,0,2,0,0,1,1,2,0,1,0,2,7.2,0,0,-12,
Jamal Murray,DEN,21,1,0,1,34,14,7,16,43.8,0,1,0,0,0,0,3,2,5,2,3,2,0,2,26,0,0,-4,
Jake Layman,POR,24,1,1,0,14,8,3,3,100,2,2,100,0,0,0,0,2,2,1,3,1,1,0,14.9,0,0,-2,
JaVale McGee,LAL,30,1,1,0,27,8,3,9,33.3,0,1,0,2,4,50,3,6,9,1,1,1,3,2,31.3,0,0,2,
Ish Smith,DET,30,1,0,1,25,7,3,12,25,1,6,16.7,0,0,0,0,2,2,3,0,0,0,3,13.9,0,0,6,
Isaiah Hartenstein,HOU,20,1,1,0,13,4,2,4,50,0,0,0,0,0,0,0,1,1,0,0,0,1,2,8.2,0,0,16,
Isaiah Briscoe,ORL,22,1,1,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-7,
Gordon Hayward,BOS,28,1,0,1,31,7,3,7,42.9,1,3,33.3,0,0,0,1,8,9,5,1,1,0,1,27.3,0,0,-5,
Glenn Robinson III,DET,24,1,0,1,22,5,2,9,22.2,1,6,16.7,0,0,0,0,2,2,1,0,0,1,0,11.9,0,0,-20,
Giannis Antetokounmpo,MIL,23,1,1,0,36,22,11,16,68.8,0,1,0,0,5,0,0,9,9,8,3,2,1,2,50.8,0,0,8,
Gary Harris,DEN,24,1,0,1,30,15,5,14,35.7,2,6,33.3,3,5,60,1,3,4,0,2,3,0,3,26.8,0,0,-17,
Gary Clark,HOU,23,1,1,0,33,6,2,5,40,1,4,25,1,1,100,4,4,8,1,0,1,1,2,23.1,0,0,16,
