PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Aaron Gordon,ORL,23,1,0,1,28.1,15,7,15,46.7,1,4,25,0,0,0,1,9,10,6,1,2,1,5,44,1,0,16,
Al Horford,BOS,32,1,0,1,32.7,12,6,9,66.7,0,2,0,0,1,0,0,4,4,6,0,1,0,1,28.8,0,0,5,
Al-Farouq Aminu,POR,28,1,1,0,31.5,8,3,5,60,2,4,50,0,0,0,1,6,7,0,0,1,0,4,19.4,0,0,2,
Alec Burks,UTA,27,1,1,0,15,18,6,10,60,4,5,80,2,2,100,0,0,0,0,0,0,1,2,21,0,0,6,
Alex Abrines,OKC,25,1,1,0,26.2,9,3,12,25,3,10,30,0,0,0,0,0,0,0,0,1,0,1,12,0,0,11,
Alex Len,ATL,25,1,0,1,16,9,3,8,37.5,1,2,50,2,4,50,2,3,5,0,2,0,1,5,16,0,0,-6,
Alex Poythress,ATL,25,1,0,1,8.8,4,2,3,66.7,0,0,0,0,0,0,1,0,1,0,2,0,0,3,3.2,0,0,-5,
Alfonzo McKinnie,GSW,26,1,1,0,29.1,14,6,9,66.7,2,3,66.7,0,0,0,1,1,2,3,0,0,0,3,20.9,0,0,10,
Allen Crabbe,BKN,26,1,1,0,22.4,7,3,12,25,1,5,20,0,0,0,3,4,7,2,1,0,1,2,20.4,0,0,12,
Allonzo Trier,NYK,22,1,1,0,36.5,16,5,9,55.6,1,2,50,5,7,71.4,1,3,4,1,2,1,0,4,23.3,0,0,-7,
Amir Johnson,PHI,31,1,1,0,5.2,2,1,2,50,0,0,0,0,0,0,0,2,2,0,2,0,0,2,2.4,0,0,2,
Andre Drummond,DET,25,1,1,0,35.1,23,10,16,62.5,1,1,100,2,2,100,8,11,19,2,2,3,1,0,58.8,1,0,-8,
Andrew Wiggins,MIN,23,1,0,1,41,19,8,14,57.1,3,7,42.9,0,0,0,1,3,4,5,1,3,1,3,42.3,0,0,6,
Ante Zizic,CLE,21,1,0,1,16.7,10,3,5,60,0,0,0,4,4,100,3,6,9,0,3,0,0,3,17.8,0,0,9,
Anthony Davis,NOP,25,1,1,0,37,32,13,24,54.2,2,4,50,4,7,57.1,2,13,15,7,4,1,4,2,71.5,1,0,8,
Anthony Tolliver,MIN,33,1,0,1,9.8,3,1,2,50,1,2,50,0,0,0,0,1,1,0,1,0,0,1,3.2,0,0,-14,
Antonio Blakeney,CHI,22,1,0,1,16.6,6,3,11,27.3,0,3,0,0,0,0,0,3,3,1,1,1,0,0,13.1,0,0,1,
Aron Baynes,BOS,31,1,0,1,10.6,2,1,2,50,0,1,0,0,0,0,0,2,2,1,0,0,1,3,8.9,0,0,-7,
Austin Rivers,WAS,26,1,0,1,18.8,8,3,7,42.9,2,4,50,0,0,0,0,1,1,1,1,0,0,2,9.7,0,0,-5,
Bam Adebayo,MIA,21,1,1,0,12.5,2,0,1,0,0,0,0,2,2,100,1,2,3,1,0,0,1,3,10.1,0,0,8,
Ben Simmons,PHI,22,1,1,0,34.3,16,7,12,58.3,0,0,0,2,4,50,0,10,10,8,1,0,2,3,45,1,0,0,
Blake Griffin,DET,29,1,1,0,35.1,20,7,17,41.2,1,5,20,5,6,83.3,1,4,5,3,3,1,0,3,30.5,0,0,-8,
Boban Marjanovic,LAC,30,1,1,0,17.9,10,3,8,37.5,0,0,0,4,4,100,4,5,9,2,1,0,2,3,28.8,0,0,2,
Bogdan Bogdanovic,SAC,26,1,0,1,18.4,7,3,7,42.9,1,3,33.3,0,0,0,0,2,2,1,0,0,0,2,10.9,0,0,-12,
Bojan Bogdanovic,IND,29,1,0,1,36.6,13,4,11,36.4,3,6,50,2,2,100,0,5,5,1,0,1,0,3,23.5,0,0,-6,
Bradley Beal,WAS,25,1,0,1,36.9,19,7,18,38.9,1,9,11.1,4,4,100,0,6,6,4,2,1,2,3,39.2,0,0,-15,
Brandon Ingram,LAL,21,1,1,0,34.6,20,8,14,57.1,2,3,66.7,2,2,100,1,4,5,6,3,1,2,2,41,0,0,-2,
Brook Lopez,MIL,30,1,0,1,29.8,22,8,14,57.1,6,10,60,0,0,0,0,4,4,1,0,0,1,4,31.3,0,0,-12,
Bryn Forbes,SAS,25,1,0,1,31.9,12,4,12,33.3,2,5,40,2,2,100,0,1,1,3,0,1,0,4,20.7,0,0,-13,
Buddy Hield,SAC,24,1,0,1,35.6,24,9,22,40.9,3,9,33.3,3,3,100,0,4,4,3,1,1,1,1,38.3,0,0,-3,
CJ McCollum,POR,27,1,1,0,35.9,40,17,26,65.4,5,10,50,1,2,50,2,2,4,6,2,4,0,4,63.8,0,0,10,
Cameron Payne,CHI,24,1,0,1,14.9,4,2,7,28.6,0,2,0,0,0,0,0,0,0,2,2,3,0,1,14,0,0,-7,
Caris LeVert,BKN,24,1,1,0,32.2,26,10,16,62.5,3,6,50,3,4,75,1,4,5,1,3,1,1,2,36.5,0,0,9,
Carmelo Anthony,HOU,34,1,1,0,23.8,8,3,9,33.3,2,7,28.6,0,0,0,2,3,5,1,0,0,0,2,15.5,0,0,3,
Cedi Osman,CLE,23,1,0,1,5.9,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-5,
Chandler Hutchison,CHI,22,1,0,1,15.5,1,0,4,0,0,0,0,1,2,50,2,4,6,1,0,0,0,1,9.7,0,0,4,
Cheick Diallo,NOP,22,1,1,0,5.9,4,1,1,100,0,0,0,2,2,100,0,3,3,0,0,0,1,2,10.6,0,0,4,
Chris Paul,HOU,33,1,1,0,37.6,9,4,12,33.3,0,6,0,1,2,50,1,4,5,13,5,1,0,2,32.5,0,0,8,
Clint Capela,HOU,24,1,1,0,35,18,8,10,80,0,0,0,2,2,100,2,8,10,1,2,0,1,2,32.5,1,0,6,
Cody Zeller,CHA,26,1,1,0,27.5,4,2,5,40,0,0,0,0,0,0,1,5,6,1,3,0,0,3,9.7,0,0,11,
Collin Sexton,CLE,19,1,0,1,41.7,15,7,14,50,1,2,50,0,0,0,0,2,2,1,3,0,1,4,18.9,0,0,-2,
Cory Joseph,IND,27,1,0,1,31.2,9,4,6,66.7,1,3,33.3,0,0,0,0,4,4,4,1,2,0,3,24.8,0,0,12,
Cristiano Felicio,CHI,26,1,0,1,7.9,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,5.4,0,0,-9,
D'Angelo Russell,BKN,22,1,1,0,26.9,15,6,15,40,1,6,16.7,2,2,100,1,5,6,3,0,2,0,3,32.7,0,0,7,
D.J. Augustin,ORL,30,1,0,1,31,16,6,10,60,3,6,50,1,1,100,1,2,3,7,0,0,0,0,30.1,0,0,15,
Damian Jones,GSW,23,1,1,0,11,4,0,0,0,0,0,0,4,4,100,0,2,2,1,1,1,0,5,9.9,0,0,-3,
Damian Lillard,POR,28,1,1,0,36.1,13,5,15,33.3,3,7,42.9,0,0,0,1,5,6,3,2,0,1,2,25.7,0,0,12,
Damion Lee,GSW,26,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-1,0,0,-7,
Damyean Dotson,NYK,24,1,1,0,17.9,3,1,1,100,1,1,100,0,0,0,0,3,3,2,0,0,0,4,9.6,0,0,6,
Danilo Gallinari,LAC,30,1,1,0,31.1,22,7,16,43.8,2,6,33.3,6,6,100,0,4,4,3,2,0,0,5,29.3,0,0,0,
Danny Green,TOR,31,1,1,0,31.1,6,2,10,20,2,8,25,0,0,0,1,4,5,2,5,1,0,1,13,0,0,11,
Dante Cunningham,SAS,31,1,0,1,21.6,2,1,1,100,0,0,0,0,0,0,1,3,4,1,1,1,1,2,13.3,0,0,-11,
Dante Exum,UTA,23,1,1,0,11.4,9,2,3,66.7,1,2,50,4,4,100,1,0,1,2,0,0,1,4,16.2,0,0,10,
Dario Saric,PHI,24,1,1,0,35.9,18,6,13,46.2,4,6,66.7,2,2,100,0,7,7,2,1,0,0,0,28.4,0,0,-1,
Darius Miller,NOP,28,1,1,0,20,11,4,6,66.7,3,4,75,0,0,0,0,1,1,1,0,1,0,1,16.7,0,0,-4,
Darren Collison,IND,31,1,0,1,18.4,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,4.7,0,0,-17,
David Nwaba,CLE,25,1,0,1,13.1,3,0,1,0,0,0,0,3,4,75,0,1,1,0,0,1,1,0,10.2,0,0,-9,
Davis Bertans,SAS,25,1,0,1,26.4,19,6,10,60,4,7,57.1,3,3,100,1,3,4,1,0,1,1,3,31.3,0,0,4,
De'Aaron Fox,SAC,20,1,0,1,35.8,20,8,15,53.3,2,4,50,2,4,50,0,1,1,4,5,0,0,4,22.2,0,0,-5,
DeAndre Jordan,DAL,30,1,0,1,31.4,11,2,5,40,0,0,0,7,8,87.5,1,11,12,3,4,1,2,5,34.9,1,0,-15,
DeAndre' Bembry,ATL,24,1,0,1,32.9,7,3,6,50,1,2,50,0,0,0,1,4,5,2,1,1,3,5,27,0,0,8,
DeMar DeRozan,SAS,29,1,0,1,36.6,18,6,15,40,1,2,50,5,5,100,3,11,14,8,3,2,1,3,52.8,1,0,1,
Deandre Ayton,PHX,20,1,0,1,31.9,15,6,17,35.3,0,0,0,3,3,100,2,11,13,3,4,0,0,2,31.1,1,0,-14,
Delon Wright,TOR,26,1,1,0,13,2,0,3,0,0,1,0,2,2,100,0,0,0,1,1,1,0,0,5.5,0,0,3,
Dennis Schroder,OKC,25,1,1,0,34,28,11,19,57.9,0,3,0,6,8,75,0,7,7,0,2,1,1,2,40.4,0,0,20,
Dennis Smith Jr.,DAL,20,1,0,1,24.4,10,3,6,50,2,2,100,2,3,66.7,2,2,4,1,4,0,0,4,12.3,0,0,-17,
Derrick Favors,UTA,27,1,1,0,24.7,13,5,9,55.6,1,1,100,2,4,50,4,2,6,0,1,2,3,2,34.2,0,0,10,
Derrick Jones Jr.,MIA,21,1,1,0,8.3,0,0,3,0,0,0,0,0,0,0,3,3,6,0,1,0,0,0,6.2,0,0,-7,
Derrick Rose,MIN,30,1,0,1,36.5,31,11,17,64.7,7,9,77.8,2,2,100,1,2,3,5,4,0,0,1,38.1,0,0,11,
Derrick White,SAS,24,1,0,1,16,0,0,3,0,0,0,0,0,0,0,0,1,1,3,2,1,0,1,6.7,0,0,-9,
Devin Booker,PHX,22,1,0,1,36.4,20,6,21,28.6,2,8,25,6,6,100,3,5,8,2,4,1,0,4,31.6,0,0,-6,
Dewayne Dedmon,ATL,29,1,0,1,17.1,2,1,3,33.3,0,1,0,0,0,0,0,3,3,1,1,0,1,4,9.1,0,0,-12,
Dillon Brooks,MEM,22,1,1,0,21.5,4,1,5,20,0,1,0,2,2,100,1,2,3,1,2,0,1,1,10.1,0,0,-6,
Domantas Sabonis,IND,22,1,0,1,31.8,16,7,14,50,0,1,0,2,2,100,3,8,11,3,1,0,1,2,35.7,1,0,8,
Donovan Mitchell,UTA,22,1,1,0,33,23,9,17,52.9,3,8,37.5,2,2,100,1,4,5,7,1,2,0,2,44.5,0,0,9,
Donte DiVincenzo,MIL,21,1,0,1,23.5,6,2,6,33.3,2,5,40,0,0,0,0,1,1,0,1,0,0,0,6.2,0,0,-8,
Dorian Finney-Smith,DAL,25,1,0,1,18.7,0,0,3,0,0,3,0,0,0,0,2,3,5,0,1,0,0,3,5,0,0,0,
Doug McDermott,IND,26,1,0,1,11.4,0,0,2,0,0,1,0,0,1,0,1,1,2,0,0,0,0,1,2.4,0,0,1,
Draymond Green,GSW,28,1,1,0,13.7,0,0,1,0,0,0,0,0,0,0,0,4,4,2,2,0,1,1,8.8,0,0,-3,
Dwight Howard,WAS,32,1,0,1,32.9,8,3,5,60,0,0,0,2,4,50,2,9,11,2,1,0,1,3,26.2,0,0,-13,
Dwight Powell,DAL,27,1,0,1,11,6,1,2,50,0,0,0,4,5,80,1,1,2,1,0,0,1,2,12.9,0,0,0,
E'Twaun Moore,NOP,29,1,1,0,31.2,8,3,9,33.3,1,3,33.3,1,1,100,1,1,2,4,0,0,1,2,19.4,0,0,11,
Ed Davis,BKN,29,1,1,0,23.7,9,4,7,57.1,0,0,0,1,5,20,4,8,12,0,0,1,0,3,26.4,0,0,9,
Ekpe Udoh,UTA,31,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,-3,
Elie Okobo,PHX,21,1,0,1,13.2,3,1,5,20,1,3,33.3,0,0,0,0,1,1,2,1,0,0,1,6.2,0,0,-15,
Emmanuel Mudiay,NYK,22,1,1,0,21.6,11,4,8,50,3,3,100,0,2,0,1,4,5,3,1,0,1,2,23.5,0,0,8,
Enes Kanter,NYK,26,1,1,0,30,17,5,7,71.4,0,0,0,7,10,70,3,8,11,0,5,0,2,4,31.2,1,0,3,
Eric Bledsoe,MIL,28,1,0,1,30.3,5,2,12,16.7,1,7,14.3,0,0,0,2,0,2,7,1,0,0,2,16.9,0,0,-14,
Ersan Ilyasova,MIL,31,1,0,1,24.1,5,2,6,33.3,1,3,33.3,0,0,0,2,7,9,0,1,1,0,3,17.8,0,0,5,
Evan Fournier,ORL,26,1,0,1,31,27,12,19,63.2,3,6,50,0,0,0,1,4,5,3,4,3,1,2,45.5,0,0,16,
Evan Turner,POR,30,1,1,0,31.5,16,7,12,58.3,2,5,40,0,0,0,1,10,11,4,0,1,0,2,38.2,1,0,21,
Frank Mason,SAC,24,1,0,1,7.1,2,1,3,33.3,0,1,0,0,0,0,1,1,2,3,1,0,1,1,10.9,0,0,-4,
Frank Ntilikina,NYK,20,1,1,0,22.9,14,5,10,50,2,4,50,2,2,100,0,3,3,3,3,1,0,6,22.1,0,0,3,
Fred VanVleet,TOR,24,1,1,0,21.4,8,3,9,33.3,2,6,33.3,0,0,0,0,1,1,2,0,2,0,3,18.2,0,0,3,
Garrett Temple,MEM,32,1,1,0,30,5,1,4,25,0,2,0,3,4,75,0,2,2,0,1,0,0,3,6.4,0,0,10,
Gary Clark,HOU,23,1,1,0,23.5,6,1,6,16.7,1,6,16.7,3,3,100,0,6,6,0,0,2,3,2,28.2,0,0,2,
Gary Harris,DEN,24,1,0,1,32.8,20,6,16,37.5,3,6,50,5,6,83.3,1,1,2,2,3,0,0,1,22.4,0,0,-2,
Georges Niang,UTA,25,1,1,0,7.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
Gerald Green,HOU,32,1,1,0,16.9,3,1,6,16.7,1,5,20,0,0,0,0,2,2,1,1,0,0,3,5.9,0,0,-6,
Giannis Antetokounmpo,MIL,23,1,0,1,37.1,23,11,18,61.1,0,2,0,1,2,50,2,7,9,6,6,0,0,1,36.8,0,0,-7,
Glenn Robinson III,DET,24,1,1,0,27.3,9,2,7,28.6,1,4,25,4,4,100,0,0,0,0,2,0,0,1,7,0,0,-10,
Gordon Hayward,BOS,28,1,0,1,25.9,8,3,7,42.9,0,2,0,2,2,100,1,8,9,2,1,0,0,2,20.8,0,0,4,
Gorgui Dieng,MIN,28,1,0,1,9.2,4,1,5,20,0,2,0,2,2,100,1,3,4,0,1,0,0,2,7.8,0,0,-5,
Hamidou Diallo,OKC,20,1,1,0,13.2,8,3,7,42.9,0,2,0,2,2,100,0,3,3,0,1,1,0,4,13.6,0,0,-8,
Harrison Barnes,DAL,26,1,0,1,35.8,14,4,13,30.8,2,5,40,4,4,100,1,4,5,0,5,0,0,2,15,0,0,-16,
Hassan Whiteside,MIA,29,1,1,0,32.2,29,10,18,55.6,0,1,0,9,11,81.8,6,14,20,2,1,0,9,2,82,1,0,1,
Ian Clark,NOP,27,1,1,0,19,2,1,6,16.7,0,1,0,0,0,0,0,0,0,1,1,0,0,4,2.5,0,0,-4,
Iman Shumpert,SAC,28,1,0,1,29.1,6,2,4,50,1,3,33.3,1,2,50,0,2,2,6,1,2,0,4,22.4,0,0,2,
Isaiah Canaan,PHX,27,1,0,1,36,13,3,8,37.5,2,4,50,5,6,83.3,0,3,3,4,3,1,0,3,22.6,0,0,-13,
Isaiah Hartenstein,HOU,20,1,1,0,7.7,4,2,3,66.7,0,0,0,0,0,0,0,1,1,0,1,0,1,2,7.2,0,0,-7,
Ish Smith,DET,30,1,1,0,24.4,8,4,11,36.4,0,4,0,0,0,0,0,3,3,4,2,3,0,2,24.6,0,0,17,
Ivan Rabb,MEM,21,1,1,0,5.6,2,1,2,50,0,0,0,0,0,0,0,2,2,0,1,0,0,3,3.4,0,0,-10,
J.J. Barea,DAL,34,1,0,1,16.3,11,2,8,25,0,3,0,7,7,100,0,1,1,1,2,0,0,2,11.7,0,0,1,
JJ Redick,PHI,34,1,1,0,28.8,10,2,9,22.2,0,7,0,6,6,100,1,0,1,6,3,0,0,1,17.2,0,0,9,
JR Smith,CLE,33,1,0,1,32.3,13,5,17,29.4,3,11,27.3,0,0,0,0,1,1,2,4,1,1,5,19.2,0,0,-14,
JaVale McGee,LAL,30,1,1,0,25.1,16,8,10,80,0,0,0,0,0,0,2,2,4,0,0,0,0,1,20.8,0,0,-2,
Jabari Parker,CHI,23,1,0,1,35.9,20,7,14,50,0,3,0,6,8,75,0,13,13,3,2,0,0,3,38.1,1,0,-11,
Jacob Evans,GSW,21,1,1,0,6.1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-2,
Jae Crowder,UTA,28,1,1,0,30.4,14,6,12,50,1,6,16.7,1,2,50,0,6,6,0,2,1,0,5,22.2,0,0,13,
Jake Layman,POR,24,1,1,0,15.4,10,4,9,44.4,2,6,33.3,0,0,0,0,2,2,0,0,1,1,0,18.4,0,0,-3,
Jakob Poeltl,SAS,23,1,0,1,12.4,3,1,4,25,0,0,0,1,2,50,2,2,4,0,0,0,0,1,7.8,0,0,2,
Jalen Brunson,DAL,22,1,0,1,15.8,11,5,7,71.4,1,2,50,0,0,0,1,1,2,2,2,1,0,0,17.4,0,0,9,
Jamal Crawford,PHX,38,1,0,1,3.5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Jamal Murray,DEN,21,1,0,1,36.8,15,6,21,28.6,2,9,22.2,1,2,50,2,2,4,7,3,1,0,2,30.3,0,0,-6,
