PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
James Ennis III,HOU,28,1,1,0,27.2,13,5,7,71.4,3,4,75,0,0,0,0,2,2,1,2,1,0,4,17.9,0,0,-1,
James Harden,HOU,29,1,1,0,35.1,28,7,15,46.7,5,12,41.7,9,9,100,0,4,4,6,5,3,1,5,48.8,0,0,6,
Jared Dudley,BKN,33,1,1,0,24.5,5,2,7,28.6,1,5,20,0,0,0,0,2,2,1,2,0,0,4,6.9,0,0,5,
Jarell Martin,ORL,24,1,0,1,19.9,0,0,5,0,0,2,0,0,0,0,0,2,2,2,0,0,2,2,11.4,0,0,-23,
Jaren Jackson Jr.,MEM,19,1,1,0,32.8,20,7,15,46.7,2,5,40,4,6,66.7,3,4,7,0,3,3,3,2,43.4,0,0,0,
Jarrett Allen,BKN,20,1,1,0,24.3,10,4,7,57.1,0,1,0,2,2,100,2,7,9,5,1,1,1,2,33.3,0,0,13,
Jason Smith,WAS,32,1,0,1,4.3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,-6,
Jaylen Brown,BOS,22,1,0,1,28.8,15,7,14,50,1,4,25,0,0,0,1,3,4,0,0,1,0,1,22.8,0,0,8,
Jayson Tatum,BOS,20,1,0,1,34.7,15,5,14,35.7,1,4,25,4,4,100,1,1,2,4,2,1,2,2,30.4,0,0,-4,
Jeff Green,WAS,32,1,0,1,15.1,8,3,4,75,1,1,100,1,2,50,1,1,2,1,2,0,0,2,9.9,0,0,-6,
Jerami Grant,OKC,24,1,1,0,27.4,12,4,9,44.4,2,3,66.7,2,2,100,1,7,8,0,1,1,1,3,26.6,0,0,14,
Jeremy Lamb,CHA,26,1,1,0,22.5,13,5,11,45.5,2,4,50,1,2,50,1,2,3,1,3,1,0,1,18.1,0,0,-3,
Jeremy Lin,ATL,30,1,0,1,21.9,9,1,3,33.3,1,1,100,6,7,85.7,0,1,1,5,4,1,0,2,16.7,0,0,-3,
Jerian Grant,ORL,26,1,0,1,17,0,0,2,0,0,0,0,0,0,0,1,0,1,6,2,2,0,1,14.2,0,0,-22,
Jerome Robinson,LAC,21,1,1,0,6.8,6,2,3,66.7,2,3,66.7,0,0,0,0,0,0,0,0,0,0,2,6,0,0,1,
Jimmy Butler,MIN,29,1,0,1,43.1,24,9,18,50,5,8,62.5,1,1,100,2,3,5,5,0,3,1,2,49.5,0,0,-2,
Joe Harris,BKN,27,1,1,0,28.3,11,5,11,45.5,1,6,16.7,0,0,0,0,0,0,1,0,0,1,2,15.5,0,0,23,
Joe Ingles,UTA,31,1,1,0,36,6,2,9,22.2,2,8,25,0,0,0,0,2,2,6,3,3,0,1,23.4,0,0,9,
Joel Embiid,PHI,24,1,1,0,36.1,20,7,16,43.8,1,5,20,5,6,83.3,1,9,10,2,5,1,3,2,42,1,0,7,
John Henson,MIL,27,1,0,1,10.3,6,3,5,60,0,2,0,0,0,0,0,1,1,1,0,0,0,1,8.7,0,0,-7,
John Wall,WAS,28,1,0,1,41,24,8,20,40,2,6,33.3,6,8,75,1,3,4,10,2,3,1,3,53.8,1,0,-11,
Jonas Jerebko,GSW,31,1,1,0,19.8,7,2,4,50,1,1,100,2,2,100,1,5,6,3,1,0,1,3,20.7,0,0,12,
Jonas Valanciunas,TOR,26,1,1,0,19.8,11,4,7,57.1,0,0,0,3,4,75,2,8,10,1,1,0,1,3,26.5,1,0,4,
Jonathon Simmons,ORL,29,1,0,1,19.7,3,0,5,0,0,0,0,3,4,75,1,3,4,0,3,1,0,0,7.8,0,0,-25,
Jordan Bell,GSW,23,1,1,0,21.1,2,1,2,50,0,0,0,0,0,0,0,2,2,2,0,0,1,4,10.4,0,0,-7,
Jordan Clarkson,CLE,26,1,0,1,32.9,11,5,17,29.4,1,7,14.3,0,1,0,4,5,9,8,3,1,0,3,33.8,0,0,-5,
Jose Calderon,DET,37,1,1,0,12.5,0,0,1,0,0,1,0,0,0,0,2,0,2,1,1,3,0,1,11.9,0,0,14,
Josh Hart,LAL,23,1,1,0,21.5,21,5,7,71.4,5,7,71.4,6,6,100,1,3,4,0,1,1,0,2,27.8,0,0,11,
Josh Jackson,PHX,21,1,0,1,6.9,4,1,3,33.3,0,1,0,2,2,100,0,1,1,1,2,0,0,0,4.7,0,0,-11,
Josh Okogie,MIN,20,1,0,1,11.9,0,0,3,0,0,1,0,0,0,0,0,2,2,0,1,0,0,1,1.4,0,0,-12,
Josh Richardson,MIA,25,1,1,0,37.8,14,6,22,27.3,2,6,33.3,0,0,0,3,2,5,5,2,2,0,2,31.5,0,0,11,
Jrue Holiday,NOP,28,1,1,0,37.2,17,6,16,37.5,1,4,25,4,5,80,4,6,10,9,4,2,2,2,50.5,1,0,17,
Juancho Hernangomez,DEN,23,1,0,1,22.3,7,3,6,50,1,4,25,0,0,0,3,2,5,0,0,0,1,2,16,0,0,4,
Julius Randle,NOP,23,1,1,0,23.5,12,5,8,62.5,1,2,50,1,2,50,1,4,5,5,2,0,0,2,23.5,0,0,4,
Justin Holiday,CHI,29,1,0,1,38.1,17,6,16,37.5,3,12,25,2,2,100,0,1,1,2,1,3,1,3,32.2,0,0,-6,
Justin Jackson,SAC,23,1,0,1,7.7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,4.7,0,0,-11,
Justise Winslow,MIA,22,1,1,0,30.8,16,7,17,41.2,1,6,16.7,1,1,100,0,5,5,3,4,0,0,3,22.5,0,0,-2,
Jusuf Nurkic,POR,24,1,1,0,24.6,12,5,9,55.6,0,1,0,2,4,50,3,6,9,6,2,0,1,3,32.8,0,0,19,
Karl-Anthony Towns,MIN,22,1,0,1,38.8,13,5,16,31.3,1,6,16.7,2,2,100,2,7,9,1,6,1,3,3,31.3,0,0,1,
Kawhi Leonard,TOR,27,1,1,0,31.4,25,7,17,41.2,2,5,40,9,9,100,2,9,11,2,5,0,0,0,36.2,1,0,0,
Kelly Olynyk,MIA,27,1,1,0,12.6,1,0,0,0,0,0,0,1,2,50,1,3,4,3,2,0,0,4,8.3,0,0,10,
Kelly Oubre Jr.,WAS,22,1,0,1,22.8,6,3,10,30,0,5,0,0,0,0,0,2,2,1,0,0,0,2,9.9,0,0,-10,
Kemba Walker,CHA,28,1,1,0,35.9,29,12,22,54.5,4,10,40,1,2,50,0,3,3,7,5,3,1,0,50.1,0,0,9,
Kenrich Williams,NOP,23,1,1,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Kent Bazemore,ATL,29,1,0,1,31.3,16,4,16,25,1,7,14.3,7,9,77.8,2,5,7,3,2,1,0,2,29.9,0,0,-17,
Kentavious Caldwell-Pope,LAL,25,1,1,0,13,5,2,4,50,1,3,33.3,0,0,0,0,1,1,0,0,0,0,1,6.2,0,0,1,
Kevin Durant,GSW,30,1,1,0,31.9,22,7,11,63.6,0,1,0,8,8,100,0,6,6,6,0,1,0,0,41.2,0,0,25,
Kevin Knox,NYK,19,1,1,0,9.2,0,0,6,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,-14,
Kevon Looney,GSW,22,1,1,0,19.7,9,4,5,80,0,0,0,1,2,50,3,6,9,1,1,0,0,4,20.3,0,0,26,
Khris Middleton,MIL,27,1,0,1,35.5,22,8,19,42.1,4,10,40,2,2,100,2,6,8,6,1,0,0,4,39.6,0,0,-10,
Klay Thompson,GSW,28,1,1,0,32.3,27,11,21,52.4,3,7,42.9,2,2,100,0,2,2,3,1,1,0,0,35.9,0,0,6,
Kosta Koufos,SAC,29,1,0,1,14.3,2,1,6,16.7,0,0,0,0,0,0,2,2,4,0,2,1,0,2,7.8,0,0,-8,
Kyle Anderson,MEM,25,1,1,0,32.5,14,5,9,55.6,1,2,50,3,4,75,0,5,5,1,2,1,0,1,22.5,0,0,-1,
Kyle Korver,CLE,37,1,0,1,21.2,7,2,8,25,2,7,28.6,1,1,100,0,2,2,1,2,0,0,3,8.9,0,0,-1,
Kyle Kuzma,LAL,23,1,1,0,32.6,21,8,15,53.3,4,7,57.1,1,2,50,0,2,2,1,2,1,0,2,25.9,0,0,3,
Kyle Lowry,TOR,32,1,1,0,35.2,16,6,13,46.2,2,8,25,2,3,66.7,1,1,2,8,4,3,0,3,35.4,0,0,8,
Kyle O'Quinn,IND,28,1,0,1,1.7,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,-1,
Kyrie Irving,BOS,26,1,0,1,34,31,13,17,76.5,4,6,66.7,1,1,100,2,3,5,5,2,3,1,3,54.5,0,0,2,
LaMarcus Aldridge,SAS,33,1,0,1,35.6,6,2,14,14.3,0,0,0,2,2,100,4,12,16,0,1,0,2,3,30.2,0,0,-9,
Lance Stephenson,LAL,28,1,1,0,4,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-2,
Landry Shamet,PHI,21,1,1,0,22.9,12,4,8,50,3,6,50,1,1,100,0,1,1,1,1,1,1,3,19.7,0,0,-11,
Langston Galloway,DET,26,1,1,0,26.1,12,4,8,50,4,8,50,0,0,0,0,6,6,3,1,0,0,2,22.7,0,0,20,
Larry Nance Jr.,CLE,25,1,0,1,22.3,6,3,6,50,0,0,0,0,0,0,1,5,6,1,2,0,1,3,15.7,0,0,2,
