Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11649680),LeBron James,11649680,SF/PF/F/UTIL,11200,LAL@ORL 11/17/2018 07:00PM ET,LAL,53.55
PF/C,Anthony Davis (11649684),Anthony Davis,11649684,PF/C/F/UTIL,11100,DEN@NO 11/17/2018 07:00PM ET,NO,59.10
PG/SG,James Harden (11649688),James Harden,11649688,PG/SG/G/UTIL,11000,SAC@HOU 11/17/2018 08:00PM ET,HOU,50.84
C,Joel Embiid (11649692),Joel Embiid,11649692,C/UTIL,10700,PHI@CHA 11/17/2018 07:00PM ET,PHI,55.16
SF/PF,Kevin Durant (11649694),Kevin Durant,11649694,SF/PF/F/UTIL,10600,GS@DAL 11/17/2018 08:30PM ET,GS,48.67
PG,Russell Westbrook (11649698),Russell Westbrook,11649698,PG/G/UTIL,10500,OKC@PHO 11/17/2018 09:00PM ET,OKC,51.29
SF/PF,Paul George (11649701),Paul George,11649701,SF/PF/F/UTIL,9900,OKC@PHO 11/17/2018 09:00PM ET,OKC,46.57
PG/SG,Victor Oladipo (11649705),Victor Oladipo,11649705,PG/SG/G/UTIL,9600,ATL@IND 11/17/2018 07:00PM ET,IND,43.7
PG,Kemba Walker (11649709),Kemba Walker,11649709,PG/G/UTIL,9500,PHI@CHA 11/17/2018 07:00PM ET,CHA,44.68
PG/SG,Stephen Curry (11649712),Stephen Curry,11649712,PG/SG/G/UTIL,9500,GS@DAL 11/17/2018 08:30PM ET,GS,48.62
SG/SF,Kawhi Leonard (11649716),Kawhi Leonard,11649716,SG/SF/F/G/UTIL,9400,TOR@CHI 11/17/2018 08:00PM ET,TOR,44.65
C,Nikola Jokic (11649721),Nikola Jokic,11649721,C/UTIL,9200,DEN@NO 11/17/2018 07:00PM ET,DEN,45.32
PG/SF,Ben Simmons (11649723),Ben Simmons,11649723,PG/SF/F/G/UTIL,8500,PHI@CHA 11/17/2018 07:00PM ET,PHI,40.88
C,Nikola Vucevic (11649728),Nikola Vucevic,11649728,C/UTIL,8400,LAL@ORL 11/17/2018 07:00PM ET,ORL,42.52
PG,Chris Paul (11649730),Chris Paul,11649730,PG/G/UTIL,8200,SAC@HOU 11/17/2018 08:00PM ET,HOU,40.54
PG/SG,Jrue Holiday (11649733),Jrue Holiday,11649733,PG/SG/G/UTIL,8100,DEN@NO 11/17/2018 07:00PM ET,NO,42.95
PG/SG,Devin Booker (11649737),Devin Booker,11649737,PG/SG/G/UTIL,8000,OKC@PHO 11/17/2018 09:00PM ET,PHO,39.73
PG/SG,Dennis Schroder (11649741),Dennis Schroder,11649741,PG/SG/G/UTIL,7900,OKC@PHO 11/17/2018 09:00PM ET,OKC,33.16
PG,Kyle Lowry (11649745),Kyle Lowry,11649745,PG/G/UTIL,7800,TOR@CHI 11/17/2018 08:00PM ET,TOR,40.64
SF/PF,Aaron Gordon (11649748),Aaron Gordon,11649748,SF/PF/F/UTIL,7700,LAL@ORL 11/17/2018 07:00PM ET,ORL,34.91
PG,Kyrie Irving (11649752),Kyrie Irving,11649752,PG/G/UTIL,7700,UTA@BOS 11/17/2018 07:30PM ET,BOS,41.80
PG/SG,Zach LaVine (11649755),Zach LaVine,11649755,PG/SG/G/UTIL,7600,TOR@CHI 11/17/2018 08:00PM ET,CHI,40.70
SG/SF,Jimmy Butler (11649759),Jimmy Butler,11649759,SG/SF/F/G/UTIL,7500,PHI@CHA 11/17/2018 07:00PM ET,PHI,39.90
PF/C,Draymond Green (11649764),Draymond Green,11649764,PF/C/F/UTIL,7400,GS@DAL 11/17/2018 08:30PM ET,GS,31.12
C,Rudy Gobert (11649771),Rudy Gobert,11649771,C/UTIL,7300,UTA@BOS 11/17/2018 07:30PM ET,UTA,40.8
SG,Klay Thompson (11649768),Klay Thompson,11649768,SG/G/UTIL,7300,GS@DAL 11/17/2018 08:30PM ET,GS,31.84
C,Clint Capela (11649773),Clint Capela,11649773,C/UTIL,7200,SAC@HOU 11/17/2018 08:00PM ET,HOU,35.96
C,Steven Adams (11649775),Steven Adams,11649775,C/UTIL,7200,OKC@PHO 11/17/2018 09:00PM ET,OKC,35.83
SF/PF,Nikola Mirotic (11649777),Nikola Mirotic,11649777,SF/PF/F/UTIL,7100,DEN@NO 11/17/2018 07:00PM ET,NO,39.94
PG/SG,Donovan Mitchell (11649781),Donovan Mitchell,11649781,PG/SG/G/UTIL,7000,UTA@BOS 11/17/2018 07:30PM ET,UTA,34.40
PG,De'Aaron Fox (11649785),De'Aaron Fox,11649785,PG/G/UTIL,6900,SAC@HOU 11/17/2018 08:00PM ET,SAC,38.7
C,Deandre Ayton (11649788),Deandre Ayton,11649788,C/UTIL,6800,OKC@PHO 11/17/2018 09:00PM ET,PHO,36.21
PG,Luka Doncic (11649790),Luka Doncic,11649790,PG/G/UTIL,6700,GS@DAL 11/17/2018 08:30PM ET,DAL,35.14
PG,Trae Young (11649795),Trae Young,11649795,PG/G/UTIL,6600,ATL@IND 11/17/2018 07:00PM ET,ATL,33.9
C,DeAndre Jordan (11649793),DeAndre Jordan,11649793,C/UTIL,6600,GS@DAL 11/17/2018 08:30PM ET,DAL,34.39
PF/C,Julius Randle (11649798),Julius Randle,11649798,PF/C/F/UTIL,6500,DEN@NO 11/17/2018 07:00PM ET,NO,32.32
