Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (11619575),Kevin Durant,11619575,SF/PF/F/UTIL,11200,ATL@GS 11/13/2018 10:30PM ET,GS,50.25
PG/SG,James Harden (11619579),James Harden,11619579,PG/SG/G/UTIL,10500,HOU@DEN 11/13/2018 09:00PM ET,HOU,51.69
PG/SG,Stephen Curry (11619583),Stephen Curry,11619583,PG/SG/G/UTIL,9900,ATL@GS 11/13/2018 10:30PM ET,GS,48.62
PG,Kemba Walker (11619587),Kemba Walker,11619587,PG/G/UTIL,9700,CHA@CLE 11/13/2018 07:00PM ET,CHA,46.04
C,Nikola Jokic (11619590),Nikola Jokic,11619590,C/UTIL,9400,HOU@DEN 11/13/2018 09:00PM ET,DEN,45.62
PG,Chris Paul (11619592),Chris Paul,11619592,PG/G/UTIL,8300,HOU@DEN 11/13/2018 09:00PM ET,HOU,41.25
PF/C,Draymond Green (11619595),Draymond Green,11619595,PF/C/F/UTIL,8200,ATL@GS 11/13/2018 10:30PM ET,GS,32.60
PF/C,Kevin Love (11619599),Kevin Love,11619599,PF/C/F/UTIL,8100,CHA@CLE 11/13/2018 07:00PM ET,CLE,42.88
PG,Trae Young (11619603),Trae Young,11619603,PG/G/UTIL,7200,ATL@GS 11/13/2018 10:30PM ET,ATL,35.75
SG,Klay Thompson (11619606),Klay Thompson,11619606,SG/G/UTIL,6800,ATL@GS 11/13/2018 10:30PM ET,GS,32.14
PG/SG,Jamal Murray (11619609),Jamal Murray,11619609,PG/SG/G/UTIL,6600,HOU@DEN 11/13/2018 09:00PM ET,DEN,31.46
C,Clint Capela (11619613),Clint Capela,11619613,C/UTIL,6400,HOU@DEN 11/13/2018 09:00PM ET,HOU,36.35
SF,Taurean Prince (11619615),Taurean Prince,11619615,SF/F/UTIL,6100,ATL@GS 11/13/2018 10:30PM ET,ATL,28.38
SG,Gary Harris (11619618),Gary Harris,11619618,SG/G/UTIL,6000,HOU@DEN 11/13/2018 09:00PM ET,DEN,29.35
PF/C,DeMarcus Cousins (11619621),DeMarcus Cousins,11619621,PF/C/F/UTIL,6000,ATL@GS 11/13/2018 10:30PM ET,GS,0
SG/SF,Kent Bazemore (11619625),Kent Bazemore,11619625,SG/SF/F/G/UTIL,5900,ATL@GS 11/13/2018 10:30PM ET,ATL,28.38
SG/SF,Nicolas Batum (11619630),Nicolas Batum,11619630,SG/SF/F/G/UTIL,5800,CHA@CLE 11/13/2018 07:00PM ET,CHA,26.5
C,Tristan Thompson (11619635),Tristan Thompson,11619635,C/UTIL,5700,CHA@CLE 11/13/2018 07:00PM ET,CLE,27.71
PG/SG,Jordan Clarkson (11619637),Jordan Clarkson,11619637,PG/SG/G/UTIL,5700,CHA@CLE 11/13/2018 07:00PM ET,CLE,23.69
PF/C,Paul Millsap (11619641),Paul Millsap,11619641,PF/C/F/UTIL,5600,HOU@DEN 11/13/2018 09:00PM ET,DEN,28.60
SG/SF,Will Barton (11619648),Will Barton,11619648,SG/SF/F/G/UTIL,5500,HOU@DEN 11/13/2018 09:00PM ET,DEN,30.75
PG,Quinn Cook (11619645),Quinn Cook,11619645,PG/G/UTIL,5500,ATL@GS 11/13/2018 10:30PM ET,GS,14.20
C,John Collins (11619653),John Collins,11619653,C/UTIL,5500,ATL@GS 11/13/2018 10:30PM ET,ATL,0
SG/SF,Rodney Hood (11619655),Rodney Hood,11619655,SG/SF/F/G/UTIL,5400,CHA@CLE 11/13/2018 07:00PM ET,CLE,21.73
PG/SG,Eric Gordon (11619660),Eric Gordon,11619660,PG/SG/G/UTIL,5300,HOU@DEN 11/13/2018 09:00PM ET,HOU,24.61
PF/C,Larry Nance Jr. (11619664),Larry Nance Jr.,11619664,PF/C/F/UTIL,5200,CHA@CLE 11/13/2018 07:00PM ET,CLE,21.62
SF,Cedi Osman (11619668),Cedi Osman,11619668,SF/F/UTIL,5200,CHA@CLE 11/13/2018 07:00PM ET,CLE,23.07
PG,Collin Sexton (11619671),Collin Sexton,11619671,PG/G/UTIL,5100,CHA@CLE 11/13/2018 07:00PM ET,CLE,18.31
SG/SF,Jeremy Lamb (11619674),Jeremy Lamb,11619674,SG/SF/F/G/UTIL,5000,CHA@CLE 11/13/2018 07:00PM ET,CHA,23.96
PG,Isaiah Thomas (11619679),Isaiah Thomas,11619679,PG/G/UTIL,4900,HOU@DEN 11/13/2018 09:00PM ET,DEN,0
SG,Malik Monk (11619682),Malik Monk,11619682,SG/G/UTIL,4700,CHA@CLE 11/13/2018 07:00PM ET,CHA,20.90
SF/PF,Trey Lyles (11619685),Trey Lyles,11619685,SF/PF/F/UTIL,4600,HOU@DEN 11/13/2018 09:00PM ET,DEN,22.04
SF/PF,Carmelo Anthony (11619692),Carmelo Anthony,11619692,SF/PF/F/UTIL,4500,HOU@DEN 11/13/2018 09:00PM ET,HOU,23.75
PF,Omari Spellman (11619689),Omari Spellman,11619689,PF/F/UTIL,4500,ATL@GS 11/13/2018 10:30PM ET,ATL,18.58
C,Cody Zeller (11619696),Cody Zeller,11619696,C/UTIL,4400,CHA@CLE 11/13/2018 07:00PM ET,CHA,20.69
SF/PF,Sam Dekker (11619700),Sam Dekker,11619700,SF/PF/F/UTIL,4400,CHA@CLE 11/13/2018 07:00PM ET,CLE,14.86
C,Alex Len (11619698),Alex Len,11619698,C/UTIL,4400,ATL@GS 11/13/2018 10:30PM ET,ATL,21.77
PG,Tony Parker (11619704),Tony Parker,11619704,PG/G/UTIL,4300,CHA@CLE 11/13/2018 07:00PM ET,CHA,19.92
SF/PF,P.J. Tucker (11619711),P.J. Tucker,11619711,SF/PF/F/UTIL,4300,HOU@DEN 11/13/2018 09:00PM ET,HOU,21.71
PF/C,Dewayne Dedmon (11619707),Dewayne Dedmon,11619707,PF/C/F/UTIL,4300,ATL@GS 11/13/2018 10:30PM ET,ATL,20.44
SF/PF,Marvin Williams (11619715),Marvin Williams,11619715,SF/PF/F/UTIL,4200,CHA@CLE 11/13/2018 07:00PM ET,CHA,17.92
PG/SG,George Hill (11619719),George Hill,11619719,PG/SG/G/UTIL,4000,CHA@CLE 11/13/2018 07:00PM ET,CLE,21.48
SF/PF,Michael Kidd-Gilchrist (11619723),Michael Kidd-Gilchrist,11619723,SF/PF/F/UTIL,4000,CHA@CLE 11/13/2018 07:00PM ET,CHA,21.06
SG/SF,J.R. Smith (11619727),J.R. Smith,11619727,SG/SF/F/G/UTIL,4000,CHA@CLE 11/13/2018 07:00PM ET,CLE,14.09
PF,Jordan Bell (11619732),Jordan Bell,11619732,PF/F/UTIL,3900,ATL@GS 11/13/2018 10:30PM ET,GS,9.96
SF,DeAndre' Bembry (11619735),DeAndre' Bembry,11619735,SF/F/UTIL,3900,ATL@GS 11/13/2018 10:30PM ET,ATL,21.35
SF/PF,Juancho Hernangomez (11619747),Juancho Hernangomez,11619747,SF/PF/F/UTIL,3800,HOU@DEN 11/13/2018 09:00PM ET,DEN,14.42
SG/SF,Andre Iguodala (11619738),Andre Iguodala,11619738,SG/SF/F/G/UTIL,3800,ATL@GS 11/13/2018 10:30PM ET,GS,14.46
PF/C,Kevon Looney (11619743),Kevon Looney,11619743,PF/C/F/UTIL,3800,ATL@GS 11/13/2018 10:30PM ET,GS,16
PG/SG,Jeremy Lin (11619751),Jeremy Lin,11619751,PG/SG/G/UTIL,3800,ATL@GS 11/13/2018 10:30PM ET,ATL,16.62
SF,Miles Bridges (11619755),Miles Bridges,11619755,SF/F/UTIL,3700,CHA@CLE 11/13/2018 07:00PM ET,CHA,17.15
SF,Gary Clark (11619758),Gary Clark,11619758,SF/F/UTIL,3700,HOU@DEN 11/13/2018 09:00PM ET,HOU,11.61
PG,Monte Morris (11619761),Monte Morris,11619761,PG/G/UTIL,3700,HOU@DEN 11/13/2018 09:00PM ET,DEN,19.29
SG/SF,James Ennis III (11619764),James Ennis III,11619764,SG/SF/F/G/UTIL,3600,HOU@DEN 11/13/2018 09:00PM ET,HOU,12.53
PF/C,Mason Plumlee (11619769),Mason Plumlee,11619769,PF/C/F/UTIL,3600,HOU@DEN 11/13/2018 09:00PM ET,DEN,17.31
PF,Alfonzo McKinnie (11619773),Alfonzo McKinnie,11619773,PF/F/UTIL,3600,ATL@GS 11/13/2018 10:30PM ET,GS,13.41
C,Guillermo Hernangomez (11619784),Guillermo Hernangomez,11619784,C/UTIL,3500,CHA@CLE 11/13/2018 07:00PM ET,CHA,18.19
PF,Isaiah Hartenstein (11619776),Isaiah Hartenstein,11619776,PF/F/UTIL,3500,HOU@DEN 11/13/2018 09:00PM ET,HOU,6.46
SG/SF,Gerald Green (11619779),Gerald Green,11619779,SG/SF/F/G/UTIL,3500,HOU@DEN 11/13/2018 09:00PM ET,HOU,12.43
