PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Frank Mason,SAC,24,1,0,1,12.1,3,1,3,33.3,0,2,0,1,2,50,0,1,1,1,3,0,0,0,2.7,0,0,-5,
Frank Jackson,NOP,20,1,1,0,11.6,6,2,3,66.7,1,2,50,1,2,50,0,1,1,0,3,0,0,2,4.2,0,0,-2,
Evan Turner,POR,30,1,0,1,21.1,0,0,3,0,0,1,0,0,0,0,0,1,1,4,2,2,0,3,11.2,0,0,-11,
Ersan Ilyasova,MIL,31,1,1,0,8.8,1,0,1,0,0,1,0,1,2,50,0,1,1,0,1,0,1,1,4.2,0,0,-7,
Eric Bledsoe,MIL,28,1,1,0,30,25,10,13,76.9,3,5,60,2,3,66.7,1,3,4,6,3,3,1,0,47.8,0,0,19,
Enes Kanter,NYK,26,1,0,1,15.1,8,3,5,60,0,0,0,2,2,100,3,2,5,0,2,1,0,4,15,0,0,-2,
Emmanuel Mudiay,NYK,22,1,0,1,22.8,19,8,12,66.7,2,3,66.7,1,2,50,0,6,6,0,1,2,2,0,37.2,0,0,10,
Elfrid Payton,NOP,24,1,1,0,8.1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,3.2,0,0,-12,
Ekpe Udoh,UTA,31,1,0,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-2,
Ed Davis,BKN,29,1,1,0,14.9,3,1,3,33.3,0,0,0,1,1,100,2,3,5,1,1,0,0,4,9.5,0,0,-2,
E'Twaun Moore,NOP,29,1,1,0,30.1,13,6,11,54.5,1,3,33.3,0,0,0,0,2,2,1,0,0,0,5,16.9,0,0,3,
Dzanan Musa,BKN,19,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dwight Howard,WAS,32,1,0,1,27.3,25,9,13,69.2,0,0,0,7,10,70,6,11,17,1,2,1,1,6,50.9,1,0,-10,
Doug McDermott,IND,26,1,1,0,18.5,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,1,2,0,0,2,2.5,0,0,21,
Donovan Mitchell,UTA,22,1,0,1,33.8,31,13,35,37.1,1,11,9.1,4,7,57.1,0,2,2,0,1,4,1,3,47.4,0,0,1,
Domantas Sabonis,IND,22,1,1,0,24.9,15,7,10,70,0,0,0,1,1,100,0,12,12,3,3,0,0,4,30.9,1,0,21,
Derrick Rose,MIN,30,1,1,0,33.9,17,7,13,53.8,0,1,0,3,4,75,0,7,7,6,2,0,0,0,32.4,0,0,11,
Derrick Favors,UTA,27,1,0,1,24.8,13,5,5,100,0,0,0,3,6,50,3,3,6,0,0,1,1,2,26.2,0,0,11,
Delon Wright,TOR,26,1,0,1,25.5,7,3,7,42.9,1,2,50,0,0,0,0,2,2,2,0,2,1,1,21.4,0,0,-15,
DeMarre Carroll,BKN,32,1,1,0,24.3,11,3,10,30,1,5,20,4,4,100,1,5,6,2,1,0,0,0,20.2,0,0,7,
De'Aaron Fox,SAC,20,1,0,1,36.1,23,8,17,47.1,1,5,20,6,8,75,1,3,4,10,6,2,0,3,42.8,1,0,-1,
Darren Collison,IND,31,1,1,0,24.3,4,1,7,14.3,1,1,100,1,2,50,0,0,0,2,2,4,0,1,17,0,0,-15,
Darius Miller,NOP,28,1,1,0,29.7,3,1,6,16.7,1,6,16.7,0,0,0,1,5,6,5,0,0,1,0,20.7,0,0,25,
Dario Saric,MIN,24,1,1,0,27,9,3,9,33.3,1,5,20,2,2,100,1,6,7,2,3,1,1,4,23.4,0,0,6,
Dante Exum,UTA,23,1,0,1,18.3,7,3,7,42.9,0,0,0,1,2,50,0,2,2,4,2,0,0,1,13.4,0,0,2,
Danny Green,TOR,31,1,0,1,30.1,11,4,10,40,3,7,42.9,0,0,0,1,4,5,0,0,1,1,6,23,0,0,18,
Damyean Dotson,NYK,24,1,0,1,18.5,6,3,8,37.5,0,2,0,0,0,0,0,2,2,0,1,2,0,2,13.4,0,0,0,
Damian Lillard,POR,28,1,0,1,36.6,16,5,18,27.8,1,7,14.3,5,6,83.3,2,4,6,5,5,0,0,2,25.7,0,0,-21,
D'Angelo Russell,BKN,22,1,1,0,29.8,23,8,16,50,1,4,25,6,8,75,0,3,3,6,4,2,0,2,37.6,0,0,6,
Cristiano Felicio,CHI,26,1,0,1,3.5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
Cory Joseph,IND,27,1,1,0,30.1,12,5,8,62.5,2,3,66.7,0,0,0,0,2,2,5,1,3,0,3,29.9,0,0,12,
Christian Wood,MIL,23,1,1,0,3.5,2,1,4,25,0,0,0,0,0,0,2,2,4,0,1,0,0,0,5.8,0,0,-3,
Chandler Hutchison,CHI,22,1,0,1,23,3,0,3,0,0,2,0,3,4,75,0,4,4,1,0,1,0,3,12.3,0,0,-1,
Cameron Payne,CHI,24,1,0,1,3.5,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,1,0,0,5,0,0,3,
Caleb Swanigan,POR,21,1,0,1,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.5,0,0,8,
CJ McCollum,POR,27,1,0,1,30.7,18,8,16,50,1,4,25,1,2,50,0,1,1,2,3,1,0,2,22.2,0,0,-13,
Buddy Hield,SAC,24,1,0,1,27.5,16,6,12,50,2,4,50,2,2,100,0,4,4,3,3,2,1,2,31.3,0,0,-23,
Brook Lopez,MIL,30,1,1,0,29.5,14,5,10,50,4,8,50,0,0,0,1,4,5,0,2,0,2,0,24,0,0,15,
Bradley Beal,WAS,25,1,0,1,38.1,20,8,19,42.1,1,3,33.3,3,4,75,2,4,6,2,1,0,1,4,32.2,0,0,-7,
Bojan Bogdanovic,IND,29,1,1,0,32.9,16,6,10,60,2,4,50,2,2,100,1,5,6,0,4,1,0,1,22.2,0,0,-1,
Bogdan Bogdanovic,SAC,26,1,0,1,23.8,12,5,10,50,2,4,50,0,0,0,0,2,2,2,2,1,0,0,18.4,0,0,6,
