Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11653883),LeBron James,11653883,SF/PF/F/UTIL,11000,LAL@MIA 11/18/2018 06:00PM ET,LAL,52.62
SF/PF,Kevin Durant (11653887),Kevin Durant,11653887,SF/PF/F/UTIL,10700,GS@SA 11/18/2018 07:00PM ET,GS,48.25
PG/SG,Stephen Curry (11653891),Stephen Curry,11653891,PG/SG/G/UTIL,9500,GS@SA 11/18/2018 07:00PM ET,GS,48.62
PG,Damian Lillard (11653895),Damian Lillard,11653895,PG/G/UTIL,9300,POR@WAS 11/18/2018 06:00PM ET,POR,43.78
PG,John Wall (11653898),John Wall,11653898,PG/G/UTIL,9100,POR@WAS 11/18/2018 06:00PM ET,WAS,42.7
C,Nikola Vucevic (11653901),Nikola Vucevic,11653901,C/UTIL,8700,NY@ORL 11/18/2018 06:00PM ET,ORL,43.44
SG/SF,DeMar DeRozan (11653903),DeMar DeRozan,11653903,SG/SF/F/G/UTIL,8600,GS@SA 11/18/2018 07:00PM ET,SA,45.07
C,Hassan Whiteside (11653908),Hassan Whiteside,11653908,C/UTIL,8100,LAL@MIA 11/18/2018 06:00PM ET,MIA,40.66
PF/C,LaMarcus Aldridge (11653910),LaMarcus Aldridge,11653910,PF/C/F/UTIL,8000,GS@SA 11/18/2018 07:00PM ET,SA,37.64
SG,Bradley Beal (11653914),Bradley Beal,11653914,SG/G/UTIL,7700,POR@WAS 11/18/2018 06:00PM ET,WAS,37.8
SF/PF,Aaron Gordon (11653917),Aaron Gordon,11653917,SF/PF/F/UTIL,7600,NY@ORL 11/18/2018 06:00PM ET,ORL,34.45
PF/C,Draymond Green (11653921),Draymond Green,11653921,PF/C/F/UTIL,7400,GS@SA 11/18/2018 07:00PM ET,GS,31.12
SG/SF,Tim Hardaway Jr. (11653925),Tim Hardaway Jr.,11653925,SG/SF/F/G/UTIL,7300,NY@ORL 11/18/2018 06:00PM ET,NY,35.03
SG,Klay Thompson (11653930),Klay Thompson,11653930,SG/G/UTIL,7200,GS@SA 11/18/2018 07:00PM ET,GS,32.10
C,Jusuf Nurkic (11653933),Jusuf Nurkic,11653933,C/UTIL,6800,POR@WAS 11/18/2018 06:00PM ET,POR,35.08
SG/SF,Josh Richardson (11653935),Josh Richardson,11653935,SG/SF/F/G/UTIL,6700,LAL@MIA 11/18/2018 06:00PM ET,MIA,34.3
