PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Myles Turner,IND,22,1,1,0,24.7,10,4,12,33.3,2,4,50,0,2,0,2,9,11,2,3,0,3,2,32.2,1,0,13,
Moritz Wagner,LAL,21,1,0,1,2.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Montrezl Harrell,LAC,24,1,1,0,27.2,16,7,10,70,0,0,0,2,4,50,4,6,10,1,0,0,1,1,32.5,1,0,9,
Monte Morris,DEN,23,1,0,1,34.2,13,6,7,85.7,1,1,100,0,0,0,0,3,3,5,2,0,0,1,22.1,0,0,1,
Mo Bamba,ORL,20,1,1,0,14.9,8,3,6,50,0,3,0,2,2,100,0,1,1,1,1,0,1,3,12.7,0,0,3,
Miles Bridges,CHA,20,1,0,1,26.2,9,4,6,66.7,1,1,100,0,0,0,0,4,4,1,3,1,1,4,18.3,0,0,3,
Mike Scott,LAC,30,1,1,0,20.2,9,3,6,50,1,1,100,2,2,100,0,4,4,2,0,0,0,2,16.8,0,0,5,
Mike Muscala,PHI,27,1,1,0,36.8,6,2,8,25,1,6,16.7,1,1,100,0,6,6,2,2,2,0,3,20.2,0,0,15,
Mikal Bridges,PHX,22,1,0,1,30.5,14,4,7,57.1,3,5,60,3,3,100,0,2,2,2,2,4,2,6,35.4,0,0,-13,
Michael Carter-Williams,HOU,27,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4.5,0,0,-1,
Michael Beasley,LAL,29,1,0,1,9.1,7,3,6,50,0,1,0,1,1,100,1,0,1,0,0,1,0,4,11.2,0,0,5,
Maxi Kleber,DAL,26,1,1,0,12.2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,7.5,0,0,-16,
Mason Plumlee,DEN,28,1,0,1,12.9,4,2,4,50,0,0,0,0,0,0,1,4,5,1,1,3,1,4,22.5,0,0,-3,
Marvin Williams,CHA,32,1,0,1,26.7,4,1,3,33.3,1,2,50,1,2,50,1,4,5,1,1,0,1,6,13.5,0,0,-6,
Marvin Bagley III,SAC,19,1,0,1,27.3,16,7,10,70,0,1,0,2,3,66.7,3,5,8,1,2,0,1,1,28.1,0,0,-15,
Marquese Chriss,HOU,21,1,1,0,3.4,2,1,2,50,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,-3,
Markelle Fultz,PHI,20,1,1,0,19.1,6,3,6,50,0,0,0,0,0,0,2,4,6,1,3,1,1,4,17.7,0,0,1,
Marcus Smart,BOS,24,1,0,1,16.6,5,2,4,50,0,1,0,1,1,100,0,2,2,3,1,1,1,2,16.9,0,0,-13,
Marcus Morris,BOS,29,1,0,1,19.8,3,1,7,14.3,0,4,0,1,2,50,1,1,2,1,1,0,0,2,5.9,0,0,-11,
Marcus Derrickson,GSW,22,1,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,1,
Marcin Gortat,LAC,34,1,1,0,15.9,10,5,6,83.3,0,0,0,0,0,0,4,4,8,0,1,0,0,3,18.6,0,0,-5,
Malik Monk,CHA,20,1,0,1,11.1,2,0,5,0,0,2,0,2,2,100,1,1,2,0,2,1,0,1,5.4,0,0,-4,
Malik Beasley,DEN,21,1,0,1,13.9,4,2,5,40,0,3,0,0,0,0,0,2,2,0,1,0,0,0,5.4,0,0,-3,
Malachi Richardson,TOR,22,1,1,0,18.8,9,3,4,75,2,3,66.7,1,1,100,0,3,3,0,5,1,0,2,10.6,0,0,9,
Luka Doncic,DAL,19,1,1,0,35.8,24,9,20,45,2,8,25,4,4,100,1,8,9,4,3,0,0,3,37.8,0,0,18,
Lou Williams,LAC,32,1,1,0,28,16,4,15,26.7,0,3,0,8,9,88.9,0,1,1,5,2,1,0,2,25.7,0,0,18,
Lorenzo Brown,TOR,28,1,1,0,21.9,10,5,9,55.6,0,3,0,0,0,0,0,1,1,2,4,3,1,4,22.2,0,0,9,
Lonzo Ball,LAL,21,1,0,1,28.2,0,0,5,0,0,3,0,0,0,0,0,5,5,4,3,2,1,4,18,0,0,-9,
LeBron James,LAL,33,1,0,1,25.9,22,8,19,42.1,3,6,50,3,4,75,0,4,4,7,3,0,1,0,37.3,0,0,-11,
Landry Shamet,PHI,21,1,1,0,23.5,5,2,6,33.3,1,4,25,0,0,0,0,2,2,0,0,1,0,3,10.4,0,0,-3,
Lance Stephenson,LAL,28,1,0,1,21.7,19,6,9,66.7,1,3,33.3,6,6,100,1,5,6,3,1,2,0,1,35.7,0,0,-2,
Kyrie Irving,BOS,26,1,0,1,30.4,20,8,16,50,1,2,50,3,5,60,2,6,8,1,1,2,0,5,36.1,0,0,-10,
Kyle O'Quinn,IND,28,1,1,0,2.5,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1,6.6,0,0,-10,
Kyle Lowry,TOR,32,1,1,0,29.3,8,3,11,27.3,2,8,25,0,0,0,0,7,7,8,2,3,0,2,35.4,0,0,23,
Kyle Kuzma,LAL,23,1,0,1,27.2,8,3,10,30,1,4,25,1,2,50,0,6,6,0,5,0,2,2,16.2,0,0,-7,
Klay Thompson,GSW,28,1,0,1,37.8,22,9,24,37.5,2,11,18.2,2,2,100,0,3,3,4,1,2,0,3,36.6,0,0,-5,
Khem Birch,ORL,26,1,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,
Kevon Looney,GSW,22,1,0,1,26.8,0,0,2,0,0,0,0,0,0,0,5,2,7,1,1,0,0,4,8.9,0,0,-15,
Kevin Huerter,ATL,20,1,0,1,29.3,5,2,9,22.2,1,4,25,0,1,0,0,3,3,3,2,1,1,2,17.1,0,0,-15,
Kevin Durant,GSW,30,1,0,1,36.7,32,11,24,45.8,0,4,0,10,11,90.9,0,4,4,3,4,0,1,4,40.3,0,0,-13,
Kentavious Caldwell-Pope,LAL,25,1,0,1,28.3,10,3,9,33.3,0,3,0,4,4,100,3,1,4,0,0,0,0,3,14.8,0,0,-6,
Kent Bazemore,ATL,29,1,0,1,30.6,13,5,14,35.7,2,4,50,1,2,50,1,4,5,4,1,4,1,3,39,0,0,16,
Kemba Walker,CHA,28,1,0,1,45.4,60,21,34,61.8,6,14,42.9,12,12,100,0,7,7,4,9,4,0,2,77.4,0,0,1,
Justin Jackson,SAC,23,1,0,1,20.9,10,3,7,42.9,2,5,40,2,2,100,0,4,4,1,0,0,0,0,16.3,0,0,-9,
Justin Holiday,CHI,29,1,0,1,31.1,12,4,10,40,3,8,37.5,1,1,100,0,4,4,1,1,1,1,0,23.3,0,0,-30,
Julius Randle,NOP,23,1,1,0,27.4,21,8,13,61.5,0,1,0,5,7,71.4,4,6,10,3,1,3,1,3,48.5,1,0,-1,
Juancho Hernangomez,DEN,23,1,0,1,35.3,20,7,12,58.3,4,6,66.7,2,2,100,3,8,11,2,4,0,1,3,35.2,1,0,-12,
Jrue Holiday,NOP,28,1,1,0,31.5,19,8,19,42.1,2,5,40,1,1,100,1,2,3,8,2,3,1,4,44.6,0,0,-1,
Josh Jackson,PHX,21,1,0,1,17.1,7,2,6,33.3,1,1,100,2,4,50,1,2,3,0,3,4,1,2,22.6,0,0,3,
Josh Hart,LAL,23,1,0,1,20.2,13,5,7,71.4,3,4,75,0,0,0,0,2,2,1,0,0,2,2,22.9,0,0,-17,
Jordan Loyd,TOR,25,1,1,0,12,8,2,2,100,2,2,100,2,2,100,0,4,4,1,0,0,0,1,14.3,0,0,6,
Jordan Bell,GSW,23,1,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,0,
Jonathon Simmons,ORL,29,1,1,0,26.1,12,5,10,50,0,2,0,2,3,66.7,1,4,5,6,0,0,0,2,27,0,0,9,
Jonathan Isaac,ORL,21,1,1,0,16.9,7,3,5,60,1,2,50,0,0,0,1,4,5,1,2,0,5,1,27.5,0,0,4,
Jonas Valanciunas,TOR,26,1,1,0,14,8,4,6,66.7,0,1,0,0,0,0,1,8,9,1,1,0,0,2,19.3,0,0,14,
Jonas Jerebko,GSW,31,1,0,1,25.1,5,2,7,28.6,1,4,25,0,0,0,3,7,10,4,0,0,0,4,23,0,0,-11,
John Collins,ATL,21,1,0,1,12.1,12,3,6,50,0,1,0,6,7,85.7,1,1,2,0,3,0,1,1,14.4,0,0,14,
Joel Embiid,PHI,24,1,1,0,40.1,33,9,23,39.1,2,5,40,13,14,92.9,2,9,11,3,4,1,2,5,55.7,1,0,-4,
Joe Ingles,UTA,31,1,1,0,30,7,3,6,50,1,4,25,0,0,0,0,3,3,6,3,0,0,3,16.6,0,0,8,
Joe Harris,BKN,27,1,0,1,30.4,19,7,11,63.6,2,3,66.7,3,5,60,0,1,1,4,0,1,0,3,29.2,0,0,-4,
Jimmy Butler,PHI,29,1,1,0,37.2,15,4,11,36.4,1,3,33.3,6,7,85.7,1,2,3,4,4,2,2,4,32.6,0,0,3,
Jerome Robinson,LAC,21,1,1,0,5.4,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,1,3,0,0,10,
Jerian Grant,ORL,26,1,1,0,19.2,3,1,4,25,1,3,33.3,0,0,0,1,1,2,3,1,1,0,0,11.9,0,0,2,
Jeremy Lin,ATL,30,1,0,1,24.3,16,7,11,63.6,2,3,66.7,0,0,0,0,4,4,4,4,3,0,5,31.8,0,0,6,
Jeremy Lamb,CHA,26,1,0,1,39.8,20,6,18,33.3,1,6,16.7,7,7,100,3,7,10,3,1,1,0,4,38.5,1,0,-1,
Jerami Grant,OKC,24,1,1,0,32.4,14,4,7,57.1,1,2,50,5,7,71.4,1,5,6,3,0,0,2,2,31.7,0,0,14,
Jayson Tatum,BOS,20,1,0,1,23.5,10,5,11,45.5,0,2,0,0,0,0,1,6,7,0,2,0,0,0,16.4,0,0,-13,
Jaylen Brown,BOS,22,1,0,1,24.7,3,1,9,11.1,1,6,16.7,0,0,0,2,1,3,1,0,0,0,2,8.1,0,0,-7,
Jarrett Allen,BKN,20,1,0,1,28.3,24,8,13,61.5,0,1,0,8,9,88.9,5,6,11,2,1,0,1,3,42.2,1,0,0,
Jarell Martin,ORL,24,1,1,0,1.7,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,-2,
Jared Dudley,BKN,33,1,0,1,25.7,5,2,2,100,1,1,100,0,0,0,0,2,2,1,0,0,0,1,8.9,0,0,4,
James Harden,HOU,29,1,1,0,34.3,34,10,17,58.8,4,10,40,10,10,100,0,4,4,8,6,3,0,3,53.8,0,0,1,
James Ennis III,HOU,28,1,1,0,27.5,6,2,4,50,0,1,0,2,2,100,0,3,3,0,0,1,1,3,15.6,0,0,6,
Jamal Murray,DEN,21,1,0,1,28.7,11,4,14,28.6,1,5,20,2,2,100,0,2,2,6,1,0,1,3,24.4,0,0,-14,
Jamal Crawford,PHX,38,1,0,1,23.6,7,2,5,40,1,3,33.3,2,2,100,0,0,0,5,1,1,0,3,16.5,0,0,2,
Jae Crowder,UTA,28,1,1,0,27.1,5,2,7,28.6,1,6,16.7,0,0,0,0,4,4,1,0,1,0,4,14.3,0,0,19,
Jabari Parker,CHI,23,1,0,1,27.3,12,5,14,35.7,2,4,50,0,0,0,1,5,6,2,3,2,0,3,25.2,0,0,-25,
JaVale McGee,LAL,30,1,0,1,15.9,11,5,7,71.4,0,0,0,1,2,50,3,1,4,0,1,0,0,1,14.8,0,0,-6,
JJ Redick,PHI,34,1,1,0,29.5,23,9,17,52.9,5,11,45.5,0,0,0,0,1,1,1,0,0,1,0,28.7,0,0,6,
J.J. Barea,DAL,34,1,1,0,20.4,13,6,9,66.7,1,2,50,0,0,0,1,2,3,3,3,0,0,2,18.1,0,0,-8,
Isaiah Hartenstein,HOU,20,1,1,0,9.8,1,0,0,0,0,0,0,1,2,50,0,2,2,2,1,1,0,1,8.4,0,0,-2,
Isaiah Canaan,PHX,27,1,0,1,24.1,8,3,6,50,2,4,50,0,0,0,0,0,0,2,0,2,0,1,17,0,0,-15,
Isaiah Briscoe,ORL,22,1,1,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,-2,
Iman Shumpert,SAC,28,1,0,1,21.2,3,1,5,20,1,4,25,0,0,0,2,3,5,2,1,1,0,0,14,0,0,-1,
Ian Clark,NOP,27,1,1,0,22.4,3,1,5,20,1,3,33.3,0,0,0,0,3,3,5,3,0,0,1,11.1,0,0,16,
Harry Giles III,SAC,20,1,0,1,6.9,7,3,5,60,0,0,0,1,2,50,1,0,1,1,0,2,0,0,15.7,0,0,-1,
Harrison Barnes,DAL,26,1,1,0,36.7,23,7,14,50,2,4,50,7,11,63.6,1,7,8,1,0,0,0,4,34.1,0,0,14,
Hamidou Diallo,OKC,20,1,1,0,19.2,1,0,1,0,0,0,0,1,2,50,2,2,4,1,0,0,0,0,7.3,0,0,7,
Guerschon Yabusele,BOS,22,1,0,1,9,9,2,5,40,1,2,50,4,4,100,1,1,2,0,0,2,0,1,17.4,0,0,5,
Greg Monroe,TOR,28,1,1,0,11.2,7,3,4,75,0,0,0,1,2,50,1,2,3,2,3,0,0,3,10.6,0,0,1,
Grayson Allen,UTA,23,1,1,0,2.3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,
Gordon Hayward,BOS,28,1,0,1,26.1,7,3,7,42.9,0,2,0,1,1,100,1,3,4,3,3,2,0,0,19.3,0,0,-11,
Gerald Green,HOU,32,1,1,0,13.7,17,6,10,60,5,8,62.5,0,0,0,0,1,1,0,1,0,0,2,17.2,0,0,0,
Georges Niang,UTA,25,1,1,0,7.6,1,0,3,0,0,2,0,1,2,50,0,0,0,1,0,0,0,0,2.5,0,0,-16,
Gary Harris,DEN,24,1,0,1,38.8,24,9,16,56.3,6,9,66.7,0,0,0,1,4,5,4,0,1,1,3,42,0,0,1,
Gary Clark,HOU,24,1,1,0,23.4,5,1,3,33.3,1,3,33.3,2,2,100,0,2,2,1,0,0,4,0,20.9,0,0,14,
Furkan Korkmaz,PHI,21,1,1,0,15.8,3,1,4,25,0,2,0,1,2,50,1,3,4,3,0,0,0,1,12.3,0,0,0,
Fred VanVleet,TOR,24,1,1,0,29.1,18,7,11,63.6,4,7,57.1,0,0,0,2,2,4,4,1,1,1,2,33.8,0,0,31,
Frank Mason,SAC,24,1,0,1,14.2,4,2,9,22.2,0,3,0,0,0,0,0,0,0,4,2,1,0,1,11,0,0,-3,
Frank Jackson,NOP,20,1,1,0,3.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.2,0,0,3,
Evan Fournier,ORL,26,1,1,0,33.5,15,6,15,40,1,8,12.5,2,3,66.7,1,4,5,4,0,0,0,4,27,0,0,8,
Eric Gordon,HOU,29,1,1,0,28.6,11,4,13,30.8,3,11,27.3,0,0,0,0,1,1,5,0,0,0,2,19.7,0,0,23,
Ekpe Udoh,UTA,31,1,1,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6,
Ed Davis,BKN,29,1,0,1,18.6,4,2,3,66.7,0,0,0,0,0,0,4,7,11,0,0,0,2,3,23.2,0,0,-8,
E'Twaun Moore,NOP,29,1,1,0,35.8,13,6,12,50,1,2,50,0,0,0,0,5,5,1,2,0,0,1,18.5,0,0,6,
Dwight Powell,DAL,27,1,1,0,17.1,7,3,6,50,0,1,0,1,1,100,2,2,4,0,0,1,0,1,14.8,0,0,-11,
Dwayne Bacon,CHA,23,1,0,1,28.6,9,4,10,40,1,3,33.3,0,0,0,0,6,6,0,0,0,0,3,16.2,0,0,8,
Dragan Bender,PHX,21,1,0,1,7.4,0,0,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,-2,
Doug McDermott,IND,26,1,1,0,25.5,4,2,8,25,0,4,0,0,0,0,0,1,1,1,0,1,0,1,9.7,0,0,5,
Dorian Finney-Smith,DAL,25,1,1,0,40.3,13,5,11,45.5,2,6,33.3,1,2,50,3,2,5,3,1,2,0,3,28.5,0,0,5,
Donovan Mitchell,UTA,22,1,1,0,36,28,10,21,47.6,5,12,41.7,3,4,75,0,3,3,6,3,3,1,2,49.6,0,0,15,
Domantas Sabonis,IND,22,1,1,0,28.5,9,4,7,57.1,0,0,0,1,1,100,4,12,16,6,1,1,1,4,42.2,0,0,9,
Dewayne Dedmon,ATL,29,1,0,1,22.7,12,4,5,80,1,2,50,3,3,100,0,7,7,1,3,0,1,3,21.9,0,0,-14,
Devin Harris,DAL,35,1,1,0,19,5,1,7,14.3,1,6,16.7,2,3,66.7,0,5,5,0,0,0,1,2,14,0,0,-13,
Devin Booker,PHX,22,1,0,1,39.2,16,5,16,31.3,3,8,37.5,3,4,75,0,4,4,12,1,0,0,5,37.8,1,0,-10,
Derrick Favors,UTA,27,1,1,0,23.6,10,4,6,66.7,0,1,0,2,6,33.3,1,7,8,1,0,1,1,1,27.1,0,0,4,
Deonte Burton,OKC,24,1,1,0,10.3,0,0,3,0,0,1,0,0,0,0,0,2,2,0,1,0,0,2,1.4,0,0,5,
Dennis Smith Jr.,DAL,20,1,1,0,27.7,14,5,12,41.7,2,5,40,2,7,28.6,0,2,2,6,0,2,1,1,34.4,0,0,11,
Dennis Schroder,OKC,25,1,1,0,36,15,6,15,40,1,3,33.3,2,2,100,1,4,5,7,5,4,0,2,38.5,0,0,9,
Delon Wright,TOR,26,1,1,0,19.2,7,3,8,37.5,1,3,33.3,0,0,0,2,2,4,4,3,2,1,1,23.8,0,0,14,
Deandre Ayton,PHX,20,1,0,1,35.6,21,10,19,52.6,0,1,0,1,2,50,1,8,9,1,2,1,0,3,34.3,0,0,3,
DeMarre Carroll,BKN,32,1,0,1,19.9,9,2,6,33.3,1,2,50,4,4,100,2,5,7,0,1,0,0,1,16.4,0,0,-14,
DeAndre' Bembry,ATL,24,1,0,1,22.7,8,3,10,30,0,3,0,2,2,100,0,4,4,2,1,1,1,1,20.8,0,0,-6,
DeAndre Jordan,DAL,30,1,1,0,30.9,13,4,5,80,0,0,0,5,6,83.3,0,10,10,0,3,1,1,2,28,1,0,15,
De'Anthony Melton,PHX,20,1,0,1,9.6,0,0,1,0,0,1,0,0,0,0,0,3,3,0,2,1,0,1,4.6,0,0,3,
De'Aaron Fox,SAC,20,1,0,1,25.5,19,8,14,57.1,2,4,50,1,1,100,0,1,1,3,3,1,0,4,24.7,0,0,-6,
Darren Collison,IND,31,1,1,0,26.3,12,4,10,40,2,3,66.7,2,2,100,1,1,2,5,1,2,0,3,26.9,0,0,6,
Darius Miller,NOP,28,1,1,0,23.2,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,1,0,2,2,8,0,0,3,
Dante Exum,UTA,23,1,1,0,20,10,4,8,50,1,2,50,1,2,50,1,6,7,3,2,0,0,1,20.9,0,0,-2,
Danny Green,TOR,31,1,1,0,25.9,17,7,7,100,3,3,100,0,0,0,1,3,4,3,1,1,0,2,28.3,0,0,35,
