PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Yogi Ferrell,SAC,25,1,0,1,20.7,5,1,4,25,1,3,33.3,2,2,100,0,4,4,1,2,1,0,3,12.3,0,0,-10,
Wilson Chandler,PHI,31,1,1,0,14.1,2,0,2,0,0,2,0,2,2,100,1,4,5,0,0,0,0,1,8,0,0,-3,
Willy Hernangomez,CHA,24,1,0,1,12.8,1,0,5,0,0,1,0,1,2,50,2,2,4,1,0,1,0,1,10.3,0,0,-12,
Willie Cauley-Stein,SAC,25,1,0,1,18.2,3,1,9,11.1,0,0,0,1,2,50,2,3,5,3,1,0,1,2,15.5,0,0,-7,
Wesley Johnson,NOP,31,1,1,0,24.4,6,2,3,66.7,2,3,66.7,0,0,0,1,5,6,2,0,0,0,1,16.2,0,0,-1,
Wes Iwundu,ORL,23,1,1,0,20.1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,2,3,6.5,0,0,4,
Wendell Carter Jr.,CHI,19,1,0,1,22.3,8,2,8,25,0,1,0,4,4,100,2,3,5,3,1,0,1,2,20.5,0,0,-20,
Vince Carter,ATL,41,1,0,1,16.2,7,2,8,25,2,5,40,1,2,50,0,4,4,0,0,1,0,2,14.8,0,0,-12,
Victor Oladipo,IND,26,1,1,0,4.6,2,0,1,0,0,0,0,2,2,100,0,2,2,1,1,0,0,0,4.9,0,0,2,
Tyson Chandler,LAL,36,1,0,1,17.4,2,1,1,100,0,0,0,0,0,0,0,3,3,0,1,0,0,1,4.6,0,0,-12,
Tyrone Wallace,LAC,24,1,1,0,9.9,6,3,9,33.3,0,2,0,0,0,0,1,0,1,0,0,1,0,1,10.2,0,0,-4,
Tyreke Evans,IND,29,1,1,0,24.4,11,4,12,33.3,2,7,28.6,1,2,50,0,2,2,0,3,1,0,1,13.4,0,0,-7,
Tyler Dorsey,ATL,22,1,0,1,14.4,0,0,3,0,0,1,0,0,0,0,0,2,2,0,1,1,0,0,4.4,0,0,-9,
Troy Williams,SAC,23,1,0,1,14.9,4,2,5,40,0,2,0,0,0,0,0,1,1,0,0,1,0,1,8.2,0,0,3,
Trey Lyles,DEN,23,1,0,1,20.3,7,3,9,33.3,1,4,25,0,2,0,1,3,4,1,2,0,0,4,11.3,0,0,-7,
Trae Young,ATL,20,1,0,1,23.7,9,3,11,27.3,0,5,0,3,4,75,0,1,1,4,3,1,0,2,16.2,0,0,-14,
Tony Parker,CHA,36,1,0,1,15.3,2,1,4,25,0,0,0,0,0,0,0,3,3,5,1,0,0,0,12.1,0,0,-4,
Tobias Harris,LAC,26,1,1,0,36.5,27,11,17,64.7,2,4,50,3,4,75,0,8,8,3,3,0,0,4,38.1,0,0,11,
Timothe Luwawu-Cabarrot,OKC,23,1,1,0,25.1,12,4,8,50,1,3,33.3,3,3,100,1,3,4,1,1,0,0,4,17.3,0,0,-4,
Thaddeus Young,IND,30,1,1,0,26.7,11,4,11,36.4,0,1,0,3,5,60,2,5,7,2,0,0,0,4,22.4,0,0,11,
Terry Rozier,BOS,24,1,0,1,20.9,4,2,9,22.2,0,6,0,0,3,0,1,6,7,3,1,0,0,1,15.9,0,0,4,
Terrence Ross,ORL,27,1,1,0,16.3,13,4,5,80,2,2,100,3,3,100,0,2,2,0,2,0,0,5,13.4,0,0,9,
TJ Leaf,IND,21,1,1,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,7.5,0,0,-7,
T.J. Warren,PHX,25,1,0,1,40.5,23,10,19,52.6,2,4,50,1,2,50,1,4,5,1,2,1,1,3,34.5,0,0,-8,
Svi Mykhailiuk,LAL,21,1,0,1,10.5,8,2,3,66.7,2,3,66.7,2,2,100,0,0,0,0,0,0,0,1,8,0,0,5,
Steven Adams,OKC,25,1,1,0,36.5,26,11,15,73.3,0,0,0,4,5,80,5,5,10,0,3,1,0,5,38,1,0,-2,
Spencer Dinwiddie,BKN,25,1,0,1,27.8,11,3,16,18.8,1,6,16.7,4,6,66.7,2,2,4,7,4,0,0,6,22.3,0,0,-19,
Skal Labissiere,SAC,22,1,0,1,6.9,2,1,3,33.3,0,0,0,0,0,0,0,1,1,0,1,1,1,2,8.2,0,0,-1,
Sindarius Thornwell,LAC,24,1,1,0,11,2,1,2,50,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3.2,0,0,-3,
Shaun Livingston,GSW,33,1,0,1,19.7,12,5,9,55.6,0,0,0,2,2,100,1,3,4,4,0,0,1,1,25.8,0,0,8,
Shaquille Harrison,CHI,25,1,0,1,27.2,7,1,7,14.3,0,2,0,5,8,62.5,0,4,4,6,3,5,0,3,32.8,0,0,-19,
Shai Gilgeous-Alexander,LAC,20,1,1,0,20,4,2,9,22.2,0,1,0,0,0,0,0,2,2,2,1,0,0,5,8.4,0,0,-10,
Shabazz Napier,BKN,27,1,0,1,12.8,1,0,4,0,0,1,0,1,2,50,0,0,0,0,3,0,1,1,1,0,0,-2,
Serge Ibaka,TOR,29,1,1,0,22.8,16,6,13,46.2,0,1,0,4,4,100,0,4,4,1,2,2,4,2,38.3,0,0,24,
Semi Ojeleye,BOS,23,1,0,1,12,2,1,3,33.3,0,2,0,0,0,0,1,1,2,0,0,1,0,0,7.4,0,0,3,
Ryan Arcidiacono,CHI,24,1,0,1,30.8,6,2,7,28.6,2,6,33.3,0,0,0,0,2,2,3,1,0,0,3,11.9,0,0,-22,
Rudy Gobert,UTA,26,1,1,0,30.8,12,4,5,80,0,0,0,4,6,66.7,4,5,9,3,1,2,1,3,35.3,0,0,16,
Royce O'Neale,UTA,25,1,1,0,19.5,3,1,4,25,1,3,33.3,0,0,0,1,6,7,0,2,0,1,3,12.4,0,0,0,
Rondae Hollis-Jefferson,BKN,23,1,0,1,12.2,8,2,6,33.3,0,1,0,4,6,66.7,2,2,4,0,1,1,0,1,14.8,0,0,-1,
Robin Lopez,CHI,30,1,0,1,14.5,9,4,6,66.7,1,1,100,0,2,0,0,0,0,0,2,1,0,2,10,0,0,-18,
Ricky Rubio,UTA,28,1,1,0,28.3,20,6,13,46.2,2,4,50,6,7,85.7,0,4,4,2,1,3,0,2,35.8,0,0,14,
Richaun Holmes,PHX,25,1,0,1,12.4,4,1,1,100,0,0,0,2,4,50,1,4,5,0,0,0,2,2,16,0,0,-13,
Raymond Felton,OKC,34,1,1,0,13.5,2,1,5,20,0,2,0,0,0,0,0,1,1,3,2,0,0,1,5.7,0,0,1,
Quinn Cook,GSW,25,1,0,1,21.6,15,6,10,60,3,5,60,0,0,0,0,2,2,3,1,1,0,5,23.9,0,0,7,
Paul Millsap,DEN,33,1,0,1,21.8,7,3,8,37.5,0,3,0,1,3,33.3,1,0,1,3,1,0,2,3,17.7,0,0,-2,
Paul George,OKC,28,1,1,0,40,32,9,22,40.9,3,10,30,11,11,100,1,10,11,2,5,3,3,2,61.2,1,0,12,
Patrick Patterson,OKC,29,1,1,0,15.6,4,1,5,20,1,3,33.3,1,2,50,1,2,3,0,0,0,0,0,7.6,0,0,-4,
Patrick Beverley,LAC,30,1,1,0,33.3,6,2,6,33.3,2,4,50,0,0,0,0,0,0,8,0,1,0,3,21,0,0,5,
Pascal Siakam,TOR,24,1,1,0,29.2,12,4,10,40,0,2,0,4,4,100,1,7,8,5,1,1,1,2,34.1,0,0,30,
PJ Tucker,HOU,33,1,1,0,29.6,9,4,9,44.4,1,5,20,0,0,0,1,7,8,0,4,1,0,2,17.6,0,0,19,
Omari Spellman,ATL,21,1,0,1,12.4,2,1,3,33.3,0,0,0,0,2,0,1,1,2,0,0,2,0,2,10.4,0,0,-13,
Nikola Vucevic,ORL,28,1,1,0,31.4,36,15,23,65.2,2,5,40,4,5,80,4,9,13,0,3,2,0,1,54.6,1,0,12,
Nikola Mirotic,NOP,27,1,1,0,33.8,20,6,12,50,3,7,42.9,5,5,100,0,10,10,2,1,0,3,2,43,1,0,14,
Nikola Jokic,DEN,23,1,0,1,34.1,25,10,20,50,2,8,25,3,4,75,3,7,10,8,1,1,0,2,51,1,0,-11,
Nicolas Batum,CHA,29,1,0,1,19,0,0,4,0,0,1,0,0,0,0,1,0,1,4,1,1,1,0,12.2,0,0,-9,
Nerlens Noel,OKC,24,1,1,0,11.5,4,2,4,50,0,0,0,0,0,0,2,4,6,0,1,1,2,2,19.2,0,0,12,
Nemanja Bjelica,SAC,30,1,0,1,13.8,2,1,3,33.3,0,2,0,0,0,0,0,1,1,0,0,0,0,2,3.2,0,0,-15,
