PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
Vincent Edwards,HOU,22,1,1,0,3.7,3,1,2,50,1,2,50,0,0,0,1,0,1,0,0,0,0,0,4.2,0,0,-5,
Vince Carter,ATL,41,1,0,1,16.5,11,4,6,66.7,3,5,60,0,0,0,1,0,1,0,0,0,0,2,12.2,0,0,-14,
Tyrone Wallace,LAC,24,1,1,0,15.5,9,3,5,60,0,1,0,3,4,75,0,1,1,0,0,0,0,3,10.2,0,0,10,
Tyler Lydon,DEN,22,1,1,0,6.6,6,2,3,66.7,2,3,66.7,0,0,0,0,1,1,0,0,0,0,0,7.2,0,0,12,
Tyler Dorsey,ATL,22,1,0,1,19.1,3,1,5,20,0,2,0,1,1,100,1,5,6,1,0,1,0,1,14.7,0,0,-6,
Trey Lyles,DEN,23,1,1,0,27.3,14,5,7,71.4,1,1,100,3,4,75,1,7,8,4,5,0,0,1,24.6,0,0,13,
Trae Young,ATL,20,1,0,1,26.6,6,2,11,18.2,0,4,0,2,2,100,0,2,2,5,5,1,0,1,13.9,0,0,-22,
Torrey Craig,DEN,27,1,1,0,3.7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1.2,0,0,-4,
Tobias Harris,LAC,26,1,1,0,38.9,18,8,16,50,2,5,40,0,0,0,2,6,8,5,2,0,1,3,36.1,0,0,-2,
Sindarius Thornwell,LAC,24,1,1,0,12.4,2,0,0,0,0,0,0,2,2,100,0,4,4,2,0,0,1,2,12.8,0,0,10,
Shaun Livingston,GSW,33,1,0,1,16.3,2,1,4,25,0,0,0,0,0,0,0,2,2,3,0,1,0,2,11.9,0,0,-24,
Shai Gilgeous-Alexander,LAC,20,1,1,0,27.1,9,4,9,44.4,0,2,0,1,2,50,2,3,5,0,2,0,0,4,13,0,0,3,
Rudy Gay,SAS,32,1,0,1,24.8,19,8,12,66.7,1,3,33.3,2,2,100,3,3,6,2,0,0,0,4,29.2,0,0,14,
Quinn Cook,GSW,25,1,0,1,24.5,11,4,8,50,3,4,75,0,0,0,0,2,2,1,0,0,0,3,14.9,0,0,-15,
Quincy Pondexter,SAS,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,
Paul Millsap,DEN,33,1,1,0,24.6,18,8,13,61.5,1,2,50,1,1,100,3,6,9,5,1,4,2,2,53.3,0,0,35,
Patty Mills,SAS,30,1,0,1,33.3,12,5,14,35.7,2,8,25,0,0,0,1,3,4,5,0,0,0,2,24.3,0,0,19,
Patrick Beverley,LAC,30,1,1,0,25.3,10,4,11,36.4,2,6,33.3,0,0,0,1,6,7,4,1,1,0,2,26.4,0,0,-2,
PJ Tucker,HOU,33,1,1,0,31.3,3,1,3,33.3,0,2,0,1,2,50,1,3,4,1,0,0,0,3,9.3,0,0,13,
Omari Spellman,ATL,21,1,0,1,26.7,10,4,15,26.7,0,7,0,2,2,100,3,7,10,3,1,3,1,3,37.5,1,0,-27,
Nikola Jokic,DEN,23,1,1,0,25.4,12,5,11,45.5,1,2,50,1,2,50,1,8,9,7,2,4,1,3,46.3,0,0,37,
Montrezl Harrell,LAC,24,1,1,0,27,14,4,8,50,0,0,0,6,9,66.7,2,4,6,5,2,1,1,2,32.7,0,0,3,
Monte Morris,DEN,23,1,1,0,29.2,8,4,9,44.4,0,2,0,0,0,0,0,2,2,2,0,1,0,3,16.4,0,0,23,
Miles Plumlee,ATL,30,1,0,1,16.4,3,1,3,33.3,0,0,0,1,2,50,0,3,3,0,2,0,1,1,7.6,0,0,-24,
Mike Scott,LAC,30,1,1,0,14,5,2,4,50,1,2,50,0,0,0,1,2,3,0,2,0,0,6,6.6,0,0,4,
Michael Carter-Williams,HOU,27,1,1,0,3.7,1,0,1,0,0,0,0,1,2,50,0,1,1,1,0,0,0,1,3.7,0,0,-5,
Mason Plumlee,DEN,28,1,1,0,12.1,6,2,3,66.7,0,0,0,2,2,100,1,4,5,1,3,0,0,3,10.5,0,0,-7,
Marquese Chriss,HOU,21,1,1,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-5,
Marco Belinelli,SAS,32,1,0,1,23.9,7,2,6,33.3,1,3,33.3,2,2,100,1,2,3,2,0,1,1,3,19.6,0,0,-10,
Marcin Gortat,LAC,34,1,1,0,21,7,2,3,66.7,0,0,0,3,4,75,0,7,7,4,0,0,0,1,21.4,0,0,0,
Malik Beasley,DEN,21,1,1,0,23.6,15,6,14,42.9,1,5,20,2,3,66.7,1,2,3,3,1,1,0,2,25.1,0,0,6,
Lou Williams,LAC,32,1,1,0,28.1,23,9,20,45,1,3,33.3,4,4,100,1,2,3,2,2,0,0,1,27.6,0,0,1,
