Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11629423),Anthony Davis,11629423,PF/C/F/UTIL,11300,NO@MIN 11/14/2018 08:00PM ET,NO,57.22
SF/PF,Giannis Antetokounmpo (11629427),Giannis Antetokounmpo,11629427,SF/PF/F/UTIL,11000,MEM@MIL 11/14/2018 08:00PM ET,MIL,55.04
PG,Russell Westbrook (11629431),Russell Westbrook,11629431,PG/G/UTIL,10700,NY@OKC 11/14/2018 08:00PM ET,OKC,51.29
C,Joel Embiid (11629434),Joel Embiid,11629434,C/UTIL,10500,PHI@ORL 11/14/2018 07:00PM ET,PHI,55.55
SF/PF,LeBron James (11629436),LeBron James,11629436,SF/PF/F/UTIL,10300,POR@LAL 11/14/2018 10:30PM ET,LAL,51.52
SF/PF,Paul George (11629440),Paul George,11629440,SF/PF/F/UTIL,9600,NY@OKC 11/14/2018 08:00PM ET,OKC,45.56
C,Karl-Anthony Towns (11629444),Karl-Anthony Towns,11629444,C/UTIL,9500,NO@MIN 11/14/2018 08:00PM ET,MIN,43.96
PF/C,Blake Griffin (11629446),Blake Griffin,11629446,PF/C/F/UTIL,9400,DET@TOR 11/14/2018 07:30PM ET,DET,46.92
C,Andre Drummond (11629450),Andre Drummond,11629450,C/UTIL,9300,DET@TOR 11/14/2018 07:30PM ET,DET,47.98
PG,John Wall (11629452),John Wall,11629452,PG/G/UTIL,9100,CLE@WAS 11/14/2018 07:00PM ET,WAS,44.38
SG/SF,DeMar DeRozan (11629455),DeMar DeRozan,11629455,SG/SF/F/G/UTIL,9000,SA@PHO 11/14/2018 09:00PM ET,SA,44.94
PG,Damian Lillard (11629460),Damian Lillard,11629460,PG/G/UTIL,8800,POR@LAL 11/14/2018 10:30PM ET,POR,43.56
PG/SF,Ben Simmons (11629463),Ben Simmons,11629463,PG/SF/F/G/UTIL,8700,PHI@ORL 11/14/2018 07:00PM ET,PHI,42.59
SG/SF,Kawhi Leonard (11629468),Kawhi Leonard,11629468,SG/SF/F/G/UTIL,8600,DET@TOR 11/14/2018 07:30PM ET,TOR,42.72
PG/SG,Jrue Holiday (11629473),Jrue Holiday,11629473,PG/SG/G/UTIL,8500,NO@MIN 11/14/2018 08:00PM ET,NO,42.98
C,Hassan Whiteside (11629477),Hassan Whiteside,11629477,C/UTIL,8400,MIA@BKN 11/14/2018 07:30PM ET,MIA,41.38
PF/C,LaMarcus Aldridge (11629479),LaMarcus Aldridge,11629479,PF/C/F/UTIL,8300,SA@PHO 11/14/2018 09:00PM ET,SA,38.96
C,Nikola Vucevic (11629483),Nikola Vucevic,11629483,C/UTIL,8200,PHI@ORL 11/14/2018 07:00PM ET,ORL,41.91
SG/SF,Jimmy Butler (11629485),Jimmy Butler,11629485,SG/SF/F/G/UTIL,8200,PHI@ORL 11/14/2018 07:00PM ET,PHI,41.2
C,Rudy Gobert (11629493),Rudy Gobert,11629493,C/UTIL,8100,UTA@DAL 11/14/2018 08:30PM ET,UTA,42.29
PG,Kyle Lowry (11629490),Kyle Lowry,11629490,PG/G/UTIL,8100,DET@TOR 11/14/2018 07:30PM ET,TOR,42.11
PF/C,Kevin Love (11629498),Kevin Love,11629498,PF/C/F/UTIL,8000,CLE@WAS 11/14/2018 07:00PM ET,CLE,42.88
PG,Kyrie Irving (11629495),Kyrie Irving,11629495,PG/G/UTIL,8000,CHI@BOS 11/14/2018 07:30PM ET,BOS,39.56
PG/SG,Zach LaVine (11629502),Zach LaVine,11629502,PG/SG/G/UTIL,7900,CHI@BOS 11/14/2018 07:30PM ET,CHI,42.45
PG/SG,Dennis Schroder (11629506),Dennis Schroder,11629506,PG/SG/G/UTIL,7800,NY@OKC 11/14/2018 08:00PM ET,OKC,32.36
SF/PF,Aaron Gordon (11629510),Aaron Gordon,11629510,SF/PF/F/UTIL,7700,PHI@ORL 11/14/2018 07:00PM ET,ORL,34.56
PG/SG,Devin Booker (11629514),Devin Booker,11629514,PG/SG/G/UTIL,7600,SA@PHO 11/14/2018 09:00PM ET,PHO,39.8
SG,Bradley Beal (11629518),Bradley Beal,11629518,SG/G/UTIL,7500,CLE@WAS 11/14/2018 07:00PM ET,WAS,38.44
SF/PF,Nikola Mirotic (11629521),Nikola Mirotic,11629521,SF/PF/F/UTIL,7500,NO@MIN 11/14/2018 08:00PM ET,NO,41.39
PG/SG,Donovan Mitchell (11629525),Donovan Mitchell,11629525,PG/SG/G/UTIL,7400,UTA@DAL 11/14/2018 08:30PM ET,UTA,35.04
C,Steven Adams (11629529),Steven Adams,11629529,C/UTIL,7300,NY@OKC 11/14/2018 08:00PM ET,OKC,35.73
