Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (11602840),Joel Embiid,11602840,C/UTIL,11200,CHA@PHI 11/09/2018 07:00PM ET,PHI,53.85
PF/C,Blake Griffin (11602842),Blake Griffin,11602842,PF/C/F/UTIL,10000,DET@ATL 11/09/2018 07:30PM ET,DET,50.28
PG/SF,Ben Simmons (11602846),Ben Simmons,11602846,PG/SF/F/G/UTIL,9800,CHA@PHI 11/09/2018 07:00PM ET,PHI,41.61
C,Andre Drummond (11602851),Andre Drummond,11602851,C/UTIL,9600,DET@ATL 11/09/2018 07:30PM ET,DET,46.2
PG,Kemba Walker (11602853),Kemba Walker,11602853,PG/G/UTIL,9400,CHA@PHI 11/09/2018 07:00PM ET,CHA,45.68
C,Nikola Jokic (11602856),Nikola Jokic,11602856,C/UTIL,9200,BKN@DEN 11/09/2018 09:00PM ET,DEN,43.57
PG,John Wall (11602858),John Wall,11602858,PG/G/UTIL,9100,WAS@ORL 11/09/2018 07:00PM ET,WAS,42.62
PG/SG,Victor Oladipo (11602861),Victor Oladipo,11602861,PG/SG/G/UTIL,9000,IND@MIA 11/09/2018 08:00PM ET,IND,44.15
C,Karl-Anthony Towns (11602865),Karl-Anthony Towns,11602865,C/UTIL,8900,MIN@SAC 11/09/2018 10:00PM ET,MIN,40.79
SG/SF,Jimmy Butler (11602867),Jimmy Butler,11602867,SG/SF/F/G/UTIL,8600,MIN@SAC 11/09/2018 10:00PM ET,MIN,41.61
C,Hassan Whiteside (11602872),Hassan Whiteside,11602872,C/UTIL,8200,IND@MIA 11/09/2018 08:00PM ET,MIA,41.47
C,Nikola Vucevic (11602874),Nikola Vucevic,11602874,C/UTIL,8100,WAS@ORL 11/09/2018 07:00PM ET,ORL,41.23
SG,Bradley Beal (11602876),Bradley Beal,11602876,SG/G/UTIL,7800,WAS@ORL 11/09/2018 07:00PM ET,WAS,38.3
C,Rudy Gobert (11602879),Rudy Gobert,11602879,C/UTIL,7700,BOS@UTA 11/09/2018 09:30PM ET,UTA,41.96
PG,Kyrie Irving (11602881),Kyrie Irving,11602881,PG/G/UTIL,7600,BOS@UTA 11/09/2018 09:30PM ET,BOS,39.30
SF/PF,Aaron Gordon (11602884),Aaron Gordon,11602884,SF/PF/F/UTIL,7500,WAS@ORL 11/09/2018 07:00PM ET,ORL,33.59
SG/SF,Josh Richardson (11602888),Josh Richardson,11602888,SG/SF/F/G/UTIL,7400,IND@MIA 11/09/2018 08:00PM ET,MIA,35.72
PG,Trae Young (11602893),Trae Young,11602893,PG/G/UTIL,7300,DET@ATL 11/09/2018 07:30PM ET,ATL,35.75
PG/SG,Jamal Murray (11602896),Jamal Murray,11602896,PG/SG/G/UTIL,7200,BKN@DEN 11/09/2018 09:00PM ET,DEN,32.39
PG/SG,Donovan Mitchell (11602900),Donovan Mitchell,11602900,PG/SG/G/UTIL,7100,BOS@UTA 11/09/2018 09:30PM ET,UTA,36.86
SF,Caris LeVert (11602904),Caris LeVert,11602904,SF/F/UTIL,7000,BKN@DEN 11/09/2018 09:00PM ET,BKN,35.43
PG,De'Aaron Fox (11602907),De'Aaron Fox,11602907,PG/G/UTIL,6900,MIN@SAC 11/09/2018 10:00PM ET,SAC,37.59
PG/SG,Derrick Rose (11602920),Derrick Rose,11602920,PG/SG/G/UTIL,6800,MIN@SAC 11/09/2018 10:00PM ET,MIN,31.23
SG/SF,Buddy Hield (11602910),Buddy Hield,11602910,SG/SF/F/G/UTIL,6700,MIN@SAC 11/09/2018 10:00PM ET,SAC,33.36
C,Willie Cauley-Stein (11602915),Willie Cauley-Stein,11602915,C/UTIL,6600,MIN@SAC 11/09/2018 10:00PM ET,SAC,33.59
SF/PF,Jayson Tatum (11602946),Jayson Tatum,11602946,SF/PF/F/UTIL,6500,BOS@UTA 11/09/2018 09:30PM ET,BOS,29.73
PG,Goran Dragic (11602917),Goran Dragic,11602917,PG/G/UTIL,6500,IND@MIA 11/09/2018 08:00PM ET,MIA,32.09
SG/SF,Evan Fournier (11602924),Evan Fournier,11602924,SG/SF/F/G/UTIL,6400,WAS@ORL 11/09/2018 07:00PM ET,ORL,29.61
PF/C,Domantas Sabonis (11602929),Domantas Sabonis,11602929,PF/C/F/UTIL,6300,IND@MIA 11/09/2018 08:00PM ET,IND,31.18
SG/SF,Nicolas Batum (11602933),Nicolas Batum,11602933,SG/SF/F/G/UTIL,6300,CHA@PHI 11/09/2018 07:00PM ET,CHA,27.77
PG,Ricky Rubio (11602938),Ricky Rubio,11602938,PG/G/UTIL,6200,BOS@UTA 11/09/2018 09:30PM ET,UTA,29.07
PF/C,Al Horford (11602950),Al Horford,11602950,PF/C/F/UTIL,6200,BOS@UTA 11/09/2018 09:30PM ET,BOS,29.68
SG/SF,Andrew Wiggins (11602941),Andrew Wiggins,11602941,SG/SF/F/G/UTIL,6200,MIN@SAC 11/09/2018 10:00PM ET,MIN,29.42
C,Dwight Howard (11602954),Dwight Howard,11602954,C/UTIL,6000,WAS@ORL 11/09/2018 07:00PM ET,WAS,27.67
SG/SF,Rodney McGruder (11602956),Rodney McGruder,11602956,SG/SF/F/G/UTIL,6000,IND@MIA 11/09/2018 08:00PM ET,MIA,29.08
