Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11611807),Giannis Antetokounmpo,11611807,SF/PF/F/UTIL,11200,MIL@DEN 11/11/2018 08:00PM ET,MIL,55.52
SF/PF,LeBron James (11611811),LeBron James,11611811,SF/PF/F/UTIL,10700,ATL@LAL 11/11/2018 09:30PM ET,LAL,52.12
C,Nikola Jokic (11611815),Nikola Jokic,11611815,C/UTIL,9600,MIL@DEN 11/11/2018 08:00PM ET,DEN,46
PG/SG,Victor Oladipo (11611817),Victor Oladipo,11611817,PG/SG/G/UTIL,9400,IND@HOU 11/11/2018 07:00PM ET,IND,44.81
PG/SG,James Harden (11611821),James Harden,11611821,PG/SG/G/UTIL,9400,IND@HOU 11/11/2018 07:00PM ET,HOU,49.94
C,Nikola Vucevic (11611825),Nikola Vucevic,11611825,C/UTIL,8400,ORL@NY 11/11/2018 07:30PM ET,ORL,41.96
PG,Damian Lillard (11611827),Damian Lillard,11611827,PG/G/UTIL,8300,BOS@POR 11/11/2018 09:00PM ET,POR,43.54
SF/PF,Aaron Gordon (11611830),Aaron Gordon,11611830,SF/PF/F/UTIL,7700,ORL@NY 11/11/2018 07:30PM ET,ORL,33.81
PG,Kyrie Irving (11611834),Kyrie Irving,11611834,PG/G/UTIL,7600,BOS@POR 11/11/2018 09:00PM ET,BOS,39.30
SG/SF,Tim Hardaway Jr. (11611837),Tim Hardaway Jr.,11611837,SG/SF/F/G/UTIL,7300,ORL@NY 11/11/2018 07:30PM ET,NY,36.10
PG,Chris Paul (11611842),Chris Paul,11611842,PG/G/UTIL,7100,IND@HOU 11/11/2018 07:00PM ET,HOU,40.58
PG,Trae Young (11611845),Trae Young,11611845,PG/G/UTIL,7000,ATL@LAL 11/11/2018 09:30PM ET,ATL,34.90
SG/SF,Khris Middleton (11611848),Khris Middleton,11611848,SG/SF/F/G/UTIL,7000,MIL@DEN 11/11/2018 08:00PM ET,MIL,35.46
PG/SG,Jamal Murray (11611853),Jamal Murray,11611853,PG/SG/G/UTIL,6900,MIL@DEN 11/11/2018 08:00PM ET,DEN,31.94
PF/C,Domantas Sabonis (11611857),Domantas Sabonis,11611857,PF/C/F/UTIL,6800,IND@HOU 11/11/2018 07:00PM ET,IND,31.48
