PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,
1,Joel Embiid,PHI,24,1,1,0,36,35,8,15,53.3,3,4,75,16,20,80,6,12,18,3,2,0,0,1,59.1,1,0,12
2,Kevin Durant,GSW,30,1,0,1,39,33,10,24,41.7,2,4,50,11,13,84.6,1,10,11,10,4,1,2,6,66.2,1,1,4
3,Paul George,OKC,28,1,1,0,36,32,11,19,57.9,6,10,60,4,4,100,1,7,8,6,4,0,0,3,46.6,0,0,21
4,D'Angelo Russell,BKN,22,1,0,1,33,31,10,22,45.5,9,15,60,2,5,40,0,2,2,6,3,2,0,1,45.4,0,0,-9
4,Klay Thompson,GSW,28,1,0,1,45,31,13,31,41.9,5,16,31.3,0,0,0,1,2,3,2,3,2,1,2,43.6,0,0,-4
6,E'Twaun Moore,NOP,29,1,1,0,36,30,13,18,72.2,3,5,60,1,2,50,0,2,2,3,2,1,0,1,37.9,0,0,21
7,Jrue Holiday,NOP,28,1,1,0,39,29,12,19,63.2,3,7,42.9,2,4,50,0,3,3,14,1,1,0,2,55.6,1,0,15
8,Zach LaVine,CHI,23,1,0,1,41,26,8,23,34.8,0,6,0,10,11,90.9,0,5,5,5,7,4,0,2,44.5,0,0,-4
9,JJ Redick,PHI,34,1,1,0,31,25,11,20,55,3,9,33.3,0,0,0,0,1,1,3,1,0,0,4,29.7,0,0,11
9,Lou Williams,LAC,32,1,1,0,32,25,5,18,27.8,1,5,20,14,14,100,0,2,2,6,2,2,0,1,40.4,0,0,0
9,Anthony Davis,NOP,25,1,1,0,40,25,11,20,55,1,2,50,2,2,100,8,12,20,6,4,0,2,4,60,1,0,17
9,John Wall,WAS,28,1,1,0,33,25,9,15,60,2,3,66.7,5,8,62.5,0,4,4,10,2,1,1,1,48.8,1,0,-3
9,Karl-Anthony Towns,MIN,22,1,1,0,37,25,9,11,81.8,2,2,100,5,6,83.3,2,19,21,3,10,1,2,5,53.7,1,0,7
14,Jeff Teague,MIN,30,1,1,0,35,24,8,14,57.1,0,3,0,8,9,88.9,0,1,1,11,4,3,0,2,46.7,1,0,10
14,Mike Conley,MEM,31,1,0,1,36,24,7,16,43.8,3,8,37.5,7,7,100,0,4,4,3,2,0,0,4,31.3,0,0,0
16,Harrison Barnes,DAL,26,1,1,0,33,23,7,16,43.8,1,6,16.7,8,9,88.9,0,5,5,1,2,4,0,0,40.5,0,0,-9
16,DeMar DeRozan,SAS,29,1,0,1,37,23,8,17,47.1,0,2,0,7,8,87.5,0,2,2,8,4,0,0,1,33.4,0,0,-6
16,Derrick Rose,MIN,30,1,1,0,39,23,8,18,44.4,3,5,60,4,4,100,0,2,2,6,3,1,1,0,37.4,0,0,3
16,Montrezl Harrell,LAC,24,1,1,0,32,23,10,13,76.9,0,0,0,3,5,60,2,6,8,1,2,1,4,4,47.1,0,0,-4
20,Goran Dragic,MIA,32,1,0,1,29,22,8,15,53.3,1,4,25,5,7,71.4,0,3,3,5,2,2,1,4,40.1,0,0,-14
20,Bogdan Bogdanovic,SAC,26,1,1,0,25,22,9,17,52.9,3,7,42.9,1,1,100,0,1,1,3,1,0,0,2,26.7,0,0,-7
20,Pascal Siakam,TOR,24,1,0,1,28,22,8,12,66.7,2,4,50,4,4,100,0,3,3,1,0,1,3,5,39.1,0,0,-10
23,Bradley Beal,WAS,25,1,1,0,37,21,8,20,40,2,10,20,3,4,75,1,7,8,4,3,2,1,3,42.6,0,0,4
23,Terrence Ross,ORL,27,1,0,1,25,21,7,14,50,4,5,80,3,3,100,0,3,3,2,1,0,1,4,29.6,0,0,-9
23,T.J. Warren,PHX,25,1,0,1,40,21,10,14,71.4,1,2,50,0,0,0,0,6,6,0,1,2,1,0,36.2,0,0,-20
26,Evan Fournier,ORL,26,1,0,1,29,20,7,14,50,3,7,42.9,3,4,75,0,2,2,5,1,1,0,4,31.9,0,0,3
26,Kawhi Leonard,TOR,27,1,0,1,34,20,7,20,35,1,6,16.7,5,5,100,2,4,6,2,1,1,1,2,35.2,0,0,-15
26,Dennis Schroder,OKC,25,1,1,0,36,20,6,19,31.6,2,2,100,6,6,100,0,5,5,9,1,4,0,2,50.5,0,0,20
29,Devin Booker,PHX,22,1,0,1,37,19,7,18,38.9,1,4,25,4,4,100,2,2,4,6,3,0,0,3,29.8,0,0,-32
29,Serge Ibaka,TOR,29,1,0,1,27,19,8,16,50,2,6,33.3,1,2,50,6,8,14,2,0,0,0,3,38.8,1,0,-10
29,De'Aaron Fox,SAC,20,1,1,0,31,19,7,9,77.8,3,4,75,2,4,50,0,3,3,7,4,2,1,2,38.1,0,0,4
29,Joe Ingles,UTA,31,1,1,0,36,19,6,12,50,3,6,50,4,6,66.7,2,4,6,5,3,1,0,2,33.7,0,0,6
33,Jeff Green,WAS,32,1,1,0,21,18,6,7,85.7,4,5,80,2,2,100,0,6,6,1,2,2,1,1,33.7,0,0,13
33,Aaron Gordon,ORL,23,1,0,1,33,18,8,13,61.5,0,4,0,2,2,100,2,8,10,3,2,2,2,1,44.5,1,0,3
