,Salary,PLAYER,Score,Power Index
0,11300,Anthony Davis,60.25,0.037576495007694236
2,11000,Giannis Antetokounmpo,51.25,0.014314855241026376
4,10300,LeBron James,80.0,0.041906738718104714
6,9600,Paul George,59.75,0.02719822495795011
8,9400,Blake Griffin,60.0,0.05235658304405397
10,9000,DeMar DeRozan,35.25,0.0066564076870772645
12,8700,Ben Simmons,23.25,0.004938625058154099
14,8600,Kawhi Leonard,46.25,0.01338438965035966
16,8500,Jrue Holiday,36.5,0.011272948502308271
18,8300,LaMarcus Aldridge,20.0,0.0066564076870772645
20,8200,Jimmy Butler,21.0,0.003399778119743764
22,7900,Zach LaVine,27.25,0.006906917653795226
24,7800,Dennis Schroder,43.5,0.01936084171348817
26,7700,Aaron Gordon,39.5,0.012990731131231436
28,7600,Devin Booker,39.0,0.014994810864975129
30,7500,Nikola Mirotic,33.5,0.009590953011487671
32,7400,Donovan Mitchell,18.25,0.003972372329384819
34,7000,Tim Hardaway Jr.,27.75,0.006441684858461869
36,6900,Julius Randle,4.25,0.0007157427620513188
38,6800,Josh Richardson,28.25,0.00705006620620549
40,6700,Khris Middleton,35.75,0.01012776008302616
42,6700,D'Angelo Russell,23.75,0.006799556239487528
44,6600,CJ McCollum,34.75,0.015137959417385391
46,6600,Jayson Tatum,24.5,0.006048026339333643
48,6400,Al Horford,31.5,0.01936084171348817
50,6300,Eric Bledsoe,37.0,0.017249400565436782
52,6200,Evan Fournier,12.5,0.0019682925956411267
54,6100,Joe Ingles,14.75,0.002898758186307841
56,6000,Kyle Kuzma,15.25,0.002970332462512973
58,5800,T.J. Warren,42.5,0.019503990265898438
60,5700,Brandon Ingram,28.0,0.010915077121282611
62,5700,Andrew Wiggins,45.5,0.017249400565436782
64,5600,Jordan Clarkson,12.0,0.003399778119743764
66,5600,Jabari Parker,23.75,0.005654367820205418
68,5600,Reggie Jackson,22.25,0.007730021830154242
70,5500,Larry Nance Jr.,36.0,0.026017249400565438
72,5500,Harrison Barnes,28.5,0.00880363597323122
74,5300,JJ Redick,36.0,0.011344522778513402
76,5300,Justise Winslow,22.25,0.006513259134667001
78,5200,Malcolm Brogdon,14.25,0.0035071395340514617
80,5200,Rondae Hollis-Jefferson,28.25,0.016927316322513687
82,5200,Rodney McGruder,20.5,0.004902837920051533
84,5200,Jae Crowder,9.75,0.0015746340765129014
86,5100,Rodney Hood,15.0,0.0030419067387181045
88,5100,Gordon Hayward,28.0,0.007908957520667071
90,5100,Wesley Matthews,19.5,0.004652327953333572
92,5100,Noah Vonleh,14.0,0.005654367820205418
94,5000,Terrence Ross,27.75,0.008409977454102996
96,4900,Al-Farouq Aminu,30.75,0.010163547221128727
98,4900,E'Twaun Moore,45.0,0.017070464874923953
100,4900,Spencer Dinwiddie,29.75,0.012167626954872418
102,4800,Kyle Anderson,24.5,0.009447804459077407
104,4800,Otto Porter Jr.,27.5,0.008732061697026089
106,4700,Robert Covington,31.75,0.010879289983180045
108,4700,Joe Harris,22.25,0.005010199334359231
110,4700,Justin Holiday,17.0,0.0039007980531796872
112,4700,Jerami Grant,20.75,0.006048026339333643
114,4600,Markieff Morris,18.5,0.0051533478867694955
116,4600,Derrick Favors,18.5,0.010414057187846689
118,4400,Evan Turner,25.25,0.006763769101384962
120,4400,Jaylen Brown,31.5,0.009841462978205633
122,4300,Terry Rozier,22.0,0.008374190316000429
124,4300,J.J. Barea,26.0,0.010306695773538991
126,4200,Jeff Green,21.25,0.005690154958307984
128,4200,Ed Davis,22.25,0.012131839816769853
130,4100,Ersan Ilyasova,11.25,0.004616540815231006
132,4100,Kelly Oubre Jr.,21.25,0.006012239201231078
134,4100,DeMarre Carroll,17.5,0.004544966539025874
136,4100,Kelly Olynyk,19.75,0.010521418602154387
138,4100,Tyler Johnson,36.25,0.01850195039902659
140,4100,Reggie Bullock,13.25,0.0027913967720001433
142,4100,Patty Mills,19.25,0.006727981963282397
144,4000,Garrett Temple,24.25,0.0061196006155387755
146,4000,Markelle Fultz,14.25,0.004616540815231006
148,4000,Fred VanVleet,16.0,0.0051533478867694955
150,4000,Danny Green,9.5,0.001717782628923165
152,3900,Wayne Ellington,20.75,0.00554700640589772
154,3900,Marcus Smart,14.25,0.005368070715384891
156,3900,Langston Galloway,18.5,0.00590487778692338
158,3900,Bryn Forbes,16.75,0.00572594209641055
160,3800,Allen Crabbe,11.75,0.002862971048205275
162,3800,Mario Hezonja,17.0,0.004079733743692517
164,3700,Stanley Johnson,21.0,0.006155387753641341
166,3600,Wilson Chandler,21.5,0.0062985363060516055
168,3600,Glenn Robinson III,8.25,0.0013956983860000717
170,3600,Raymond Felton,15.75,0.0061196006155387755
172,3600,Davis Bertans,6.75,0.0024693125290770495
174,3600,Marco Belinelli,20.25,0.005296496439179759
176,3500,Mike Muscala,13.75,0.0066564076870772645
178,3500,Dante Exum,9.25,0.0027913967720001433
180,3400,Austin Rivers,19.25,0.0058690906488208135
182,3400,Wesley Johnson,23.25,0.008052106073077336
184,3400,Jonathon Simmons,15.25,0.0032566295673335005
186,3400,Cameron Payne,2.75,0.0006441684858461869
188,3400,Dwight Powell,29.25,0.01921769316107791
190,3400,Alex Abrines,-0.5,0.0
192,3400,Dante Cunningham,14.5,0.0036860752245642917
194,3300,Lance Stephenson,13.5,0.003865010915077121
196,3300,Pat Connaughton,33.0,0.009376230182872276
198,3300,Ian Clark,2.0,0.00039365851912822534
200,3300,Gorgui Dieng,9.0,0.00458075367712844
202,3300,Jared Dudley,19.75,0.005010199334359231
204,3300,Delon Wright,7.0,0.0018609311813334289
206,3300,Jon Leuer,11.5,0.005368070715384891
208,3300,Richaun Holmes,13.0,0.006727981963282397
210,3200,Nik Stauskas,5.75,0.0012525498335898078
212,3200,David Nwaba,26.75,0.008338403177897864
214,3200,Darius Miller,4.25,0.0008946784525641485
216,3200,Shabazz Napier,23.0,0.009805675840103067
218,3200,Devin Harris,5.75,0.0016819954908205992
220,3100,Seth Curry,1.25,0.0002505099667179616
222,3100,Tony Snell,6.75,0.0013956983860000717
224,3100,Amir Johnson,3.75,0.0012883369716923739
226,3100,Patrick Patterson,10.5,0.004043946605589951
228,3100,Jamal Crawford,19.75,0.007193214758615753
230,3100,Ryan Anderson,3.25,0.0009304655906667144
232,3000,Kentavious Caldwell-Pope,26.0,0.008839423111333787
234,3000,Yuta Watanabe,4.5,0.0011809755573846759
236,3000,Thon Maker,11.5,0.005940664925025946
238,3000,Tomas Satoransky,20.75,0.007694234692051677
240,3000,Jason Smith,4.5,0.001646208352718033
242,3000,Channing Frye,0.25,0.00010736141430769781
244,3000,Tim Frazier,5.0,0.0013956983860000717
246,3000,Kenneth Faried,6.25,0.002326163976666786
248,3000,Daniel Theis,6.75,0.0025766739433847477
250,3000,Brad Wanamaker,7.25,0.0022188025623590883
252,3000,Thabo Sefolosha,3.75,0.000572594209641055
254,3000,Ryan Broekhoff,8.0,0.001717782628923165
256,3000,Ron Baker,3.0,0.0007515299001538847
