,Salary,PLAYER,Score,Power Index
0,11200,LeBron James,39.5,0.006374142870939703
2,11100,Anthony Davis,64.0,0.04220455203940379
4,11000,James Harden,56.0,0.026784277114251683
6,10600,Kevin Durant,41.5,0.008692013005826869
8,9900,Paul George,61.25,0.028071982744744553
10,9600,Victor Oladipo,5.5,0.00022534848533625214
12,8500,Ben Simmons,53.75,0.035766023886939446
14,8100,Jrue Holiday,42.75,0.023049930785822362
16,8000,Devin Booker,41.5,0.02082863857322216
18,7900,Dennis Schroder,37.75,0.019412162379680006
20,7700,Aaron Gordon,28.0,0.007082380967710781
22,7500,Jimmy Butler,31.25,0.008885168850400799
24,7100,Nikola Mirotic,44.0,0.021665647233042526
26,7000,Donovan Mitchell,49.75,0.035218748993979976
28,6500,Julius Randle,47.0,0.043524450310658984
30,6400,Domantas Sabonis,41.5,0.0371825000804816
32,6300,Jamal Murray,24.5,0.009754370150983484
34,6200,Paul Millsap,16.25,0.007082380967710781
36,6100,Serge Ibaka,33.5,0.02337185719344558
38,6100,Al Horford,24.5,0.014229147216946207
40,6000,T.J. Warren,34.75,0.015001770595241928
42,5900,Jayson Tatum,17.75,0.005601519492643981
44,5900,Buddy Hield,37.25,0.01686894375945659
46,5800,Brandon Ingram,35.0,0.014390110420757815
48,5800,Joe Ingles,18.75,0.00502205195892219
50,5700,Jabari Parker,26.0,0.009239287898786338
52,5700,Nicolas Batum,10.75,0.0018349805234523387
54,5700,Kyle Kuzma,17.5,0.0044425844252003995
56,5700,Marcus Morris,6.5,0.0009013939413450086
58,5700,Harrison Barnes,35.5,0.01616070566268551
60,5600,Evan Fournier,27.75,0.009947525995557415
62,5500,Kent Bazemore,35.75,0.014293532498470849
64,5500,JJ Redick,30.25,0.010913305218427068
66,5300,Gordon Hayward,19.0,0.004667932910536651
68,5300,E'Twaun Moore,20.25,0.006084409104078808
70,5200,Nemanja Bjelica,3.25,0.0007404307375333998
72,5100,Jeremy Lamb,40.5,0.019219006535106074
74,5100,Terrence Ross,15.5,0.0035411904838553907
76,5000,Bojan Bogdanovic,26.5,0.009818755432508128
78,4900,Eric Gordon,21.25,0.006792647200849886
80,4800,J.J. Barea,20.25,0.00837008659820365
82,4700,Derrick Favors,25.5,0.018092264108424815
84,4600,Jerami Grant,30.5,0.01355310176093745
86,4500,Jaylen Brown,8.75,0.0017705952419276953
88,4500,Jae Crowder,14.0,0.003734346328429321
90,4400,Justin Holiday,23.5,0.007951582268293468
92,4400,Trey Lyles,13.0,0.0038953095322409297
94,4300,Dewayne Dedmon,23.25,0.01612851302192319
96,4300,Thaddeus Young,22.75,0.007822811705244181
98,4300,Bogdan Bogdanovic,25.75,0.009625599587934198
100,4100,Juancho Hernangomez,40.25,0.02095740913627145
102,4000,Marvin Williams,13.75,0.00408846537681486
104,4000,Terry Rozier,16.75,0.007629655860670251
106,4000,James Ennis III,13.75,0.003830924250716286
108,3900,Fred VanVleet,34.5,0.022695811737436823
110,3900,Danny Green,29.5,0.011267424266812607
112,3900,Jeremy Lin,32.0,0.019412162379680006
114,3900,Tyreke Evans,15.0,0.003830924250716286
116,3800,Marcus Smart,15.5,0.006663876637800599
118,3800,Andre Iguodala,19.25,0.006792647200849886
120,3700,Wilson Chandler,8.25,0.0022534848533625213
122,3700,Kevon Looney,9.75,0.0051508225219714775
124,3700,Jonas Jerebko,24.0,0.010205067121655989
126,3600,Markelle Fultz,17.5,0.007919389627531146
128,3600,Iman Shumpert,14.25,0.0032514567169944953
130,3500,Dwight Powell,14.0,0.008466664520490616
132,3500,Wesley Johnson,17.5,0.006567298715513634
134,3400,Mike Muscala,20.0,0.01374625760551138
136,3400,Jonathon Simmons,27.25,0.010462608247754563
138,3400,Gerald Green,20.25,0.006020023822554164
140,3400,Mason Plumlee,19.25,0.012201010848919936
142,3400,Raymond Felton,6.75,0.0023500627756494865
144,3300,Lance Stephenson,35.0,0.01616070566268551
146,3300,Yogi Ferrell,13.0,0.005537134211119338
148,3300,Richaun Holmes,14.25,0.008434471879728294
150,3200,Delon Wright,23.0,0.012329781411969224
152,3200,Dante Exum,22.75,0.012555129897305476
154,3200,Devin Harris,13.75,0.005633712133406303
156,3200,Darius Miller,7.0,0.0020925216495509126
158,3100,Cameron Payne,16.75,0.007694041142194894
160,3100,Amir Johnson,10.5,0.005247400444258443
162,3100,Ian Clark,13.25,0.005633712133406303
164,3100,Jamal Crawford,16.5,0.00817693075362972
166,3000,Kyle O'Quinn,5.75,0.0019959437272639474
168,3000,Doug McDermott,8.75,0.002285677494124843
170,3000,Jarell Martin,3.25,0.0011589350674435824
172,3000,Michael Beasley,10.25,0.003283649357756817
174,3000,Kentavious Caldwell-Pope,15.0,0.004313813862151112
176,3000,Brad Wanamaker,6.25,0.0022212922126001997
178,3000,Daniel Theis,9.5,0.00502205195892219
180,3000,Skal Labissiere,6.75,0.0031548787947075297
182,3000,Marquese Chriss,3.5,0.0011589350674435824
184,3000,Patrick Patterson,8.25,0.004313813862151112
