,Salary,PLAYER,Score,Power Index
76,5300,Paul Millsap,8.25,0.003483421494000774
78,5300,Harrison Barnes,18.75,0.004386530770223197
80,5300,Serge Ibaka,38.5,0.03228615662495162
82,5200,Noah Vonleh,38.25,0.03167333247322926
84,5100,Jerami Grant,26.5,0.009385885692168753
86,5100,Rodney Hood,23.75,0.006418526641723649
88,5100,Kelly Olynyk,9.5,0.003999483937556445
90,5000,Markelle Fultz,22.25,0.007708682750612824
92,4900,Tyus Jones,5.25,0.0012579022061669461
94,4900,Thaddeus Young,14.25,0.0037737066185008386
96,4900,Wesley Matthews,28.5,0.009127854470390917
98,4800,Dario Saric,31.25,0.012966068894336215
100,4800,Derrick Favors,30.5,0.022319700683782737
102,4800,Bogdan Bogdanovic,11.5,0.0025158044123338922
104,4700,Terrence Ross,23.5,0.006741065668945942
106,4700,Justin Holiday,30.25,0.01054702619016901
108,4600,Larry Nance Jr.,16.0,0.009192362275835376
110,4600,Jordan Clarkson,35.25,0.0174493613727261
112,4600,Dewayne Dedmon,8.75,0.003967230034834215
114,4500,Bojan Bogdanovic,24.25,0.007095858598890466
116,4500,Tyler Johnson,25.75,0.011353373758224745
118,4500,E'Twaun Moore,19.0,0.004967101019223326
120,4400,Tyreke Evans,12.0,0.002806089536833957
122,4400,Garrett Temple,7.0,0.0011933944007224875
124,4400,Trey Lyles,31.75,0.012998322797058443
126,4400,Fred VanVleet,17.25,0.00532189394916785
128,4300,Danny Green,15.75,0.0038382144239452972
130,4200,Marco Belinelli,16.5,0.004063991743000903
132,4100,Reggie Bullock,7.75,0.0012901561088891757
134,4100,Kyle Anderson,23.25,0.009095600567668689
136,4000,Dante Exum,15.75,0.005708940781834602
138,4000,Bryn Forbes,20.75,0.009289123984002064
140,4000,Cameron Payne,12.0,0.003934976132111985
142,3900,Raymond Felton,15.75,0.005612179073667914
144,3900,Langston Galloway,25.5,0.01209521352083602
146,3900,Patty Mills,26.0,0.012288736937169397
148,3900,Mario Hezonja,3.5,0.0006450780544445878
150,3800,Lance Stephenson,1.25,0.0002902851245000645
152,3800,Juancho Hernangomez,15.75,0.004838085408334409
154,3800,J.J. Barea,12.75,0.003805960521223068
156,3700,Wilson Chandler,7.75,0.0021287575796671396
158,3700,Jonathon Simmons,8.5,0.0014514256225003225
160,3700,Stanley Johnson,28.0,0.011708166688169269
162,3700,Mason Plumlee,24.0,0.01586892013933686
164,3700,Jeremy Lin,18.25,0.0076764288478905944
166,3600,Dante Cunningham,12.0,0.003805960521223068
168,3500,Alex Abrines,12.5,0.0030318668558895626
170,3500,Dwight Powell,12.0,0.005934718100890208
172,3500,Iman Shumpert,21.5,0.006160495419945814
174,3400,Patrick Patterson,10.0,0.004967101019223326
176,3400,Glenn Robinson III,8.5,0.002483550509611663
178,3400,Ian Clark,3.0,0.0009998709843891112
180,3300,Anthony Tolliver,4.25,0.0006128241517223584
182,3300,Gorgui Dieng,8.5,0.0038382144239452972
184,3300,Kyle Korver,11.0,0.0031931363695007096
186,3300,Tim Frazier,3.0,0.0008063475680557347
188,3200,Kentavious Caldwell-Pope,6.75,0.0015804412333892401
190,3200,Amir Johnson,3.5,0.0015159334279447813
192,3200,Doug McDermott,2.5,0.0006450780544445878
194,3200,Torrey Craig,10.75,0.0021932653851115987
196,3200,Davis Bertans,31.5,0.028286672687395174
198,3200,Delon Wright,5.0,0.0013546639143336343
200,3100,Jarell Martin,9.5,0.004999354921945556
202,3100,Wayne Ellington,32.5,0.012933814991613985
204,3000,David Nwaba,8.25,0.002064249774222681
206,3000,Kyle O'Quinn,2.75,0.0006450780544445878
208,3000,Darius Miller,17.25,0.0055154173655012255
210,3000,Wesley Johnson,25.0,0.009837440330279964
