,Salary,PLAYER,Score,Power Index
0,11500,Anthony Davis,71.75,0.035576054702619014
2,11000,LeBron James,56.75,0.012675783769836151
4,9900,Blake Griffin,31.75,0.006966842988001548
6,9600,Ben Simmons,45.5,0.013611146948780803
8,9400,Kawhi Leonard,41.75,0.00786995226422397
10,9200,DeMar DeRozan,54.0,0.015352857695781189
12,9100,Paul George,32.75,0.005612179073667914
14,8700,Victor Oladipo,65.5,0.039478776932008776
16,8600,Jrue Holiday,51.0,0.02280350922461618
18,8500,Zach LaVine,36.75,0.01106308863372468
20,8300,Nikola Mirotic,29.75,0.006386272739001419
22,8200,Jimmy Butler,48.25,0.015449619403947878
24,7900,LaMarcus Aldridge,29.5,0.01315959231066959
26,7800,Tim Hardaway Jr.,47.75,0.01577215843117017
28,7700,Josh Richardson,31.75,0.006708811766223713
30,7500,Jamal Murray,32.0,0.01051477228744678
32,7500,Luka Doncic,33.5,0.011450135466391433
34,7400,Donovan Mitchell,44.75,0.020029673590504452
36,7000,Aaron Gordon,44.0,0.018223455038059604
38,6900,Dennis Schroder,39.75,0.01848148625983744
40,6500,Julius Randle,25.25,0.012579022061669462
42,6500,Buddy Hield,38.5,0.012256483034447168
44,6300,Rodney McGruder,22.5,0.00477357760288995
46,6200,Joe Ingles,23.0,0.004999354921945556
48,6100,Domantas Sabonis,37.25,0.026867500967617083
50,6100,Evan Fournier,45.25,0.018094439427170688
52,6000,Andrew Wiggins,40.5,0.016513998193781448
54,6000,Nemanja Bjelica,15.25,0.003644691007611921
56,5900,Kyle Kuzma,28.0,0.016804283318281512
58,5800,Robert Covington,28.0,0.00903109276222423
60,5800,Jabari Parker,41.25,0.016610759901948137
62,5700,Brandon Ingram,40.75,0.023158302154560703
64,5700,Kent Bazemore,30.75,0.008902077151335312
66,5600,Derrick Rose,43.75,0.02477099729067217
68,5600,Reggie Jackson,20.25,0.006386272739001419
70,5600,Justise Winslow,25.25,0.008224745194168494
72,5500,Jae Crowder,23.0,0.006773319571668172
74,5400,JJ Redick,18.75,0.004451038575667656
