,Salary,PLAYER,Score,Power Index
0,11000,Giannis Antetokounmpo,48.25,0.02975790775755434
2,10300,Stephen Curry,19.25,0.005442657713376922
4,10200,Kevin Durant,36.25,0.017176179537020674
6,10100,James Harden,42.0,0.03357483654355893
8,8900,Paul George,57.25,0.05209400954232196
10,7600,Devin Booker,60.25,0.08672910408199329
12,7100,Tobias Harris,35.75,0.023679095246509983
14,7000,Dennis Schroder,28.0,0.020286269658950345
16,6700,Khris Middleton,37.75,0.027036578900865877
18,6500,CJ McCollum,35.75,0.03187842374977911
20,6400,Jayson Tatum,18.5,0.008588089768510337
22,6300,Al Horford,26.5,0.029404488425516875
24,6200,Marcus Morris,31.5,0.020109559992931614
26,6000,Danilo Gallinari,27.75,0.01664605053896448
28,5900,Lou Williams,33.25,0.03134829475172292
30,5700,Eric Bledsoe,41.5,0.04534370030040643
32,5600,Montrezl Harrell,37.0,0.05064499028096837
34,5300,Carmelo Anthony,7.75,0.0026859869234847145
36,5100,Gordon Hayward,17.0,0.0089415091005478
38,5000,Evan Turner,22.75,0.013005831418978618
40,4900,Jerami Grant,21.5,0.011910231489662484
42,4800,Jaylen Brown,25.5,0.014949637745184662
44,4700,Al-Farouq Aminu,26.0,0.015303057077222125
46,4600,Trevor Ariza,34.25,0.023290333981268774
48,4500,Malcolm Brogdon,30.25,0.027920127230959532
50,4300,Ersan Ilyasova,21.5,0.02551687577310479
52,4300,Andre Iguodala,12.5,0.005513341579784414
54,4100,Terry Rozier,19.0,0.012793779819756141
56,4100,T.J. Warren,44.75,0.04011309418625199
58,4000,Zach Collins,20.75,0.021876656653118925
60,3900,Jordan Bell,18.75,0.019155327796430463
62,3900,Alex Abrines,6.5,0.001873122459798551
64,3800,Patrick Beverley,19.75,0.013571302350238557
66,3800,Alfonzo McKinnie,16.75,0.008163986570065382
68,3800,Raymond Felton,11.5,0.006573599575896802
70,3800,James Ennis III,10.25,0.00424103198444955
72,3700,Marcus Smart,18.0,0.013041173352182365
74,3700,Richaun Holmes,8.75,0.0074218059727867115
76,3600,Shai Gilgeous-Alexander,28.25,0.02286623078282382
78,3600,Jonas Jerebko,4.5,0.0018024385933910585
80,3600,Gary Clark,10.5,0.0044530835836720266
82,3500,Kevon Looney,18.75,0.018872592330800495
84,3500,Gerald Green,11.0,0.0044530835836720266
86,3500,Mikal Bridges,6.0,0.002155857925428521
88,3400,Nik Stauskas,16.75,0.009082876833362785
90,3400,Jake Layman,3.75,0.0013429934617423572
92,3400,Mike Scott,9.0,0.003887612652412087
94,3400,Donte DiVincenzo,12.25,0.006149496377451847
96,3400,Patrick Patterson,5.5,0.0044530835836720266
98,3400,Josh Jackson,7.5,0.002756670789892207
100,3200,Tony Snell,14.75,0.0071744124403604875
102,3200,Hamidou Diallo,9.5,0.0033928255875596393
104,3200,Terrance Ferguson,24.0,0.013571302350238557
106,3200,Marquese Chriss,6.0,0.004735819049301997
108,3200,Ryan Anderson,6.0,0.004382399717264535
110,3100,Seth Curry,6.75,0.003216115921540908
112,3100,Pat Connaughton,25.0,0.01664605053896448
114,3100,Isaiah Hartenstein,3.25,0.002120515992224775
116,3100,Semi Ojeleye,6.25,0.0019084643930022973
118,3000,Caleb Swanigan,10.75,0.009471638098603994
120,3000,Thon Maker,11.25,0.01007245096306768
122,3000,Matthew Dellavedova,5.25,0.0025446191906697297
124,3000,Sterling Brown,5.0,0.0019438063262060435
126,3000,Damion Lee,13.0,0.0062908641102668314
128,3000,Timothe Luwawu-Cabarrot,0.0,0.0
130,3000,Guerschon Yabusele,3.5,0.0026506449902809685
